phase,symbol,month,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
train_forward_oof,AAPL,2018-06,D1,63,0.5092592592592593,0.01833088937766916,0.258512668445016,0.4588477366255144,0.5,0.5185185185185185,0.49206349206349204,False
train_forward_oof,AAPL,2018-07,D1,60,0.532967032967033,0.06346374210195309,0.2304501839132856,0.6178266178266179,0.5897435897435898,0.47619047619047616,0.5666666666666667,False
train_forward_oof,AAPL,2018-08,D1,69,0.5866013071895425,0.17320261437908496,0.2202830489934037,0.616557734204793,0.7843137254901961,0.3888888888888889,0.7391304347826086,False
train_forward_oof,AMZN,2018-03,D0_equal,62,0.4031746031746032,-0.3033924860942162,0.306611725867637,0.35238095238095235,0.7777777777777778,0.02857142857142857,0.8870967741935484,False
train_forward_oof,AMZN,2018-04,D0_equal,63,0.475,-0.05976143046671968,0.2560411518726691,0.4510204081632653,0.75,0.2,0.7777777777777778,False
train_forward_oof,AMZN,2018-05,D0_equal,65,0.5029239766081871,0.009296394674096273,0.2619686426140355,0.3684210526315789,0.8947368421052632,0.1111111111111111,0.8923076923076924,False
train_forward_oof,AMZN,2018-06,D0_equal,63,0.4902173913043478,-0.026919095102908276,0.23874389147528813,0.5532608695652174,0.85,0.13043478260869565,0.8571428571428571,False
train_forward_oof,AMZN,2018-07,D0_equal,60,0.5833333333333334,0.215365246126974,0.23951024136468765,0.6211111111111112,0.9,0.26666666666666666,0.8166666666666667,False
train_forward_oof,AMZN,2018-08,D0_equal,69,0.4987068965517241,-0.003367938940089952,0.24412320528467235,0.5551724137931034,0.825,0.1724137931034483,0.8260869565217391,False
train_forward_oof,AMZN,2018-03,D0_day,62,0.39894179894179893,-0.2844842801795051,0.28599513028965107,0.34814814814814815,0.7407407407407407,0.05714285714285714,0.8548387096774194,False
train_forward_oof,AMZN,2018-04,D0_day,63,0.4857142857142857,-0.031984651050360066,0.25316617422084386,0.4387755102040816,0.7142857142857143,0.2571428571428571,0.7301587301587301,False
train_forward_oof,AMZN,2018-05,D0_day,65,0.5160818713450293,0.05475687168320407,0.2598129208842585,0.38499025341130605,0.9210526315789473,0.1111111111111111,0.9076923076923077,False
train_forward_oof,AMZN,2018-06,D0_day,63,0.49347826086956526,-0.021393127492027906,0.23991203954261817,0.5695652173913043,0.9,0.08695652173913043,0.9047619047619048,False
train_forward_oof,AMZN,2018-07,D0_day,60,0.55,0.14002800840280097,0.241860866927623,0.6144444444444445,0.9,0.2,0.85,False
train_forward_oof,AMZN,2018-08,D0_day,69,0.46422413793103445,-0.10032821648366769,0.24576199856528883,0.5293103448275862,0.825,0.10344827586206896,0.855072463768116,False
train_forward_oof,AMZN,2018-03,D1,62,0.43174603174603177,-0.19213859760814742,0.29182538751327936,0.3873015873015873,0.7777777777777778,0.08571428571428572,0.8548387096774194,False
train_forward_oof,AMZN,2018-04,D1,63,0.5071428571428571,0.01707469441906277,0.24793346737853475,0.5448979591836735,0.7857142857142857,0.22857142857142856,0.7777777777777778,False
train_forward_oof,AMZN,2018-05,D1,65,0.5107212475633528,0.0439697592049244,0.2571732257927802,0.38109161793372326,0.9473684210526315,0.07407407407407407,0.9384615384615385,False
train_forward_oof,AMZN,2018-06,D1,63,0.5244565217391304,0.06729773775727069,0.24279809230634378,0.5184782608695653,0.875,0.17391304347826086,0.8571428571428571,False
train_forward_oof,AMZN,2018-07,D1,60,0.5166666666666667,0.046676002800933654,0.2414091202648008,0.6433333333333333,0.8666666666666667,0.16666666666666666,0.85,False
train_forward_oof,AMZN,2018-08,D1,69,0.46422413793103445,-0.10032821648366769,0.24880028017579345,0.5198275862068965,0.825,0.10344827586206896,0.855072463768116,False
