CIK,resolved_ticker,matched_alias,matched_articles,title_matches,body_matches,exact_ticker_matches,direct_high_confidence_edges,multi_company_high_confidence_edges,training_high_confidence_edges,training_distinct_recorded_dates,publisher_count,native_tag_agreement_rate,top_publisher_hash,top_publisher_fraction,publisher_entropy,training_days_denominator,training_day_coverage,risk_flags,risk_flag_count
1313510,GGN,gabelli global gold natural resources income trust,54,38.0,16.0,0.0,43.0,0.0,0.0,0,0,0.18518518518518517,,0.0,0.0,1008,0.0,NONE,0
891103,MTCH,usa networks,40,4.0,36.0,0.0,10.0,23.0,0.0,0,1,0.0,215816bf42103f1f2b24c168779f1fb0ea3afcb7a2c627e42e0bcd7fe07eb70a,1.0,-0.0,1008,0.0,NONE,0
1289945,SPOK,SPOK,75,0.0,0.0,75.0,0.0,75.0,5.0,4,0,0.09333333333333334,,0.0,0.0,1008,0.003968253968253968,SINGLE_TOKEN_SEMANTIC_RISK,1
1378950,PRTS,carparts com,565,78.0,487.0,0.0,10.0,353.0,51.0,24,0,0.35398230088495575,,0.0,0.0,1008,0.023809523809523808,NONE,0
884887,RCL,RCL,855,0.0,0.0,855.0,230.0,625.0,444.0,245,0,0.005847953216374269,,0.0,0.0,1008,0.24305555555555555,SINGLE_TOKEN_SEMANTIC_RISK,1
1645590,HPE,HPE,118,0.0,0.0,118.0,11.0,107.0,57.0,26,0,0.2033898305084746,,0.0,0.0,1008,0.025793650793650792,SINGLE_TOKEN_SEMANTIC_RISK,1
917851,VALE,VALE,831,0.0,0.0,831.0,196.0,635.0,144.0,65,1,0.19975932611311673,84625ab1a763851f03bf27f1f4f68b3b7efe198626d098151d461cbb0e262da0,1.0,-0.0,1008,0.06448412698412699,PUBLISHER_CONCENTRATION_GE_80_PERCENT|SINGLE_TOKEN_SEMANTIC_RISK,2
1788451,LIFE,LIFE,48,0.0,0.0,48.0,0.0,48.0,8.0,3,0,0.08333333333333333,,0.0,0.0,1008,0.002976190476190476,SINGLE_TOKEN_SEMANTIC_RISK,1
1506251,CTXR,citius pharmaceuticals,269,28.0,241.0,0.0,22.0,145.0,128.0,20,1,0.20817843866171004,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,1.0,-0.0,1008,0.01984126984126984,PUBLISHER_CONCENTRATION_GE_80_PERCENT,1
1396878,UGA,united states gasoline fund lp,90,0.0,90.0,0.0,20.0,25.0,1.0,1,0,0.2222222222222222,,0.0,0.0,1008,0.000992063492063492,NONE,0
890196,MQY,blackrock muniyield quality fund,153,97.0,56.0,0.0,26.0,82.0,23.0,6,2,0.17647058823529413,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.7333333333333333,0.5799151714181009,1008,0.005952380952380952,NONE,0
700565,FMBH,first mid bancshares,106,61.0,45.0,0.0,2.0,104.0,35.0,12,0,0.24528301886792453,,0.0,0.0,1008,0.011904761904761904,NONE,0
1065078,NTIP,network 1 technologies,168,135.0,33.0,0.0,125.0,38.0,73.0,34,8,0.7619047619047619,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.5344827586206896,1.4217109690288654,1008,0.03373015873015873,NONE,0
1397911,LPLA,LPLA,98,0.0,0.0,98.0,46.0,52.0,7.0,3,1,0.47959183673469385,deb56840b9cdc03f6c4ee4d521ae2d441afded63a6b8dfc35db2427b482be521,1.0,-0.0,1008,0.002976190476190476,SINGLE_TOKEN_SEMANTIC_RISK,1
802481,PPC,PPC,153,0.0,0.0,153.0,42.0,111.0,49.0,23,2,0.3137254901960784,d014d5a638eac5b2d935d6b6b173e4769692dc2a63efe5b382d586866929bd06,0.5,0.6931471805599453,1008,0.022817460317460316,SINGLE_TOKEN_SEMANTIC_RISK,1
