method,variant,half_life,symbol,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
R1,recency,20,AMZN,2018-07,60,0.5333333333333333,0.08333333333333333,0.25600340468538174,0.5466666666666666,0.8333333333333334,0.23333333333333334,0.8,False
F1,equal,infinity,AMZN,2018-07,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6433333333333333,0.7333333333333333,0.5,0.6166666666666667,False
F1,recency,80,AMZN,2018-07,60,0.6,0.2075143391598224,0.23932559594140132,0.6322222222222221,0.7333333333333333,0.4666666666666667,0.6333333333333333,False
F2,equal,infinity,AMZN,2018-07,60,0.55,0.11095900821829636,0.25747557275356026,0.5677777777777778,0.7666666666666667,0.3333333333333333,0.7166666666666667,False
F2,recency,20,AMZN,2018-07,60,0.5333333333333333,0.07881104062391008,0.26933367084582743,0.5422222222222222,0.8,0.26666666666666666,0.7666666666666667,False
R1,equal,infinity,AAPL,2018-08,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.5773420479302832,0.6274509803921569,0.3888888888888889,0.6231884057971014,False
R1,recency,20,AAPL,2018-08,69,0.5588235294117647,0.1198881565564866,0.22212736597117141,0.5729847494553377,0.7843137254901961,0.3333333333333333,0.7536231884057971,False
F1,equal,infinity,AAPL,2018-08,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.42919389978213507,0.7058823529411765,0.2222222222222222,0.7246376811594203,False
F1,recency,80,AAPL,2018-08,69,0.48366013071895425,-0.03330226571013517,0.24680658343030434,0.4379084967320261,0.7450980392156863,0.2222222222222222,0.7536231884057971,False
F2,equal,infinity,AAPL,2018-08,69,0.6388888888888888,0.24839788620727343,0.20951725572873084,0.7298474945533769,0.6666666666666666,0.6111111111111112,0.5942028985507246,False
F2,recency,20,AAPL,2018-08,69,0.5343137254901961,0.060582412486517134,0.2789428240133663,0.5980392156862745,0.5686274509803921,0.5,0.5507246376811594,False
R1,equal,infinity,AMZN,2018-08,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6586206896551725,0.75,0.5172413793103449,0.6376811594202898,False
R1,recency,20,AMZN,2018-08,69,0.6116379310344828,0.23648875780580347,0.23633443373219806,0.6137931034482759,0.775,0.4482758620689655,0.6811594202898551,False
F1,equal,infinity,AMZN,2018-08,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.6672413793103448,0.625,0.6551724137931034,0.5072463768115942,False
F1,recency,80,AMZN,2018-08,69,0.6103448275862069,0.21789009588742253,0.2335153641897889,0.6448275862068965,0.6,0.6206896551724138,0.5072463768115942,False
F2,equal,infinity,AMZN,2018-08,69,0.6336206896551724,0.274433014821148,0.23045955049466182,0.6482758620689655,0.75,0.5172413793103449,0.6376811594202898,False
F2,recency,20,AMZN,2018-08,69,0.5961206896551725,0.19324351318655425,0.26379006199287414,0.5612068965517242,0.675,0.5172413793103449,0.5942028985507246,False
