period,slice,model,n,dates,BA,MCC,Brier,up_recall,down_recall,pred_up,actual_up,mean_probability
test,news,semantic,84,34,0.4125934445083381,-0.17376706217554452,0.2929827120647038,0.44680851063829785,0.3783783783783784,0.5238095238095238,0.5595238095238095,0.5212943046776847
test,news,static,84,34,0.4125934445083381,-0.17376706217554452,0.2929827120647038,0.44680851063829785,0.3783783783783784,0.5238095238095238,0.5595238095238095,0.5212943046776847
test,news,gate,84,34,0.4125934445083381,-0.17376706217554452,0.2929827120647038,0.44680851063829785,0.3783783783783784,0.5238095238095238,0.5595238095238095,0.5212943046776847
test,news,gate_cal,84,34,0.40195514663599774,-0.1947504329567469,0.28830096712837355,0.425531914893617,0.3783783783783784,0.5119047619047619,0.5595238095238095,0.5161968580004933
test,news,primary_gate,84,34,0.4125934445083381,-0.17376706217554452,0.2929827120647038,0.44680851063829785,0.3783783783783784,0.5238095238095238,0.5595238095238095,0.5212943046776847
test,no_news,constant,95,41,0.5,0.0,0.25,1.0,0.0,1.0,0.49473684210526314,0.5
test,no_news,prior,95,41,0.5,0.0,0.2527135908775678,1.0,0.0,1.0,0.49473684210526314,0.5470941883767536
test,no_news,title,95,41,0.5503102836879432,0.12123577758756986,0.26077328530046123,0.8297872340425532,0.2708333333333333,0.7789473684210526,0.49473684210526314,0.6151080392218503
test,no_news,price,95,41,0.518395390070922,0.042332483668876944,0.24537940535523026,0.7659574468085106,0.2708333333333333,0.7473684210526316,0.49473684210526314,0.5745692824934885
test,no_news,old_body,95,41,0.5514184397163121,0.1606876323250091,0.24758745883975974,0.9361702127659575,0.16666666666666666,0.8842105263157894,0.49473684210526314,0.5705764002402993
test,no_news,old_semantic,95,41,0.52947695035461,0.07368829309332041,0.2606930843116382,0.8297872340425532,0.22916666666666666,0.8,0.49473684210526314,0.6207448061321221
test,no_news,old_integrated,95,41,0.518395390070922,0.042332483668876944,0.24537940535523026,0.7659574468085106,0.2708333333333333,0.7473684210526316,0.49473684210526314,0.5745692824934885
test,no_news,body,95,41,0.518395390070922,0.042332483668876944,0.24537940535523026,0.7659574468085106,0.2708333333333333,0.7473684210526316,0.49473684210526314,0.5745692824934885
test,no_news,semantic,95,41,0.518395390070922,0.042332483668876944,0.24537940535523026,0.7659574468085106,0.2708333333333333,0.7473684210526316,0.49473684210526314,0.5745692824934885
test,no_news,static,95,41,0.518395390070922,0.042332483668876944,0.24537940535523026,0.7659574468085106,0.2708333333333333,0.7473684210526316,0.49473684210526314,0.5745692824934885
test,no_news,gate,95,41,0.518395390070922,0.042332483668876944,0.24537940535523026,0.7659574468085106,0.2708333333333333,0.7473684210526316,0.49473684210526314,0.5745692824934885
test,no_news,gate_cal,95,41,0.5390070921985816,0.08555131770172476,0.24262880689790314,0.7446808510638298,0.3333333333333333,0.7052631578947368,0.49473684210526314,0.5647698159864125
test,no_news,primary_gate,95,41,0.518395390070922,0.042332483668876944,0.24537940535523026,0.7659574468085106,0.2708333333333333,0.7473684210526316,0.49473684210526314,0.5745692824934885
test,2018-11,constant,60,20,0.5,0.0,0.25,1.0,0.0,1.0,0.6,0.5
test,2018-11,prior,60,20,0.5,0.0,0.24279902490351443,1.0,0.0,1.0,0.6,0.5470941883767536
test,2018-11,title,60,20,0.513888888888889,0.027777777777777776,0.27126677331807436,0.6111111111111112,0.4166666666666667,0.6,0.6,0.5321721306463779
test,2018-11,price,60,20,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5833333333333334,0.4583333333333333,0.5666666666666667,0.6,0.5286494985133012
test,2018-11,old_body,60,20,0.4444444444444444,-0.1111111111111111,0.2745240036339852,0.5555555555555556,0.3333333333333333,0.6,0.6,0.5095828470156996
test,2018-11,old_semantic,60,20,0.5694444444444444,0.14433756729740643,0.26785532516646293,0.7222222222222222,0.4166666666666667,0.6666666666666666,0.6,0.5680918713476785
test,2018-11,old_integrated,60,20,0.5208333333333334,0.041192627728581725,0.26259296282002753,0.5833333333333334,0.4583333333333333,0.5666666666666667,0.6,0.5132498294206441
