method,symbol,period,scope,n,BA,MCC,Brier,pred_up,constant,up_rate,invalid_n,news_ratio,days
legacy_price,AAPL,2018-09,all,57,0.479064039408867,-0.05304270261576678,0.25275890439912974,0.8070175438596491,False,0.49122807017543857,0,0.9824561403508771,19
legacy_price,AAPL,2018-10,all,69,0.514102564102564,0.04367280615529453,0.2687625880355307,0.8840579710144928,False,0.43478260869565216,0,0.9855072463768116,23
legacy_price,AAPL,2018-11,all,60,0.5044493882091212,0.01308167862835013,0.2686020642974647,0.8666666666666667,False,0.5166666666666667,0,1.0,20
legacy_price,AAPL,2018-12,all,53,0.5712074303405573,0.14876840780186812,0.28313490233753635,0.6981132075471698,False,0.3584905660377358,0,1.0,18
legacy_price,AAPL,2019-01,all,63,0.4688149688149688,-0.0781966239492789,0.26210917633592307,0.8095238095238095,False,0.5873015873015873,0,1.0,21
legacy_price,AAPL,2019-02,all,2,,0.0,0.39286160501397605,1.0,True,0.0,0,1.0,1
legacy_price,AMZN,test,all,179,0.46201501877346685,-0.07915464295431036,0.2677183872747597,0.6424581005586593,False,0.5251396648044693,0,0.4692737430167598,60
legacy_price,AMZN,validation,all,126,0.5009276437847867,0.0018552875695732839,0.26196966809754185,0.6111111111111112,False,0.3888888888888889,0,0.5793650793650794,42
legacy_price,AMZN,2018-09,all,57,0.5283251231527094,0.05817474046899912,0.24694643796602234,0.6140350877192983,False,0.49122807017543857,0,0.6666666666666666,19
legacy_price,AMZN,2018-10,all,69,0.4732142857142857,-0.05050762722761054,0.27438016255401454,0.6086956521739131,False,0.30434782608695654,0,0.5072463768115942,23
legacy_price,AMZN,2018-11,all,60,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5666666666666667,False,0.6,0,0.5166666666666667,20
legacy_price,AMZN,2018-12,all,54,0.42030075187969923,-0.15763062091253158,0.2713014992300027,0.6296296296296297,False,0.35185185185185186,0,0.5,18
legacy_price,AMZN,2019-01,all,63,0.42894736842105263,-0.15389675281277312,0.26658536386998777,0.7142857142857143,False,0.6031746031746031,0,0.4126984126984127,21
legacy_price,AMZN,2019-02,all,2,0.5,0.0,0.24045705056703418,1.0,True,0.5,0,0.0,1
legacy_semantic,AAPL,test,all,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.7359550561797753,False,0.4887640449438202,0,1.0,60
legacy_semantic,AAPL,validation,all,126,0.532707910750507,0.08303200901423632,0.2867019098571284,0.8095238095238095,False,0.4603174603174603,0,0.9841269841269841,42
legacy_semantic,AAPL,2018-09,all,57,0.5665024630541872,0.1630980846658687,0.2504861776561782,0.7894736842105263,False,0.49122807017543857,0,0.9824561403508771,19
legacy_semantic,AAPL,2018-10,all,69,0.5064102564102564,0.01676757576219862,0.3166192538492177,0.8260869565217391,False,0.43478260869565216,0,0.9855072463768116,23
legacy_semantic,AAPL,2018-11,all,60,0.6262513904338154,0.28001888556827803,0.25049160393742603,0.7166666666666667,False,0.5166666666666667,0,1.0,20
legacy_semantic,AAPL,2018-12,all,53,0.5007739938080495,0.0016837880371435127,0.3342213897787733,0.7358490566037735,False,0.3584905660377358,0,1.0,18
legacy_semantic,AAPL,2019-01,all,63,0.5784823284823285,0.1775335718988042,0.2725644790519098,0.746031746031746,False,0.5873015873015873,0,1.0,21
legacy_semantic,AAPL,2019-02,all,2,,0.0,0.4590555618167934,1.0,True,0.0,0,1.0,1
legacy_semantic,AMZN,test,all,179,0.522215269086358,0.047199601781982264,0.27112935241049163,0.6703910614525139,False,0.5251396648044693,0,0.4692737430167598,60
legacy_semantic,AMZN,validation,all,126,0.4202226345083488,-0.15799216740561844,0.3053471882735636,0.5873015873015873,False,0.3888888888888889,0,0.5793650793650794,42
legacy_semantic,AMZN,2018-09,all,57,0.42056650246305416,-0.15906300624662031,0.27543284879323016,0.47368421052631576,False,0.49122807017543857,0,0.6666666666666666,19
legacy_semantic,AMZN,2018-10,all,69,0.4553571428571429,-0.08815601984727771,0.3300590339312304,0.6811594202898551,False,0.30434782608695654,0,0.5072463768115942,23
legacy_semantic,AMZN,2018-11,all,60,0.5694444444444444,0.14433756729740643,0.26785532516646293,0.6666666666666666,False,0.6,0,0.5166666666666667,20
legacy_semantic,AMZN,2018-12,all,54,0.5015037593984962,0.0029741626587270107,0.2884243643181007,0.6296296296296297,False,0.35185185185185186,0,0.5,18
legacy_semantic,AMZN,2019-01,all,63,0.48210526315789476,-0.03815170713731976,0.2599170872179454,0.6984126984126984,False,0.6031746031746031,0,0.4126984126984127,21
legacy_semantic,AMZN,2019-02,all,2,0.5,0.0,0.2555712017911119,1.0,True,0.5,0,0.0,1
legacy_title,AAPL,test,all,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.8426966292134831,False,0.4887640449438202,0,1.0,60
legacy_title,AAPL,validation,all,126,0.513184584178499,0.03847044203651039,0.2596417182572782,0.8650793650793651,False,0.4603174603174603,0,0.9841269841269841,42
legacy_title,AAPL,2018-09,all,57,0.49753694581280783,-0.007089880956935217,0.24813353749482586,0.8596491228070176,False,0.49122807017543857,0,0.9824561403508771,19
legacy_title,AAPL,2018-10,all,69,0.5269230769230769,0.0792593923901217,0.2691484762784345,0.8695652173913043,False,0.43478260869565216,0,0.9855072463768116,23
legacy_title,AAPL,2018-11,all,60,0.5205784204671857,0.0640670789510079,0.2655753785206136,0.8833333333333333,False,0.5166666666666667,0,1.0,20
legacy_title,AAPL,2018-12,all,53,0.5681114551083591,0.15183249942890767,0.28236599956090924,0.7547169811320755,False,0.3584905660377358,0,1.0,18
legacy_title,AAPL,2019-01,all,63,0.4573804573804574,-0.12603755744009754,0.2581657890924156,0.873015873015873,False,0.5873015873015873,0,1.0,21
legacy_title,AAPL,2019-02,all,2,,0.0,0.3907109209162276,1.0,True,0.0,0,1.0,1
legacy_title,AMZN,test,all,179,0.4891739674593242,-0.02281218013534929,0.2771666055907212,0.659217877094972,False,0.5251396648044693,0,0.4692737430167598,60
legacy_title,AMZN,validation,all,126,0.474025974025974,-0.05176317066525749,0.2767333885210925,0.6031746031746031,False,0.3888888888888889,0,0.5793650793650794,42
legacy_title,AMZN,2018-09,all,57,0.44027093596059114,-0.12172795978705897,0.27560943178656533,0.5964912280701754,False,0.49122807017543857,0,0.6666666666666666,19
legacy_title,AMZN,2018-10,all,69,0.5074404761904762,0.014029896452114039,0.2776618745191803,0.6086956521739131,False,0.30434782608695654,0,0.5072463768115942,23
legacy_title,AMZN,2018-11,all,60,0.513888888888889,0.027777777777777776,0.27126677331807436,0.6,False,0.6,0,0.5166666666666667,20
legacy_title,AMZN,2018-12,all,54,0.5135338345864662,0.02742042485535409,0.27944447495014607,0.6666666666666666,False,0.35185185185185186,0,0.5,18
legacy_title,AMZN,2019-01,all,63,0.44894736842105265,-0.10884457624470638,0.2813211804335381,0.6984126984126984,False,0.6031746031746031,0,0.4126984126984127,21
legacy_title,AMZN,2019-02,all,2,0.5,0.0,0.2617899935169186,1.0,True,0.5,0,0.0,1
llm_joint,AAPL,test,all,178,0.5008210180623973,0.001815415676330083,0.3575550489819366,0.28651685393258425,False,0.4887640449438202,0,1.0,60
llm_joint,AAPL,validation,all,126,0.46602434077079113,-0.07228779034694714,0.39400657779084103,0.6746031746031746,False,0.4603174603174603,0,0.9841269841269841,42
llm_joint,AAPL,2018-09,all,57,0.5129310344827587,0.029361010975735177,0.369561406801871,0.7368421052631579,False,0.49122807017543857,0,0.9824561403508771,19
llm_joint,AAPL,2018-10,all,69,0.4205128205128205,-0.16262941941218984,0.4142004146947728,0.6231884057971014,False,0.43478260869565216,0,0.9855072463768116,23
llm_joint,AAPL,2018-11,all,60,0.542825361512792,0.10389395380987634,0.36517288922291197,0.21666666666666667,False,0.5166666666666667,0,1.0,20
llm_joint,AAPL,2018-12,all,53,0.5108359133126935,0.022638670752458193,0.33008679239541766,0.3018867924528302,False,0.3584905660377358,0,1.0,18
llm_joint,AAPL,2019-01,all,63,0.47557172557172556,-0.05167269302979017,0.3723075987787988,0.31746031746031744,False,0.5873015873015873,0,1.0,21
llm_joint,AAPL,2019-02,all,2,,0.0,0.3922233226942615,1.0,True,0.0,0,1.0,1
llm_joint,AMZN,test,all,179,0.5121401752190238,0.025388033981153246,0.30770919828027254,0.6480446927374302,False,0.5251396648044693,0,0.4692737430167598,60
llm_joint,AMZN,validation,all,126,0.5797773654916512,0.15653449451298498,0.2917310946449048,0.5555555555555556,False,0.3888888888888889,0,0.5793650793650794,42
llm_joint,AMZN,2018-09,all,57,0.6342364532019704,0.281230629593758,0.2703740521848797,0.6491228070175439,False,0.49122807017543857,0,0.6666666666666666,19
llm_joint,AMZN,2018-10,all,69,0.49851190476190477,-0.002741465395665704,0.3093738688510125,0.4782608695652174,False,0.30434782608695654,0,0.5072463768115942,23
llm_joint,AMZN,2018-11,all,60,0.5416666666666666,0.08471737420873575,0.3037862427800399,0.6333333333333333,False,0.6,0,0.5166666666666667,20
llm_joint,AMZN,2018-12,all,54,0.4225563909774436,-0.14958279267168229,0.32838424793017423,0.5740740740740741,False,0.35185185185185186,0,0.5,18
llm_joint,AMZN,2019-01,all,63,0.5284210526315789,0.06155870112510924,0.2940557018040418,0.7142857142857143,False,0.6031746031746031,0,0.4126984126984127,21
llm_joint,AMZN,2019-02,all,2,0.5,0.0,0.2972566617411801,1.0,True,0.5,0,0.0,1
llm_news,AAPL,test,all,178,0.5565239358342806,0.12819117728847373,0.36840684101631005,0.2640449438202247,False,0.4887640449438202,0,1.0,60
llm_news,AAPL,validation,all,126,0.4954361054766735,-0.00949478819826475,0.38698391262702414,0.6428571428571429,False,0.4603174603174603,0,0.9841269841269841,42
llm_news,AAPL,2018-09,all,57,0.5646551724137931,0.13907296967065538,0.34915181561615344,0.6842105263157895,False,0.49122807017543857,0,0.9824561403508771,19
llm_news,AAPL,2018-10,all,69,0.43333333333333335,-0.1354332000488987,0.41823651450556953,0.6086956521739131,False,0.43478260869565216,0,0.9855072463768116,23
llm_news,AAPL,2018-11,all,60,0.5761957730812013,0.18485028145393584,0.37910673417103496,0.21666666666666667,False,0.5166666666666667,0,1.0,20
llm_news,AAPL,2018-12,all,53,0.56656346749226,0.14172444482453384,0.3256111476623698,0.2830188679245283,False,0.3584905660377358,0,1.0,18
llm_news,AAPL,2019-01,all,63,0.5467775467775469,0.10195592378577321,0.392646867882019,0.2857142857142857,False,0.5873015873015873,0,1.0,21
llm_news,AAPL,2019-02,all,2,,0.0,0.4179350739841447,0.5,False,0.0,0,1.0,1
llm_news,AMZN,test,all,179,0.5254067584480601,0.056909258598739514,0.33539610546150894,0.2737430167597765,False,0.5251396648044693,0,0.4692737430167598,60
