method,symbol,month,n,BA,MCC,Brier,pred_up,constant
RAW,AMZN,2018-08,69,0.5443965517241379,0.09118258234380079,0.23874784401878757,0.6376811594202898,0
RAW,AMZN,2018-09,57,0.4944581280788177,-0.011920540257484747,0.30290738619870605,0.6842105263157895,0
RAW,AMZN,2018-10,69,0.5282738095238095,0.052712740442193935,0.30423434240056846,0.5797101449275363,0
RAW,AMZN,2018-11,60,0.5069444444444444,0.013638618139749523,0.31408113496347434,0.4666666666666667,0
RAW,AMZN,2018-12,54,0.5345864661654135,0.06611215586238313,0.2857639256690923,0.48148148148148145,0
RAW,AMZN,2019-01,63,0.44263157894736843,-0.11775013847245042,0.2858652573474308,0.6507936507936508,0
RAW,AMZN,2019-02,2,0.5,0.0,0.24142654915607267,1.0,1
RANDOM,AAPL,2018-03,62,0.4552083333333333,-0.09191056070762839,0.33485908504485734,0.3870967741935484,0
RANDOM,AAPL,2018-04,63,0.6048387096774194,0.21426226729188558,0.2689936702560749,0.6031746031746031,0
RANDOM,AAPL,2018-05,66,0.5498602050326188,0.09916742755794981,0.3029758273151495,0.4696969696969697,0
RANDOM,AAPL,2018-06,63,0.48611111111111116,-0.027777777777777776,0.2830698482897831,0.42857142857142855,0
RANDOM,AAPL,2018-07,60,0.5567765567765568,0.10886847654706353,0.2514037938117546,0.55,0
RANDOM,AAPL,2018-08,69,0.6013071895424837,0.18118434052765828,0.2364238681209755,0.5942028985507246,0
RANDOM,AAPL,2018-09,57,0.5985221674876847,0.20234692337043172,0.2444818452814257,0.6140350877192983,0
RANDOM,AAPL,2018-10,69,0.5256410256410257,0.05288858853479451,0.2671687526058388,0.6376811594202898,0
RANDOM,AAPL,2018-11,60,0.6112347052280311,0.2358333153182891,0.26805923070549453,0.6666666666666666,0
RANDOM,AAPL,2018-12,53,0.5247678018575852,0.04772314974294068,0.2878457378232337,0.5471698113207547,0
RANDOM,AAPL,2019-01,63,0.4298336798336798,-0.13960889832186374,0.2883240061639045,0.5714285714285714,0
RANDOM,AAPL,2019-02,2,,0.0,0.32484550404793056,1.0,1
RANDOM,AMZN,2018-03,62,0.41058201058201055,-0.19233564228738492,0.31090091379073753,0.6935483870967742,0
RANDOM,AMZN,2018-04,63,0.6,0.20313335003080327,0.31503193688320835,0.6031746031746031,0
RANDOM,AMZN,2018-05,65,0.3611111111111111,-0.2813657169355689,0.29507328881868705,0.6153846153846154,0
RANDOM,AMZN,2018-06,63,0.48641304347826086,-0.02717391304347826,0.24912861642594256,0.6349206349206349,0
RANDOM,AMZN,2018-07,60,0.4333333333333333,-0.15762208124782015,0.2886832029848966,0.7666666666666667,0
RANDOM,AMZN,2018-08,69,0.655603448275862,0.31282918502397344,0.23271513868480082,0.5942028985507246,0
RANDOM,AMZN,2018-09,57,0.4568965517241379,-0.08652717095470748,0.3096040936024796,0.543859649122807,0
RANDOM,AMZN,2018-10,69,0.5416666666666666,0.07856742013183861,0.29886420255285756,0.6086956521739131,0
RANDOM,AMZN,2018-11,60,0.4861111111111111,-0.02723168561657922,0.31370182077872427,0.48333333333333334,0
RANDOM,AMZN,2018-12,54,0.5631578947368421,0.12139539573337679,0.26327639148714155,0.4444444444444444,0
RANDOM,AMZN,2019-01,63,0.44947368421052636,-0.10180556207612444,0.28080004035005973,0.6190476190476191,0
RANDOM,AMZN,2019-02,2,0.5,0.0,0.2564687731522935,1.0,1
SSL,AAPL,2018-03,62,0.4083333333333333,-0.19358668169443338,0.3495421206512065,0.3387096774193548,0
SSL,AAPL,2018-04,63,0.4783266129032258,-0.04501100457620699,0.2886515522794394,0.6349206349206349,0
SSL,AAPL,2018-05,66,0.5498602050326188,0.09916742755794981,0.2550085767509214,0.4696969696969697,0
SSL,AAPL,2018-06,63,0.47685185185185186,-0.047178209756024825,0.2660083995506622,0.38095238095238093,0
SSL,AAPL,2018-07,60,0.543956043956044,0.08404977220207888,0.25628533444541196,0.5333333333333333,0
SSL,AAPL,2018-08,69,0.6209150326797386,0.21913448731981788,0.22513020561368793,0.6231884057971014,0
SSL,AAPL,2018-09,57,0.5806650246305419,0.16439549208355386,0.2297830693752103,0.5964912280701754,0
SSL,AAPL,2018-10,69,0.5333333333333333,0.07182430061427789,0.2777730523351268,0.6956521739130435,0
SSL,AAPL,2018-11,60,0.4938820912124583,-0.01314450120176811,0.2969181512923508,0.6833333333333333,0
SSL,AAPL,2018-12,53,0.5185758513931888,0.03762051253359767,0.2974507496704954,0.660377358490566,0
SSL,AAPL,2019-01,63,0.4838877338877339,-0.03295188354714932,0.284784731071584,0.6349206349206349,0
SSL,AAPL,2019-02,2,,0.0,0.41267075665838593,1.0,1
SSL,AMZN,2018-03,62,0.41481481481481486,-0.18935607992893125,0.33299531358881385,0.7258064516129032,0
SSL,AMZN,2018-04,63,0.48928571428571427,-0.02192645048267573,0.3035924068570589,0.6190476190476191,0
SSL,AMZN,2018-05,65,0.4634502923976608,-0.09984038297885897,0.2577314374222181,0.8461538461538461,0
SSL,AMZN,2018-06,63,0.5146739130434783,0.03127716210856121,0.24533906394384872,0.7142857142857143,0
SSL,AMZN,2018-07,60,0.55,0.12136700910941023,0.26019041979251145,0.7833333333333333,0
SSL,AMZN,2018-08,69,0.6538793103448276,0.330148216453741,0.22243353885907277,0.6956521739130435,0
SSL,AMZN,2018-09,57,0.5104679802955665,0.02133376614824745,0.30064009654018115,0.5964912280701754,0
SSL,AMZN,2018-10,69,0.5446428571428572,0.08625819491779428,0.3228103615300996,0.6521739130434783,0
SSL,AMZN,2018-11,60,0.5694444444444444,0.13608276348795434,0.28530584199972814,0.5,0
SSL,AMZN,2018-12,54,0.4917293233082707,-0.015842103971120326,0.2759824458056401,0.5370370370370371,0
SSL,AMZN,2019-01,63,0.4431578947368421,-0.11239029738980327,0.28443380116094746,0.5714285714285714,0
SSL,AMZN,2019-02,2,1.0,1.0,0.1325979299796675,0.5,0
