method,symbol,phase,n,BA,MCC,Brier,pred_up,constant
F1_new,AAPL,later,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0
F1_new,AAPL,train_forward_oof,383,0.503029705202638,0.006144151764253761,0.2597824287536062,0.6214099216710183,0
F1_new,AMZN,development,126,0.5667903525046383,0.1315903389919538,0.24942184326660058,0.42857142857142855,0
F1_new,AMZN,later,179,0.538235294117647,0.07657608480148803,0.25873821779975675,0.46368715083798884,0
F1_new,AMZN,train_forward_oof,382,0.5379502985937199,0.07580157347985839,0.2573844184492476,0.4816753926701571,0
F2_new,AAPL,development,126,0.5512170385395537,0.13971562617722497,0.2538212968684112,0.8412698412698413,0
F2_new,AAPL,later,178,0.5514083617531893,0.12542620043096026,0.2577266770701453,0.7865168539325843,0
F2_new,AAPL,train_forward_oof,383,0.5039033876331661,0.007732598917166891,0.27963009176947434,0.5587467362924282,0
F2_new,AMZN,development,126,0.49165120593692024,-0.01628008235137685,0.26334044897546605,0.5,0
F2_new,AMZN,later,179,0.5678973717146434,0.13610170167374214,0.2485884750447944,0.5418994413407822,0
F2_new,AMZN,train_forward_oof,382,0.4978259074772271,-0.0044652946634328415,0.28921108569176873,0.6178010471204188,0
H0,AAPL,development,126,0.5461460446247465,0.11064731431783177,0.25050676559720325,0.7777777777777778,0
H0,AAPL,later,178,0.5281672350637868,0.06527934660439429,0.2612802889936091,0.7528089887640449,0
H0,AAPL,train_forward_oof,383,0.5285778704695339,0.05622074637421524,0.2818232968893448,0.49869451697127937,0
H0,AMZN,development,126,0.5120593692022264,0.02352753314395493,0.25396465729647055,0.5158730158730159,0
H0,AMZN,later,179,0.5029411764705882,0.005875004589849128,0.2615389271424367,0.4972067039106145,0
H0,AMZN,train_forward_oof,382,0.5426975259377493,0.0853950518754988,0.2885824393172493,0.5314136125654451,0
H1,AAPL,development,126,0.5585699797160244,0.15666400527136837,0.25298604699855404,0.8333333333333334,0
H1,AAPL,later,178,0.5291777188328912,0.0726216698045009,0.26272762143355116,0.797752808988764,0
H1,AAPL,train_forward_oof,383,0.5418522067527196,0.08236881505757669,0.30177497818560667,0.5143603133159269,0
H1,AMZN,development,126,0.5500927643784786,0.09869275424396534,0.25384860450342117,0.5714285714285714,0
H1,AMZN,later,179,0.4872340425531915,-0.0258908476007435,0.26770493739312157,0.5865921787709497,0
H1,AMZN,train_forward_oof,382,0.5070451605801249,0.014148260104542605,0.3161884011650146,0.5549738219895288,0
H2,AAPL,development,126,0.5339756592292089,0.08921509264969128,0.2554527079778938,0.8253968253968254,0
H2,AAPL,later,178,0.517683465959328,0.04314414756838928,0.26334746661995173,0.7865168539325843,0
H2,AAPL,train_forward_oof,383,0.5288456118595344,0.05676295000730646,0.29662347950500023,0.5117493472584856,0
H2,AMZN,development,126,0.5454545454545454,0.08868070185029167,0.2557304663827915,0.5158730158730159,0
H2,AMZN,later,179,0.48667083854818527,-0.027148639878595577,0.26972221431634247,0.5977653631284916,0
H2,AMZN,train_forward_oof,382,0.5090266119932851,0.018037594238473544,0.3231233198431508,0.5235602094240838,0
P_cross_hgb,AAPL,development,126,0.5141987829614605,0.03404532748240977,0.28720527989789074,0.7777777777777778,0
P_cross_hgb,AAPL,later,178,0.49842111911077425,-0.003383214809560184,0.28112509978306216,0.6797752808988764,0
P_cross_hgb,AAPL,train_forward_oof,383,0.5539851192153769,0.10757681472158925,0.2745824623490461,0.5796344647519582,0
P_cross_hgb,AMZN,development,126,0.49536178107606677,-0.009537869319500918,0.2825055468938826,0.6587301587301587,0
P_cross_hgb,AMZN,later,179,0.5073842302878598,0.01528612575656777,0.2579810906961503,0.6312849162011173,0
P_cross_hgb,AMZN,train_forward_oof,382,0.4375154800891653,-0.13594787283127072,0.29710643311767765,0.6989528795811518,0
P_cross_lr,AAPL,development,126,0.505578093306288,0.013209894746573558,0.2625899251022868,0.7698412698412699,0
P_cross_lr,AAPL,later,178,0.548376910445876,0.10151345467399929,0.2707471814466843,0.651685393258427,0
P_cross_lr,AAPL,train_forward_oof,383,0.5480525336790485,0.0950789435596357,0.26737767227806664,0.5535248041775457,0
P_cross_lr,AMZN,development,126,0.5677179962894249,0.13543599257884972,0.27677840428485473,0.6111111111111112,0
P_cross_lr,AMZN,later,179,0.4919899874843554,-0.016352928123630196,0.2781162717723132,0.6033519553072626,0
P_cross_lr,AMZN,train_forward_oof,382,0.4983075102512591,-0.0035457252733641412,0.26140466352196645,0.6518324607329843,0
P_cross_tabpfn,AAPL,development,126,0.5316937119675457,0.10386295096209561,0.2589984178996297,0.8968253968253969,0
P_cross_tabpfn,AAPL,later,178,0.5017051913603637,0.004495147298372669,0.2676656832601392,0.8258426966292135,0
P_cross_tabpfn,AAPL,train_forward_oof,383,0.508229524829491,0.01619112532099405,0.26283200550370556,0.5065274151436031,0
P_cross_tabpfn,AMZN,development,126,0.5231910946196661,0.04964765961593299,0.25091200796961366,0.7063492063492064,0
P_cross_tabpfn,AMZN,later,179,0.5434918648310388,0.0941497622381132,0.24982324240926704,0.6927374301675978,0
P_cross_tabpfn,AMZN,train_forward_oof,382,0.5018851308583537,0.0044165061756924135,0.26248338638347746,0.7617801047120419,0
P_own_hgb,AAPL,development,126,0.5608519269776876,0.14242182297397127,0.2606962727745103,0.7619047619047619,0
P_own_hgb,AAPL,later,178,0.4599595806492358,-0.0890674355972493,0.2950189228438794,0.7191011235955056,0
P_own_hgb,AAPL,train_forward_oof,383,0.5372583281663943,0.07372103424389348,0.26762525376368845,0.5535248041775457,0
P_own_hgb,AMZN,development,126,0.549165120593692,0.10231259871920485,0.2700778738570807,0.6746031746031746,0
P_own_hgb,AMZN,later,179,0.5138297872340425,0.0283790593375868,0.26937775150052984,0.6145251396648045,0
P_own_hgb,AMZN,train_forward_oof,382,0.4378732421498748,-0.127119485216896,0.2920707274338476,0.6099476439790575,0
P_own_lr,AAPL,development,126,0.5423427991886409,0.0950921444666288,0.2476481601725102,0.7301587301587301,0
P_own_lr,AAPL,later,178,0.5318933939623595,0.06773475575686679,0.2709271728279034,0.6685393258426966,0
P_own_lr,AAPL,train_forward_oof,383,0.5386674933769235,0.07611348404177302,0.2610479128597989,0.5169712793733682,0
P_own_lr,AMZN,development,126,0.5315398886827458,0.06387187202625091,0.27514801084600843,0.6349206349206349,0
P_own_lr,AMZN,later,179,0.5026282853566959,0.0053933053944735096,0.27398366185964856,0.6145251396648045,0
P_own_lr,AMZN,train_forward_oof,382,0.5298456119107245,0.06252583835712863,0.2603069823177504,0.6518324607329843,0
P_own_tabpfn,AAPL,development,126,0.5524847870182557,0.14951465315404883,0.256278803509072,0.8571428571428571,0
P_own_tabpfn,AAPL,later,178,0.45648604269293924,-0.11194325436735891,0.2697141740419799,0.8146067415730337,0
P_own_tabpfn,AAPL,train_forward_oof,383,0.5529141536553746,0.10425356706418466,0.24983560683475445,0.5274151436031331,0
