method,symbol,phase,original_news,n,BA,MCC,Brier,pred_up,constant
P_own_lr,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
P_own_lr,AAPL,train_forward_oof,1,379,0.5395670995670996,0.07776597364041879,0.2605453716525269,0.5145118733509235,0
P_own_lr,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
P_own_lr,AMZN,development,1,73,0.5519323671497585,0.11076883630255423,0.28105681615906103,0.7123287671232876,0
P_own_lr,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
P_own_lr,AMZN,later,1,84,0.45514663599769983,-0.08999179993738798,0.30820772680385,0.5714285714285714,0
P_own_lr,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
P_own_lr,AMZN,train_forward_oof,1,198,0.4581502299437915,-0.0850487718310027,0.27258774445263784,0.5909090909090909,0
P_own_tabpfn,AAPL,development,0,2,,0.0,0.23152394118881547,0.5,0
P_own_tabpfn,AAPL,development,1,124,0.5598739495798319,0.17326068348083354,0.2566780754819793,0.8629032258064516,0
P_own_tabpfn,AAPL,later,1,178,0.45648604269293924,-0.11194325436735891,0.2697141740419799,0.8146067415730337,0
P_own_tabpfn,AAPL,train_forward_oof,0,4,0.8333333333333333,0.5773502691896258,0.2234765705224364,0.5,0
P_own_tabpfn,AAPL,train_forward_oof,1,379,0.5506782106782107,0.09971520224501385,0.2501138024686576,0.5277044854881267,0
P_own_tabpfn,AMZN,development,0,53,0.5542521994134898,0.12426186302442484,0.2522096918749757,0.7547169811320755,0
P_own_tabpfn,AMZN,development,1,73,0.5889694041867954,0.19577525367578097,0.26085712025833735,0.7397260273972602,0
P_own_tabpfn,AMZN,later,0,95,0.6128102836879432,0.2500989660261858,0.23765063068998987,0.7157894736842105,0
P_own_tabpfn,AMZN,later,1,84,0.4281196089706728,-0.14540045212864328,0.2658208686230453,0.5952380952380952,0
P_own_tabpfn,AMZN,train_forward_oof,0,184,0.49098440545808963,-0.02372009801059401,0.2614912804881526,0.8315217391304348,0
P_own_tabpfn,AMZN,train_forward_oof,1,198,0.485743484925907,-0.03399161631727935,0.25945976735491816,0.7727272727272727,0
T_A1,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
T_A1,AAPL,development,1,124,0.5236344537815126,0.05375948905542335,0.2664378615111922,0.7419354838709677,0
T_A1,AAPL,later,1,178,0.5433876468359227,0.09297074296671386,0.26208145428619695,0.6797752808988764,0
T_A1,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
