phase,horizon_minutes,symbol,method,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,valid_rows,context_complete_rate
inner,240,AAPL,AR0,2018-03,688,0.4953346855983773,-0.00978803165119281,0.24989072128393638,0.5005831643002029,0.34411764705882353,0.646551724137931,0.3488372093023256,False,688,0.5828488372093024
inner,240,AAPL,AR0,2018-04,782,0.5096022405227887,0.019400359657423358,0.24988492717955513,0.5163538158903744,0.4124629080118694,0.6067415730337079,0.40153452685422,False,782,0.5562659846547314
inner,240,AAPL,AR0,2018-05,1112,0.5081692848147412,0.01615828074312263,0.24932259535326173,0.5374494597998276,0.48442367601246106,0.5319148936170213,0.47751798561151076,False,1112,0.5908273381294964
inner,240,AAPL,AR1,2018-03,688,0.50789384719405,0.017163540993772975,0.2499563254718289,0.49636578769438816,0.31176470588235294,0.7040229885057471,0.30377906976744184,False,688,0.5828488372093024
inner,240,AAPL,AR1,2018-04,782,0.4866702230520455,-0.02737083934316882,0.24979598165452382,0.5116927283032707,0.35311572700296734,0.6202247191011236,0.36828644501278773,False,782,0.5562659846547314
inner,240,AAPL,AR1,2018-05,1112,0.4984821369390866,-0.003013437958968037,0.24946924235738413,0.5280009279512163,0.4501557632398754,0.5468085106382978,0.45143884892086333,False,1112,0.5908273381294964
inner,240,AMZN,AR0,2018-03,160,0.39126984126984127,-0.2729446526789181,0.252839840251026,0.4314285714285715,0.7111111111111111,0.07142857142857142,0.80625,False,160,0.58125
inner,240,AMZN,AR0,2018-04,186,0.532258064516129,0.06842968850192395,0.24915561489508523,0.5590241646433114,0.6989247311827957,0.3655913978494624,0.6666666666666666,False,186,0.5645161290322581
inner,240,AMZN,AR0,2018-05,197,0.5486342785654712,0.09846664355760786,0.2497104585683639,0.5460800667222685,0.6477272727272727,0.44954128440366975,0.5939086294416244,False,197,0.6243654822335025
inner,240,AMZN,AR1,2018-03,160,0.4349206349206349,-0.22850890643054064,0.2502143285277584,0.47809523809523813,0.8555555555555555,0.014285714285714285,0.9125,False,160,0.58125
inner,240,AMZN,AR1,2018-04,186,0.510752688172043,0.025717224993681984,0.250198216150279,0.5042201410567695,0.7849462365591398,0.23655913978494625,0.7741935483870968,False,186,0.5645161290322581
inner,240,AMZN,AR1,2018-05,197,0.469140950792327,-0.07199006458428081,0.25048977502422726,0.5043786488740618,0.7272727272727273,0.21100917431192662,0.7614213197969543,False,197,0.6243654822335025
outer,30,AAPL,AR0,2018-06,1498,0.5227897102897103,0.04607022011597318,0.24944326777606088,0.53280291137434,0.44805194805194803,0.5975274725274725,0.4259012016021362,False,1498,0.7790387182910548
outer,30,AAPL,AR0,2018-07,969,0.5004374303113475,0.0008731585030289115,0.2510771245560217,0.509308259713526,0.47415730337078654,0.5267175572519084,0.47368421052631576,False,969,0.7812177502579979
outer,30,AAPL,AR0,2018-08,1370,0.5225409836065573,0.0532467451801134,0.24998802148651592,0.5623382226056947,0.25,0.7950819672131147,0.22992700729927007,False,1370,0.845985401459854
outer,30,AAPL,AR1,2018-06,1498,0.5285214785214785,0.05923771356870676,0.2497058841145848,0.5377461823890395,0.3922077922077922,0.6648351648351648,0.3644859813084112,False,1498,0.7790387182910548
outer,30,AAPL,AR1,2018-07,969,0.5148404665923321,0.030088344733059928,0.24989594906786847,0.5246719272664894,0.4247191011235955,0.6049618320610687,0.4086687306501548,False,969,0.7812177502579979
outer,30,AAPL,AR1,2018-08,1370,0.5161777394305436,0.04454886049319549,0.2503216057766172,0.5424029335634167,0.16842105263157894,0.8639344262295082,0.15401459854014599,False,1370,0.845985401459854
outer,30,AMZN,AR0,2018-06,461,0.509770699198012,0.02379055719195729,0.24908864866716648,0.5363624383448171,0.7948717948717948,0.22466960352422907,0.7852494577006508,False,461,0.8134490238611713
outer,30,AMZN,AR0,2018-07,381,0.5488026925623483,0.10214448619144378,0.24685002191895367,0.550402780843081,0.6954314720812182,0.40217391304347827,0.6482939632545932,False,381,0.8031496062992126
outer,30,AMZN,AR0,2018-08,449,0.5191298203109227,0.03849822478545793,0.25069916814453824,0.5008681607106804,0.6023622047244095,0.4358974358974359,0.5857461024498887,False,449,0.8752783964365256
outer,30,AMZN,AR1,2018-06,461,0.4890620881810309,-0.024362473164762005,0.24964187068074217,0.516228020633307,0.7094017094017094,0.2687224669603524,0.720173535791757,False,461,0.8134490238611713
outer,30,AMZN,AR1,2018-07,381,0.5217805120282498,0.04431186578968923,0.24787176528627988,0.5543202383579784,0.6142131979695431,0.42934782608695654,0.5931758530183727,False,381,0.8031496062992126
outer,30,AMZN,AR1,2018-08,449,0.502786190187765,0.005582872916278548,0.2503040209686958,0.4961639410458308,0.5748031496062992,0.4307692307692308,0.5723830734966593,False,449,0.8752783964365256
outer,60,AAPL,AR0,2018-06,1404,0.5219344194931028,0.04602604451346259,0.2493367450321587,0.5537543304331551,0.3677069199457259,0.6761619190404797,0.3468660968660969,False,1404,0.7642450142450142
outer,60,AAPL,AR0,2018-07,905,0.49104735669909744,-0.01802185181023855,0.25260050770475306,0.4731493963193061,0.4342105263157895,0.5478841870824054,0.4430939226519337,False,905,0.7657458563535912
outer,60,AAPL,AR0,2018-08,1259,0.539045854930518,0.08240299062098357,0.25014846438140914,0.5973198291304946,0.34028683181225555,0.7378048780487805,0.30976965845909454,False,1259,0.8324066719618745
outer,60,AAPL,AR1,2018-06,1404,0.5207077600955289,0.047322101892117496,0.24978309119963496,0.5457535818250983,0.276797829036635,0.7646176911544228,0.2571225071225071,False,1404,0.7642450142450142
outer,60,AAPL,AR1,2018-07,905,0.49928691439065365,-0.0014706523090560557,0.2504891850087548,0.479891962646036,0.37719298245614036,0.621380846325167,0.37790055248618787,False,905,0.7657458563535912
outer,60,AAPL,AR1,2018-08,1259,0.5185126297156062,0.04170970032659957,0.2505226561026644,0.5650671500196096,0.2646675358539765,0.7723577235772358,0.25019857029388404,False,1259,0.8324066719618745
outer,60,AMZN,AR0,2018-06,440,0.5395542186292327,0.0828555606236192,0.2490260813330614,0.5601616845271667,0.3786008230452675,0.700507614213198,0.3431818181818182,False,440,0.8045454545454546
outer,60,AMZN,AR0,2018-07,360,0.49749992283712463,-0.005025266627305368,0.25509988567504044,0.536436309762647,0.44751381215469616,0.547486033519553,0.45,False,360,0.7916666666666666
outer,60,AMZN,AR0,2018-08,417,0.49930181283684466,-0.0013929320793466934,0.25254254798624554,0.5007839294463499,0.38076923076923075,0.6178343949044586,0.381294964028777,False,417,0.8657074340527577
outer,60,AMZN,AR1,2018-06,440,0.5359925633473293,0.08079976240784083,0.2500141083851832,0.5384052975705542,0.3004115226337449,0.7715736040609137,0.2681818181818182,False,440,0.8045454545454546
outer,60,AMZN,AR1,2018-07,360,0.5142596993734375,0.02877589137455544,0.2496310109995503,0.5407882959350597,0.44751381215469616,0.5810055865921788,0.43333333333333335,False,360,0.7916666666666666
outer,60,AMZN,AR1,2018-08,417,0.5088559529642331,0.01773451207158968,0.25066533606004815,0.5069083782459578,0.38076923076923075,0.6369426751592356,0.37410071942446044,False,417,0.8657074340527577
outer,120,AAPL,AR0,2018-06,1190,0.5707149830847127,0.14442199913961964,0.24431674700692724,0.6191278977363032,0.4591194968553459,0.6823104693140795,0.39327731092436974,False,1190,0.7218487394957983
outer,120,AAPL,AR0,2018-07,764,0.4708446418290978,-0.0584430467465162,0.254237005030454,0.4761801957397812,0.4365079365079365,0.5051813471502591,0.46596858638743455,False,764,0.7225130890052356
outer,120,AAPL,AR0,2018-08,992,0.48829542182551106,-0.021650192711578097,0.2533001369017626,0.5067568864574336,0.4434782608695652,0.5331125827814569,0.45060483870967744,False,992,0.7872983870967742
outer,120,AAPL,AR1,2018-06,1190,0.5729542719614922,0.1527176610772785,0.24584137270299222,0.613184842086143,0.4166666666666667,0.7292418772563177,0.3487394957983193,False,1190,0.7218487394957983
outer,120,AAPL,AR1,2018-07,764,0.48509334649231023,-0.029952504747890716,0.2521739712379431,0.4876154837294734,0.4365079365079365,0.533678756476684,0.45157068062827227,False,764,0.7225130890052356
outer,120,AAPL,AR1,2018-08,992,0.4966743449467319,-0.006178063530051495,0.2520344217296585,0.5177512237258854,0.43043478260869567,0.5629139072847682,0.4324596774193548,False,992,0.7872983870967742
outer,120,AMZN,AR0,2018-06,377,0.4929826097105509,-0.03777052172781445,0.24380805486855667,0.570217670401494,0.9598214285714286,0.026143790849673203,0.9655172413793104,False,377,0.7718832891246684
outer,120,AMZN,AR0,2018-07,313,0.48117651963645464,-0.04702660727019862,0.26093878167027307,0.46652213791378305,0.7835820895522388,0.1787709497206704,0.805111821086262,False,313,0.7603833865814696
outer,120,AMZN,AR0,2018-08,333,0.4444423708569722,-0.1238659361004778,0.2500518418335697,0.4283368169602867,0.6903553299492385,0.19852941176470587,0.7357357357357357,False,333,0.8318318318318318
outer,120,AMZN,AR1,2018-06,377,0.5211834733893558,0.04808833575397613,0.24633246703936915,0.518936741363212,0.7678571428571429,0.27450980392156865,0.7506631299734748,False,377,0.7718832891246684
outer,120,AMZN,AR1,2018-07,313,0.5082131243225215,0.020781382835545734,0.2640220712639344,0.4454681897773701,0.8208955223880597,0.19553072625698323,0.8115015974440895,False,313,0.7603833865814696
outer,120,AMZN,AR1,2018-08,333,0.4795461331740818,-0.043166031732182766,0.24962176834567976,0.48525679307255887,0.6649746192893401,0.29411764705882354,0.6816816816816816,False,333,0.8318318318318318
outer,240,AAPL,AR0,2018-06,731,0.4507672733479185,-0.09873776403147856,0.25157809672089737,0.4276598550792099,0.35944700460829493,0.5420875420875421,0.399452804377565,False,731,0.5471956224350205
