key,symbol,cutoff_utc,horizon_minutes,n_articles,coverage,horizon_complete,used_group_count
AMZN|2018-10-01 13:30:00+00:00,AMZN,2018-10-01T13:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-01 14:30:00+00:00,AAPL,2018-10-01T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-01 14:30:00+00:00,AMZN,2018-10-01T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-01 15:30:00+00:00,AAPL,2018-10-01T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-01 15:30:00+00:00,AMZN,2018-10-01T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-02 13:30:00+00:00,AAPL,2018-10-02T13:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-02 13:30:00+00:00,AMZN,2018-10-02T13:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-02 14:30:00+00:00,AAPL,2018-10-02T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-02 14:30:00+00:00,AMZN,2018-10-02T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-02 15:30:00+00:00,AAPL,2018-10-02T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-02 15:30:00+00:00,AMZN,2018-10-02T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-03 13:30:00+00:00,AAPL,2018-10-03T13:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-03 13:30:00+00:00,AMZN,2018-10-03T13:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-03 14:30:00+00:00,AAPL,2018-10-03T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-03 14:30:00+00:00,AMZN,2018-10-03T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-03 15:30:00+00:00,AAPL,2018-10-03T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-03 15:30:00+00:00,AMZN,2018-10-03T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-04 13:30:00+00:00,AAPL,2018-10-04T13:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-04 13:30:00+00:00,AMZN,2018-10-04T13:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-04 14:30:00+00:00,AAPL,2018-10-04T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-04 14:30:00+00:00,AMZN,2018-10-04T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-04 15:30:00+00:00,AAPL,2018-10-04T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-04 15:30:00+00:00,AMZN,2018-10-04T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-05 13:30:00+00:00,AAPL,2018-10-05T13:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-05 13:30:00+00:00,AMZN,2018-10-05T13:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-05 14:30:00+00:00,AAPL,2018-10-05T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-05 14:30:00+00:00,AMZN,2018-10-05T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-05 15:30:00+00:00,AAPL,2018-10-05T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-05 15:30:00+00:00,AMZN,2018-10-05T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-10-08 13:30:00+00:00,AAPL,2018-10-08T13:25:00+00:00,240,0,0.0,False,0
AMZN|2018-10-08 13:30:00+00:00,AMZN,2018-10-08T13:25:00+00:00,240,0,0.0,False,0
