method,variant,symbol,month,half_life,n,BA,MCC,Brier,pred_up,constant
F2,system_recency,AMZN,2018-07,20,60,0.5666666666666667,0.15075567228888181,0.2622662080323327,0.7333333333333333,False
R1,infinity_refit,AAPL,2018-08,infinity,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.6231884057971014,False
R1,branch_recency,AAPL,2018-08,20,69,0.6209150326797386,0.21913448731981788,0.23658558884991357,0.6231884057971014,False
F1,infinity_refit,AAPL,2018-08,infinity,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.7246376811594203,False
F1,branch_recency,AAPL,2018-08,20,69,0.47549019607843135,-0.05352366090381881,0.23239115599724675,0.7971014492753623,False
F1,system_recency,AAPL,2018-08,20,69,0.47549019607843135,-0.05352366090381881,0.2325767216323447,0.7971014492753623,False
F2,infinity_refit,AAPL,2018-08,infinity,69,0.6388888888888888,0.24839788620727343,0.2095172557287309,0.5942028985507246,False
F2,branch_recency,AAPL,2018-08,20,69,0.5326797385620915,0.057405886644031366,0.3014165624846223,0.4927536231884058,False
F2,system_recency,AAPL,2018-08,20,69,0.5326797385620915,0.057405886644031366,0.30160212811972015,0.4927536231884058,False
R1,infinity_refit,AMZN,2018-08,infinity,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6376811594202898,False
R1,branch_recency,AMZN,2018-08,20,69,0.6116379310344828,0.23648875780580347,0.23633443373219806,0.6811594202898551,False
F1,infinity_refit,AMZN,2018-08,infinity,69,0.6400862068965517,0.27661828579457937,0.23051480645941932,0.5072463768115942,False
F1,branch_recency,AMZN,2018-08,20,69,0.6370689655172415,0.2729638873910405,0.23038519261589005,0.43478260869565216,False
F1,system_recency,AMZN,2018-08,20,69,0.6198275862068966,0.23781714225489284,0.2368975298805426,0.4492753623188406,False
F2,infinity_refit,AMZN,2018-08,infinity,69,0.6336206896551724,0.274433014821148,0.23045955049466177,0.6376811594202898,False
F2,branch_recency,AMZN,2018-08,20,69,0.6258620689655172,0.25303634910526385,0.2507604844549228,0.5942028985507246,False
F2,system_recency,AMZN,2018-08,20,69,0.6086206896551725,0.21971768720102056,0.25727282171957544,0.6086956521739131,False
