phase,symbol,month,method,n,BA,MCC,Brier,pred_up,constant
later,AMZN,2018-11,F2_infinity_refit,60,0.5694444444444444,0.14433756729740643,0.2696937342779578,0.6666666666666666,False
later,AMZN,2018-11,F2_branch_recency,60,0.5694444444444444,0.14433756729740643,0.2876314445813233,0.6666666666666666,False
later,AMZN,2018-11,F2_system_recency,60,0.5486111111111112,0.0961161313666907,0.2988927415119559,0.43333333333333335,False
later,AMZN,2018-12,R1_infinity_refit,54,0.5323308270676692,0.061928224614379454,0.2584394215807982,0.5370370370370371,False
later,AMZN,2018-12,R1_recency,54,0.5030075187969925,0.006554735253444622,0.2615589933765071,0.25925925925925924,False
later,AMZN,2018-12,F1_infinity_refit,54,0.606015037593985,0.20770247549870044,0.23183241241765348,0.3888888888888889,False
later,AMZN,2018-12,F1_branch_recency,54,0.5007518796992481,0.0015461935406079898,0.24793445393451613,0.3148148148148148,False
later,AMZN,2018-12,F1_system_recency,54,0.5097744360902255,0.0322069417251816,0.2441250573337449,0.09259259259259259,False
later,AMZN,2018-12,F2_infinity_refit,54,0.544360902255639,0.08568334725853646,0.2564036519905896,0.5740740740740741,False
later,AMZN,2018-12,F2_branch_recency,54,0.4631578947368421,-0.07116074602827605,0.2965324723381783,0.5740740740740741,False
later,AMZN,2018-12,F2_system_recency,54,0.47218045112781953,-0.055639097744360905,0.292723075737407,0.35185185185185186,False
later,AMZN,2019-01,R1_infinity_refit,63,0.44263157894736843,-0.11775013847245042,0.272779513025182,0.6507936507936508,False
later,AMZN,2019-01,R1_recency,63,0.40421052631578946,-0.18862382502860303,0.27897831271454027,0.4444444444444444,False
later,AMZN,2019-01,F1_infinity_refit,63,0.49684210526315786,-0.006186882248897459,0.27251657027097936,0.47619047619047616,False
later,AMZN,2019-01,F1_branch_recency,63,0.5105263157894737,0.02092091413420943,0.2634611296691583,0.4126984126984127,False
later,AMZN,2019-01,F1_system_recency,63,0.4978947368421053,-0.0044253636380814365,0.2665402150351183,0.31746031746031744,False
later,AMZN,2019-01,F2_infinity_refit,63,0.5163157894736843,0.03203033152014646,0.25860775810321435,0.5396825396825397,False
later,AMZN,2019-01,F2_branch_recency,63,0.5431578947368421,0.08446877845160874,0.26320697757269906,0.49206349206349204,False
later,AMZN,2019-01,F2_system_recency,63,0.5305263157894737,0.061052631578947365,0.26628606293865903,0.3968253968253968,False
later,AMZN,2019-02,R1_infinity_refit,2,0.5,0.0,0.26145143278404165,1.0,True
later,AMZN,2019-02,R1_recency,2,0.5,0.0,0.2742112028946788,0.0,True
later,AMZN,2019-02,F1_infinity_refit,2,0.5,0.0,0.26145143278404165,1.0,True
later,AMZN,2019-02,F1_branch_recency,2,0.5,0.0,0.26145143278404165,1.0,True
later,AMZN,2019-02,F1_system_recency,2,0.5,0.0,0.2742112028946788,0.0,True
later,AMZN,2019-02,F2_infinity_refit,2,0.5,0.0,0.26145143278404165,1.0,True
later,AMZN,2019-02,F2_branch_recency,2,0.5,0.0,0.26145143278404165,1.0,True
later,AMZN,2019-02,F2_system_recency,2,0.5,0.0,0.2742112028946788,0.0,True
train_forward_oof,AAPL,2018-06,R1_infinity_refit,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.3968253968253968,False
train_forward_oof,AAPL,2018-06,R1_recency,63,0.44907407407407407,-0.10573013661495896,0.25775272854682135,0.3492063492063492,False
train_forward_oof,AAPL,2018-06,F1_infinity_refit,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.5714285714285714,False
train_forward_oof,AAPL,2018-06,F1_branch_recency,63,0.5185185185185185,0.036773156567646105,0.25008928335995906,0.5396825396825397,False
train_forward_oof,AAPL,2018-06,F1_system_recency,63,0.5185185185185185,0.036773156567646105,0.25008928335995906,0.5396825396825397,False
train_forward_oof,AAPL,2018-06,F2_infinity_refit,63,0.3935185185185185,-0.21080522784319533,0.27061536068688824,0.5079365079365079,False
train_forward_oof,AAPL,2018-06,F2_branch_recency,63,0.375,-0.2695690340429192,0.2582707918937994,0.30158730158730157,False
train_forward_oof,AAPL,2018-06,F2_system_recency,63,0.375,-0.2695690340429192,0.2582707918937994,0.30158730158730157,False
train_forward_oof,AAPL,2018-07,R1_infinity_refit,60,0.586080586080586,0.17216117216117216,0.24446613983237067,0.35,False
train_forward_oof,AAPL,2018-07,R1_recency,60,0.5989010989010989,0.1957807216292501,0.249035259671516,0.36666666666666664,False
train_forward_oof,AAPL,2018-07,F1_infinity_refit,60,0.554945054945055,0.10482848367219183,0.24052626453701736,0.5,False
train_forward_oof,AAPL,2018-07,F1_branch_recency,60,0.5787545787545787,0.15033770409001926,0.24410516705323457,0.48333333333333334,False
train_forward_oof,AAPL,2018-07,F1_system_recency,60,0.5787545787545787,0.15033770409001926,0.24410516705323457,0.48333333333333334,False
train_forward_oof,AAPL,2018-07,F2_infinity_refit,60,0.47985347985347987,-0.03863074974250641,0.27387296217055795,0.45,False
train_forward_oof,AAPL,2018-07,F2_branch_recency,60,0.47435897435897434,-0.053376051268362375,0.2604139057044636,0.3,False
train_forward_oof,AAPL,2018-07,F2_system_recency,60,0.47435897435897434,-0.053376051268362375,0.2604139057044636,0.3,False
train_forward_oof,AAPL,2018-08,R1_infinity_refit,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.6231884057971014,False
train_forward_oof,AAPL,2018-08,R1_recency,69,0.6209150326797386,0.21913448731981788,0.23658558884991357,0.6231884057971014,False
train_forward_oof,AAPL,2018-08,F1_infinity_refit,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.7246376811594203,False
train_forward_oof,AAPL,2018-08,F1_branch_recency,69,0.47549019607843135,-0.05352366090381881,0.23239115599724675,0.7971014492753623,False
train_forward_oof,AAPL,2018-08,F1_system_recency,69,0.47549019607843135,-0.05352366090381881,0.2325767216323447,0.7971014492753623,False
train_forward_oof,AAPL,2018-08,F2_infinity_refit,69,0.6388888888888888,0.24839788620727343,0.2095172557287309,0.5942028985507246,False
train_forward_oof,AAPL,2018-08,F2_branch_recency,69,0.5326797385620915,0.057405886644031366,0.3014165624846223,0.4927536231884058,False
train_forward_oof,AAPL,2018-08,F2_system_recency,69,0.5326797385620915,0.057405886644031366,0.30160212811972015,0.4927536231884058,False
train_forward_oof,AMZN,2018-06,R1_infinity_refit,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.6984126984126984,False
train_forward_oof,AMZN,2018-06,R1_recency,63,0.4548913043478261,-0.08688170650756233,0.2472027223617842,0.5079365079365079,False
train_forward_oof,AMZN,2018-06,F1_infinity_refit,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.49206349206349204,False
train_forward_oof,AMZN,2018-06,F1_branch_recency,63,0.6043478260869566,0.20118227630781807,0.2462409461947,0.5238095238095238,False
train_forward_oof,AMZN,2018-06,F1_system_recency,63,0.47336956521739126,-0.051604684654214,0.2577501336759848,0.4444444444444444,False
train_forward_oof,AMZN,2018-06,F2_infinity_refit,63,0.4989130434782609,-0.002195496824144787,0.24424332010338076,0.6507936507936508,False
