CIK,ticker,issuer_name,training_period_SIC_evidence,derived_FF12_industry,industry_status,source,mapping_source,mapping_sha256
26780,DAN,DANA Inc,"[{""filing_date"":""2019-05-02"",""accession"":""0000026780-19-000008"",""form"":""10-Q"",""SIC"":3714,""FF12"":""Durbl""},{""filing_date"":""2021-10-26"",""accession"":""0001437749-21-024264"",""form"":""10-Q"",""SIC"":3714,""FF12"":""Durbl""}]",Durbl,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1318605,TSLA,"Tesla, Inc.","[{""filing_date"":""2018-05-07"",""accession"":""0001564590-18-011086"",""form"":""10-Q"",""SIC"":3711,""FF12"":""Durbl""},{""filing_date"":""2021-10-25"",""accession"":""0000950170-21-002253"",""form"":""10-Q"",""SIC"":3711,""FF12"":""Durbl""}]",Durbl,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
37996,F,FORD MOTOR CO,"[{""filing_date"":""2019-07-25"",""accession"":""0000037996-19-000067"",""form"":""10-Q"",""SIC"":3711,""FF12"":""Durbl""},{""filing_date"":""2021-10-28"",""accession"":""0000037996-21-000086"",""form"":""10-Q"",""SIC"":3711,""FF12"":""Durbl""}]",Durbl,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1467858,GM,General Motors Co,"[{""filing_date"":""2018-02-06"",""accession"":""0001467858-18-000022"",""form"":""10-K"",""SIC"":3711,""FF12"":""Durbl""},{""filing_date"":""2021-10-27"",""accession"":""0001467858-21-000152"",""form"":""10-Q"",""SIC"":3711,""FF12"":""Durbl""}]",Durbl,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
908255,BWA,BORGWARNER INC,"[{""filing_date"":""2018-02-08"",""accession"":""0000908255-18-000017"",""form"":""10-K"",""SIC"":3714,""FF12"":""Durbl""},{""filing_date"":""2021-11-03"",""accession"":""0000908255-21-000054"",""form"":""10-Q"",""SIC"":3714,""FF12"":""Durbl""}]",Durbl,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1411207,ALSN,Allison Transmission Holdings Inc,"[{""filing_date"":""2020-10-29"",""accession"":""0001564590-20-048854"",""form"":""10-Q"",""SIC"":3714,""FF12"":""Durbl""},{""filing_date"":""2021-10-28"",""accession"":""0001564590-21-052445"",""form"":""10-Q"",""SIC"":3714,""FF12"":""Durbl""}]",Durbl,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1521332,APTV,Aptiv PLC,"[{""filing_date"":""2018-02-05"",""accession"":""0001521332-18-000013"",""form"":""10-K"",""SIC"":3714,""FF12"":""Durbl""},{""filing_date"":""2021-11-04"",""accession"":""0001521332-21-000055"",""form"":""10-Q"",""SIC"":3714,""FF12"":""Durbl""}]",Durbl,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
928054,FTK,FLOTEK INDUSTRIES INC/CN/,"[{""filing_date"":""2018-03-08"",""accession"":""0000928054-18-000020"",""form"":""10-K"",""SIC"":2890,""FF12"":""Chems""},{""filing_date"":""2021-11-09"",""accession"":""0000928054-21-000162"",""form"":""10-Q"",""SIC"":2890,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1574565,EVGN,Evogene Ltd.,"[{""filing_date"":""2018-03-30"",""accession"":""0001178913-18-001042"",""form"":""20-F"",""SIC"":2870,""FF12"":""Chems""},{""filing_date"":""2021-04-02"",""accession"":""0001178913-21-001263"",""form"":""20-F"",""SIC"":2870,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1609804,OEC,Orion S.A.,"[{""filing_date"":""2018-02-23"",""accession"":""0001609804-18-000009"",""form"":""20-F"",""SIC"":2890,""FF12"":""Chems""},{""filing_date"":""2021-11-04"",""accession"":""0001609804-21-000094"",""form"":""10-Q"",""SIC"":2890,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
