symbol,first_date,last_date,trading_rows,rows_2018_2023,missing_ohlcv_rows,missing_ohlcv_rate,duplicate_dates,non_monotonic_dates,invalid_ohlc_rows,adjusted_close_available_fraction,price_eligible_2018_2023
HTGM,2015-05-06,2020-07-02,1299,630,0,0.0,0,0,0,1.0,0
CHK,1993-02-05,2020-04-01,6838,566,0,0.0,0,0,0,1.0,0
thq,2014-07-29,2023-12-28,2372,1508,0,0.0,0,0,0,1.0,1
vpu,2004-01-30,2023-12-28,5013,1508,0,0.0,0,0,0,1.0,1
AMHCW,2020-06-29,2020-06-29,1,1,0,0.0,0,0,0,1.0,0
NINE,2018-01-19,2023-12-28,1496,1496,0,0.0,0,0,0,1.0,0
ACES,2018-06-29,2023-12-28,1384,1384,0,0.0,0,0,0,1.0,0
WVFC,1993-11-29,2023-12-28,7575,1508,0,0.0,0,0,0,1.0,1
JCE,2007-03-28,2023-12-28,4219,1508,0,0.0,0,0,0,1.0,1
BJRI,1996-10-09,2023-12-28,6851,1508,0,0.0,0,0,0,1.0,1
FTV,2016-07-05,2023-12-28,1885,1508,0,0.0,0,0,0,1.0,1
DLR,2004-10-29,2020-06-19,3937,621,0,0.0,0,0,0,1.0,0
STAA,1992-02-24,2020-07-02,7143,630,0,0.0,0,0,5,1.0,0
ACGL,1995-09-14,2023-12-28,7122,1508,0,0.0,0,0,0,1.0,1
PFBI,1996-05-17,2020-07-02,5783,630,0,0.0,0,0,0,1.0,0
HWCPZ,2020-06-17,2020-07-02,12,12,0,0.0,0,0,0,1.0,0
TCBI,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
XRAY,1987-08-12,2023-12-28,9168,1508,0,0.0,0,0,829,1.0,0
CIO,2014-04-15,2023-12-28,2444,1508,0,0.0,0,0,0,1.0,1
VV,2004-01-30,2023-12-28,5013,1508,0,0.0,0,0,0,1.0,1
SDIV,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
TDE,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
EAOA,2020-06-18,2023-12-28,889,889,0,0.0,0,0,0,1.0,0
BFIN,2005-06-28,2023-12-28,4658,1508,0,0.0,0,0,0,1.0,1
ACHC,1994-03-04,2023-12-28,7508,1508,0,0.0,0,0,0,1.0,1
YY,2012-11-21,2023-12-28,2794,1508,0,0.0,0,0,0,1.0,1
TGI,1996-10-25,2023-12-28,6839,1508,0,0.0,0,0,0,1.0,1
INGR,1997-12-11,2023-12-28,6554,1508,0,0.0,0,0,0,1.0,1
HCKT,1998-05-28,2023-12-28,6440,1508,0,0.0,0,0,0,1.0,1
TCON,2015-01-30,2023-12-28,2244,1508,0,0.0,0,0,0,1.0,1
LAMR,1996-08-02,2023-12-28,6898,1508,0,0.0,0,0,0,1.0,1
RESP,2007-02-23,2023-12-28,4242,1508,0,0.0,0,0,0,1.0,1
VRNS,2014-02-28,2023-12-28,2476,1508,0,0.0,0,0,0,1.0,1
JBLU,2002-04-12,2023-12-28,5467,1508,0,0.0,0,0,0,1.0,1
HTY,2007-09-26,2023-12-28,4093,1508,0,0.0,0,0,0,1.0,1
JOF,1990-03-14,2023-12-28,8514,1508,0,0.0,0,0,0,1.0,1
SBT,2015-01-05,2020-07-02,1152,630,0,0.0,0,0,12,1.0,0
CRHM,2008-06-24,2020-07-02,3028,630,0,0.0,0,0,0,1.0,0
EVOL,1998-05-12,2023-12-28,6451,1508,0,0.0,0,0,0,1.0,1
RUTH,2005-08-09,2020-07-02,3751,630,0,0.0,0,0,0,1.0,0
STMB,2020-04-16,2020-06-30,33,33,0,0.0,0,0,0,1.0,0
NUSI,2019-12-20,2023-12-28,1012,1012,0,0.0,0,0,0,1.0,0
FXU,2007-05-10,2023-12-28,4189,1508,0,0.0,0,0,0,1.0,1
PTSI,1986-09-10,2020-06-19,8007,621,0,0.0,0,0,855,1.0,0
CEL,2007-02-07,2020-04-01,3311,566,0,0.0,0,0,0,1.0,0
DGRE,2013-08-01,2023-12-28,2621,1508,0,0.0,0,0,0,1.0,1
MHD,1997-05-06,2020-07-02,5826,630,0,0.0,0,0,0,1.0,0
TTNP,1996-01-18,2023-12-28,7035,1508,0,0.0,0,0,0,1.0,1
MHE,1993-07-23,2020-06-19,5908,552,0,0.0,0,0,0,1.0,0
CEM,2010-06-25,2023-12-28,3401,1508,0,0.0,0,0,0,1.0,1
TAWK,2019-01-14,2020-07-02,368,368,0,0.0,0,0,0,1.0,0
HTHT,2010-03-26,2023-12-28,3464,1508,0,0.0,0,0,0,1.0,1
tds,1981-12-15,2023-12-28,10598,1508,0,0.0,0,0,2462,1.0,0
TGH,2007-10-10,2023-12-28,4083,1508,0,0.0,0,0,0,1.0,1
ESRT,2013-10-02,2023-12-28,2578,1508,0,0.0,0,0,0,1.0,1
STLG,2020-01-16,2020-07-02,78,78,0,0.0,0,0,0,1.0,0
PFLT,2011-04-08,2023-12-28,3202,1508,0,0.0,0,0,0,1.0,1
NBRV,2015-09-18,2020-07-02,1204,630,0,0.0,0,0,0,1.0,0
CPSS,1992-10-22,2023-12-28,7853,1508,0,0.0,0,0,0,1.0,1
DBO,2007-01-05,2023-12-28,4275,1508,0,0.0,0,0,0,1.0,1
IRTC,2016-10-20,2020-07-02,931,630,0,0.0,0,0,0,1.0,0
WTRE,2007-06-05,2023-12-28,4172,1508,0,0.0,0,0,0,1.0,1
