stage,symbol,seed,method,has_news,n,BA,Brier,MCC,accuracy,predicted_up,constant
aggregation,AAPL,575,MEAN_LINEAR,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
aggregation,AAPL,575,MEAN_LINEAR,True,797,0.6508625063419584,0.21905971867685217,0.30988000115268666,0.6599749058971142,0.6210790464240903,False
aggregation,AAPL,575,MEAN_THEN_MAP,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
aggregation,AAPL,575,MEAN_THEN_MAP,True,797,0.6471556316590563,0.22049965410083763,0.3074172314298789,0.6587202007528231,0.6499372647427855,False
aggregation,AAPL,575,MAP_THEN_MEAN,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
aggregation,AAPL,575,MAP_THEN_MEAN,True,797,0.6498953576864536,0.22049379115243573,0.3126284326705928,0.6612296110414053,0.6474278544542033,False
aggregation,AMZN,573,PRICE,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
aggregation,AMZN,573,PRICE,True,415,0.5074123989218329,0.2629897168174853,0.01494367841861915,0.5060240963855421,0.563855421686747,False
aggregation,AMZN,573,FULL,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
aggregation,AMZN,573,FULL,True,415,0.6594014313597918,0.25791168449592744,0.31986748998060993,0.6602409638554216,0.4578313253012048,False
aggregation,AMZN,573,CONTROL,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
aggregation,AMZN,573,CONTROL,True,415,0.6663723394367507,0.2199080613953711,0.33463956446805376,0.6674698795180722,0.4457831325301205,False
aggregation,AMZN,573,SET_BASE,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
aggregation,AMZN,573,SET_BASE,True,415,0.6325169625429872,0.2300333718742457,0.2668381251211137,0.6337349397590362,0.44096385542168676,False
aggregation,AMZN,573,MEAN_LINEAR,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
aggregation,AMZN,573,MEAN_LINEAR,True,415,0.623292127521145,0.2286874421928259,0.24730938593143348,0.6240963855421687,0.4602409638554217,False
aggregation,AMZN,573,MEAN_THEN_MAP,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
aggregation,AMZN,573,MEAN_THEN_MAP,True,415,0.6300539083557951,0.23104307735478666,0.26203282475953854,0.6313253012048192,0.43855421686746987,False
aggregation,AMZN,573,MAP_THEN_MEAN,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
aggregation,AMZN,573,MAP_THEN_MEAN,True,415,0.6398015614834092,0.23036062453068112,0.2813475034852537,0.6409638554216868,0.4433734939759036,False
aggregation,AMZN,574,PRICE,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
aggregation,AMZN,574,PRICE,True,415,0.5024862905474486,0.26369162980832056,0.00500643159529356,0.5012048192771085,0.5590361445783133,False
aggregation,AMZN,574,FULL,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
aggregation,AMZN,574,FULL,True,415,0.6544753229854076,0.2586127992558505,0.3102510098592115,0.655421686746988,0.4530120481927711,False
aggregation,AMZN,574,CONTROL,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
aggregation,AMZN,574,CONTROL,True,415,0.6740751928617901,0.22508560991284762,0.34880751108531505,0.6746987951807228,0.4674698795180723,False
aggregation,AMZN,574,SET_BASE,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
aggregation,AMZN,574,SET_BASE,True,415,0.6229784366576819,0.2334775271756616,0.247357527227259,0.6240963855421687,0.4457831325301205,False
aggregation,AMZN,574,MEAN_LINEAR,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
