stage,symbol,method,reference,bootstrap,delta_BA,low,high
preprocess,AMZN,NO_STEM,FULL,day1,0.0007434575733544831,-0.016196816967641105,0.018704462429031055
preprocess,AMZN,NO_STEM,FULL,day5,0.0007434575733544831,-0.01370971925631462,0.015278420257726766
grouped,AAPL,GROUP_SVM,FULL,day1,-0.031638347492920216,-0.06262274126859035,0.0024732381117900464
grouped,AAPL,GROUP_SVM,FULL,day5,-0.031638347492920216,-0.06495712668561948,0.004292756182676903
grouped,AMZN,GROUP_SVM,FULL,day1,-0.005728753634681463,-0.032022768555352306,0.021908153892408067
grouped,AMZN,GROUP_SVM,FULL,day5,-0.005728753634681463,-0.03563501490474201,0.023230892345327752
aggregation,AAPL,SET_BASE,CONTROL,day1,-0.04560532233883058,-0.07369066341659923,-0.018034224281160662
aggregation,AAPL,SET_BASE,CONTROL,day5,-0.04560532233883058,-0.07089540069400656,-0.019601184344400606
aggregation,AAPL,SET_BASE,FULL,day1,-0.025819381975678825,-0.04998515041512605,-0.0009361870867953299
aggregation,AAPL,SET_BASE,FULL,day5,-0.025819381975678825,-0.04689468861243233,-0.0038291841557174574
aggregation,AAPL,SET_BASE,SET_BASE,day1,0.0,0.0,0.0
aggregation,AAPL,SET_BASE,SET_BASE,day5,0.0,0.0,0.0
aggregation,AAPL,SET_BASE,MEAN_THEN_MAP,day1,-0.0010109528569048811,-0.009389760933345002,0.007131044571100991
aggregation,AAPL,SET_BASE,MEAN_THEN_MAP,day5,-0.0010109528569048811,-0.010261299161652958,0.008368187516974034
aggregation,AAPL,MEAN_LINEAR,CONTROL,day1,-0.041248125937031484,-0.06699561030283083,-0.015449935017869225
aggregation,AAPL,MEAN_LINEAR,CONTROL,day5,-0.041248125937031484,-0.07104602441092028,-0.012924815522145378
aggregation,AAPL,MEAN_LINEAR,FULL,day1,-0.021462185573879727,-0.04687361034193007,0.004010718094047022
aggregation,AAPL,MEAN_LINEAR,FULL,day5,-0.021462185573879727,-0.047922126007878374,0.0031095096350386067
aggregation,AAPL,MEAN_LINEAR,SET_BASE,day1,0.004357196401799098,-0.012267147271549627,0.02030133536626597
aggregation,AAPL,MEAN_LINEAR,SET_BASE,day5,0.004357196401799098,-0.011494325304320156,0.020461885563552558
aggregation,AAPL,MEAN_LINEAR,MEAN_THEN_MAP,day1,0.003346243544894217,-0.012482874086931366,0.01813699332977427
aggregation,AAPL,MEAN_LINEAR,MEAN_THEN_MAP,day5,0.003346243544894217,-0.010775731839595907,0.01748068650012614
aggregation,AAPL,MEAN_THEN_MAP,CONTROL,day1,-0.0445943694819257,-0.07020859669210114,-0.016691841224052054
aggregation,AAPL,MEAN_THEN_MAP,CONTROL,day5,-0.0445943694819257,-0.0698377712680098,-0.01646686557125196
aggregation,AAPL,MEAN_THEN_MAP,FULL,day1,-0.024808429118773945,-0.049171702907835776,0.0015553489976050014
aggregation,AAPL,MEAN_THEN_MAP,FULL,day5,-0.024808429118773945,-0.04707316905284786,-0.0015877268905684588
aggregation,AAPL,MEAN_THEN_MAP,SET_BASE,day1,0.0010109528569048811,-0.007131044571100996,0.009389760933345
aggregation,AAPL,MEAN_THEN_MAP,SET_BASE,day5,0.0010109528569048811,-0.008368187516974034,0.010261299161652956
aggregation,AAPL,MEAN_THEN_MAP,MEAN_THEN_MAP,day1,0.0,0.0,0.0
aggregation,AAPL,MEAN_THEN_MAP,MEAN_THEN_MAP,day5,0.0,0.0,0.0
