stage,symbol,seed,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AMZN,573,CONTROL,804,0.6158430808881841,0.23115288542139878,0.2321093279428392,0.6169154228855721,0.5348258706467661,False
preprocess,AMZN,573,FREQUENCY,804,0.6083713322759714,0.23309817454038928,0.2171385369759409,0.6094527363184079,0.5348258706467661,False
preprocess,AMZN,573,NEGATION,804,0.6186806106264868,0.23205642584068642,0.237511361384993,0.6194029850746269,0.5248756218905473,False
preprocess,AMZN,573,NUMERIC,804,0.6182469270420301,0.2299402311517887,0.23701129525858466,0.6194029850746269,0.5373134328358209,False
preprocess,AMZN,573,NO_STEM,804,0.6063144329896908,0.23310227930091348,0.21271322577876453,0.6069651741293532,0.5223880597014925,False
preprocess,AMZN,574,PRICE,804,0.5148195876288659,0.25753816199373764,0.03037496093298459,0.5186567164179104,0.6106965174129353,False
preprocess,AMZN,574,FULL,804,0.5964264472640761,0.2549166263229975,0.19395492864664665,0.5982587064676617,0.5559701492537313,False
preprocess,AMZN,574,CONTROL,804,0.606128568596352,0.237610925356149,0.21385636037222927,0.6082089552238806,0.5634328358208955,False
preprocess,AMZN,574,FREQUENCY,804,0.5998587430610627,0.23835723490905156,0.20128743717370293,0.6019900497512438,0.5646766169154229,False
preprocess,AMZN,574,NEGATION,804,0.6098210745440127,0.23761925065727313,0.2213687251111216,0.6119402985074627,0.5646766169154229,False
preprocess,AMZN,574,NUMERIC,804,0.60964760111023,0.235810705815251,0.22132010619185039,0.6119402985074627,0.5696517412935324,False
preprocess,AMZN,574,NO_STEM,804,0.600626982553529,0.2364599717688126,0.2036482339271299,0.6032338308457711,0.5783582089552238,False
preprocess,AMZN,575,PRICE,804,0.5351779341792229,0.25788565064979113,0.07171154121319115,0.5385572139303483,0.5982587064676617,False
preprocess,AMZN,575,FULL,804,0.6000446074544012,0.25154159364598466,0.20019156440237984,0.6007462686567164,0.5236318407960199,False
preprocess,AMZN,575,CONTROL,804,0.6121505749405234,0.234750721268355,0.22467241220674314,0.6131840796019901,0.5335820895522388,False
preprocess,AMZN,575,FREQUENCY,804,0.60992020222046,0.23600915953305548,0.22000744167898653,0.6106965174129353,0.5261194029850746,False
preprocess,AMZN,575,NEGATION,804,0.6121505749405234,0.23478059792164147,0.22467241220674314,0.6131840796019901,0.5335820895522388,False
preprocess,AMZN,575,NUMERIC,804,0.6197957969865187,0.2338963090705364,0.23983912713399,0.6206467661691543,0.5286069651741293,False
preprocess,AMZN,575,NO_STEM,804,0.6036503766851705,0.23568283307919088,0.20748594441231885,0.6044776119402985,0.527363184079602,False
grouped,AAPL,573,PRICE,803,0.5698463268365817,0.2475139946640469,0.14557917583129562,0.5815691158156912,0.6463262764632628,False
grouped,AAPL,573,FULL,803,0.5274269115442279,0.27259827140578546,0.05498622698565247,0.5317559153175592,0.5541718555417185,False
grouped,AAPL,573,GROUP_SVM,803,0.48955209895052476,0.25125721849728333,-0.06680849760736735,0.5292652552926526,0.975093399750934,False
grouped,AAPL,574,PRICE,803,0.5661887806096951,0.24619885071330846,0.13784645562431413,0.5778331257783312,0.6450809464508095,False
grouped,AAPL,574,FULL,803,0.530247376311844,0.2673628391481947,0.06080588349433863,0.5354919053549191,0.5653798256537983,False
grouped,AAPL,574,GROUP_SVM,803,0.49070152423788105,0.2506576949653814,-0.06096428223879998,0.5305105853051059,0.9763387297633873,False
grouped,AAPL,575,PRICE,803,0.5392272613693153,0.2505607621770646,0.08132143762880001,0.5504358655043586,0.6376089663760897,False
grouped,AAPL,575,FULL,803,0.5141522988505747,0.27285764297858073,0.028553982235136898,0.5205479452054794,0.5778331257783312,False
grouped,AAPL,575,GROUP_SVM,803,0.49665792103948025,0.2500960246513801,-0.023832405649585567,0.5367372353673724,0.9800747198007472,False
grouped,AMZN,573,PRICE,804,0.5137911379857256,0.2561736420905572,0.02818778387300844,0.5174129353233831,0.6044776119402985,False
grouped,AMZN,573,FULL,804,0.5108173076923077,0.2545949745203839,0.02162691238327603,0.5111940298507462,0.5111940298507462,False
grouped,AMZN,573,GROUP_SVM,804,0.5142248215701823,0.25088715254053706,0.028926704098647827,0.5174129353233831,0.5920398009950248,False
grouped,AMZN,574,PRICE,804,0.5199742268041238,0.25907212665335305,0.04084777346772062,0.5236318407960199,0.6057213930348259,False
grouped,AMZN,574,FULL,804,0.5365781126090404,0.2649128204778458,0.073185249708498,0.5373134328358209,0.5223880597014925,False
grouped,AMZN,574,GROUP_SVM,804,0.5287965900079302,0.2517367139167148,0.06140211037748193,0.5348258706467661,0.6741293532338308,False
grouped,AMZN,575,PRICE,804,0.5097516851704996,0.2607452892233267,0.020010988455792984,0.513681592039801,0.6131840796019901,False
grouped,AMZN,575,FULL,804,0.5047953013481363,0.2756118708655748,0.009617243600681455,0.5062189054726368,0.5410447761194029,False
grouped,AMZN,575,GROUP_SVM,804,0.49198304916732755,0.2543872400313164,-0.01627277811478291,0.49502487562189057,0.5870646766169154,False
aggregation,AAPL,573,PRICE,803,0.5504091704147926,0.2478817037373582,0.10458042496729086,0.5616438356164384,0.638854296388543,False
