block,symbol,seed,method,calibration_fold,features,numeric_features,negation_features,coefficient_norm,max_iterations
573_AMZN_4,AMZN,573,NEGATION,1,4191,0,3,2.5001428486852486,11
573_AMZN_4,AMZN,573,NEGATION,2,3968,0,3,2.48523749578536,11
573_AMZN_4,AMZN,573,NUMERIC,0,5000,992,0,8.92711115358667,43
573_AMZN_4,AMZN,573,NUMERIC,1,5000,1048,0,9.132939223606446,42
573_AMZN_4,AMZN,573,NUMERIC,2,4929,964,0,9.091424208183916,43
573_AMZN_4,AMZN,573,NO_STEM,0,5000,0,0,2.525427108358243,11
573_AMZN_4,AMZN,573,NO_STEM,1,5000,0,0,2.5102194660280364,11
573_AMZN_4,AMZN,573,NO_STEM,2,5000,0,0,2.5294059034869405,11
573_AMZN_5,AMZN,573,CONTROL,0,4814,0,0,9.099544200411138,42
573_AMZN_5,AMZN,573,CONTROL,1,4091,0,0,9.176520773374822,41
573_AMZN_5,AMZN,573,CONTROL,2,4108,0,0,9.15537339675943,42
573_AMZN_5,AMZN,573,FREQUENCY,0,4814,0,0,9.152585820420594,43
573_AMZN_5,AMZN,573,FREQUENCY,1,4091,0,0,9.234050166620083,41
573_AMZN_5,AMZN,573,FREQUENCY,2,4108,0,0,9.190978165538233,43
573_AMZN_5,AMZN,573,NEGATION,0,4817,0,3,9.101146216897444,42
573_AMZN_5,AMZN,573,NEGATION,1,4094,0,3,9.178461372771633,41
573_AMZN_5,AMZN,573,NEGATION,2,4111,0,3,9.157680037305498,42
573_AMZN_5,AMZN,573,NUMERIC,0,5000,834,0,9.104768067687555,42
573_AMZN_5,AMZN,573,NUMERIC,1,5000,1061,0,9.156241291164873,41
573_AMZN_5,AMZN,573,NUMERIC,2,5000,990,0,9.184749193396126,42
573_AMZN_5,AMZN,573,NO_STEM,0,5000,0,0,9.046611627611586,42
573_AMZN_5,AMZN,573,NO_STEM,1,5000,0,0,9.147796116497183,41
573_AMZN_5,AMZN,573,NO_STEM,2,5000,0,0,9.107782058555616,42
573_AMZN_6,AMZN,573,CONTROL,0,4077,0,0,8.946499264685672,42
573_AMZN_6,AMZN,573,CONTROL,1,4274,0,0,9.284514989379778,42
573_AMZN_6,AMZN,573,CONTROL,2,4096,0,0,9.010627220143967,42
573_AMZN_6,AMZN,573,FREQUENCY,0,4077,0,0,8.995065464954383,42
573_AMZN_6,AMZN,573,FREQUENCY,1,4274,0,0,9.31530294089771,43
573_AMZN_6,AMZN,573,FREQUENCY,2,4096,0,0,9.041803409108931,42
573_AMZN_6,AMZN,573,NEGATION,0,4080,0,3,8.949636358508528,42
573_AMZN_6,AMZN,573,NEGATION,1,4277,0,3,9.286622797110544,42
573_AMZN_6,AMZN,573,NEGATION,2,4099,0,3,9.013310231801443,42
573_AMZN_6,AMZN,573,NUMERIC,0,5000,1070,0,8.946617675046065,41
573_AMZN_6,AMZN,573,NUMERIC,1,5000,1137,0,9.25048593723455,42
573_AMZN_6,AMZN,573,NUMERIC,2,5000,986,0,9.07204552541285,42
573_AMZN_6,AMZN,573,NO_STEM,0,5000,0,0,8.934584030118826,41
573_AMZN_6,AMZN,573,NO_STEM,1,5000,0,0,9.23986042349992,42
573_AMZN_6,AMZN,573,NO_STEM,2,5000,0,0,8.972629125815896,42
573_AMZN_7,AMZN,573,CONTROL,0,4229,0,0,9.182319559266153,41
573_AMZN_7,AMZN,573,CONTROL,1,4111,0,0,8.9864688437726,42
573_AMZN_7,AMZN,573,CONTROL,2,4145,0,0,8.91352205678294,43
573_AMZN_7,AMZN,573,FREQUENCY,0,4229,0,0,9.22133569696063,42
573_AMZN_7,AMZN,573,FREQUENCY,1,4111,0,0,8.993800021195364,43
573_AMZN_7,AMZN,573,FREQUENCY,2,4145,0,0,8.97152687713483,45
573_AMZN_7,AMZN,573,NEGATION,0,4232,0,3,9.184194430067626,41
573_AMZN_7,AMZN,573,NEGATION,1,4114,0,3,8.988235507476961,42
573_AMZN_7,AMZN,573,NEGATION,2,4148,0,3,8.91511942398519,43
573_AMZN_7,AMZN,573,NUMERIC,0,5000,1016,0,9.159131493194726,41
573_AMZN_7,AMZN,573,NUMERIC,1,5000,994,0,8.96964286934831,42
573_AMZN_7,AMZN,573,NUMERIC,2,5000,1022,0,8.92737154671942,43
573_AMZN_7,AMZN,573,NO_STEM,0,5000,0,0,9.171275879664321,41
573_AMZN_7,AMZN,573,NO_STEM,1,5000,0,0,8.960418902410646,42
573_AMZN_7,AMZN,573,NO_STEM,2,5000,0,0,8.871568940237854,43
573_AMZN_8,AMZN,573,CONTROL,0,4230,0,0,9.14079686859796,42
573_AMZN_8,AMZN,573,CONTROL,1,4076,0,0,8.987430962683193,43
573_AMZN_8,AMZN,573,CONTROL,2,4142,0,0,9.2677638755163,41
573_AMZN_8,AMZN,573,FREQUENCY,0,4230,0,0,9.206301778749676,43
573_AMZN_8,AMZN,573,FREQUENCY,1,4076,0,0,9.018420447408257,43
573_AMZN_8,AMZN,573,FREQUENCY,2,4142,0,0,9.28337642120764,41
573_AMZN_8,AMZN,573,NEGATION,0,4233,0,3,9.143124150001334,42
573_AMZN_8,AMZN,573,NEGATION,1,4079,0,3,8.988888602816415,43
573_AMZN_8,AMZN,573,NEGATION,2,4145,0,3,9.26876376284862,41
573_AMZN_8,AMZN,573,NUMERIC,0,5000,1067,0,9.10356554097512,42
573_AMZN_8,AMZN,573,NUMERIC,1,5000,1002,0,9.00499681914904,43
573_AMZN_8,AMZN,573,NUMERIC,2,5000,877,0,9.288342627762924,41
573_AMZN_8,AMZN,573,NO_STEM,0,5000,0,0,9.085825965200588,42
573_AMZN_8,AMZN,573,NO_STEM,1,5000,0,0,9.008724455795422,43
573_AMZN_8,AMZN,573,NO_STEM,2,5000,0,0,9.239595348054074,41
573_AMZN_9,AMZN,573,CONTROL,0,3889,0,0,9.216827859063237,41
573_AMZN_9,AMZN,573,CONTROL,1,4902,0,0,9.14499331674354,42
573_AMZN_9,AMZN,573,CONTROL,2,4227,0,0,9.084289782881855,43
573_AMZN_9,AMZN,573,FREQUENCY,0,3889,0,0,9.314174306773294,42
573_AMZN_9,AMZN,573,FREQUENCY,1,4902,0,0,9.136411119009022,43
573_AMZN_9,AMZN,573,FREQUENCY,2,4227,0,0,9.133863750996255,43
573_AMZN_9,AMZN,573,NEGATION,0,3892,0,3,9.2187993656975,41
573_AMZN_9,AMZN,573,NEGATION,1,4905,0,3,9.147621601598946,42
573_AMZN_9,AMZN,573,NEGATION,2,4230,0,3,9.086113854162102,43
573_AMZN_9,AMZN,573,NUMERIC,0,4833,944,0,9.155071788130812,41
573_AMZN_9,AMZN,573,NUMERIC,1,5000,790,0,9.191359223009023,42
573_AMZN_9,AMZN,573,NUMERIC,2,5000,1071,0,9.112109245561166,43
573_AMZN_9,AMZN,573,NO_STEM,0,5000,0,0,9.202263792021016,41
573_AMZN_9,AMZN,573,NO_STEM,1,5000,0,0,9.10570006093553,43
573_AMZN_9,AMZN,573,NO_STEM,2,5000,0,0,9.039207611042729,43
