stage,symbol,seed,method,month,n,BA,Brier,MCC,accuracy,predicted_up,constant
aggregation,AAPL,573,CONTROL,2018-08,69,0.6552287581699346,0.18339103988628305,0.3724030078367606,0.782608695652174,0.8405797101449275,False
aggregation,AAPL,573,CONTROL,2018-09,57,0.5634236453201971,0.2502239389821157,0.1302608319197154,0.5614035087719298,0.6140350877192983,False
aggregation,AAPL,573,CONTROL,2018-10,69,0.6166666666666667,0.23746764211123056,0.23333333333333334,0.6231884057971014,0.43478260869565216,False
aggregation,AAPL,573,CONTROL,2018-11,60,0.6167964404894327,0.23512228407478725,0.23346307108777453,0.6166666666666667,0.5,False
aggregation,AAPL,573,CONTROL,2018-12,53,0.7391640866873065,0.19263455194667037,0.4732278033866082,0.7547169811320755,0.37735849056603776,False
aggregation,AAPL,573,CONTROL,2019-01,63,0.6803534303534303,0.20073155647623478,0.368848502930994,0.6984126984126984,0.6349206349206349,False
aggregation,AAPL,573,CONTROL,2019-02,2,,0.13277293603116624,,,0.0,True
aggregation,AAPL,573,SET_BASE,2018-01,59,0.6284722222222222,0.22595594026566632,0.2780148040224583,0.6440677966101694,0.6949152542372882,False
aggregation,AAPL,573,SET_BASE,2018-02,57,0.7106250000000001,0.21308146107383139,0.4260705637798663,0.7192982456140351,0.5964912280701754,False
aggregation,AAPL,573,SET_BASE,2018-03,62,0.59375,0.23270575266376778,0.19101436199010402,0.5967741935483871,0.5967741935483871,False
aggregation,AAPL,573,SET_BASE,2018-04,63,0.716733870967742,0.22579301989592004,0.4545789809536931,0.7142857142857143,0.6507936507936508,False
aggregation,AAPL,573,SET_BASE,2018-05,66,0.6714818266542404,0.21258841595158323,0.34836241133657303,0.6818181818181818,0.6060606060606061,False
aggregation,AAPL,573,SET_BASE,2018-06,63,0.7175925925925926,0.21113121393574658,0.4851810816715087,0.746031746031746,0.7301587301587301,False
aggregation,AAPL,573,SET_BASE,2018-07,60,0.6373626373626373,0.1944839170864924,0.30261376633440124,0.7,0.75,False
aggregation,AAPL,573,SET_BASE,2018-08,69,0.5882352941176471,0.19228613514038387,0.19268517925374773,0.7101449275362319,0.7971014492753623,False
aggregation,AAPL,573,SET_BASE,2018-09,57,0.5652709359605912,0.24451303044657086,0.14523655233310132,0.5614035087719298,0.7192982456140351,False
aggregation,AAPL,573,SET_BASE,2018-10,69,0.5987179487179487,0.23407635166453378,0.19593446197724734,0.5942028985507246,0.5217391304347826,False
aggregation,AAPL,573,SET_BASE,2018-11,60,0.5628476084538376,0.23851764179885493,0.12919146336922627,0.5666666666666667,0.6166666666666667,False
aggregation,AAPL,573,SET_BASE,2018-12,53,0.6718266253869969,0.21036437916289344,0.34365325077399383,0.6981132075471698,0.3584905660377358,False
aggregation,AAPL,573,SET_BASE,2019-01,63,0.5493762993762994,0.229165172052638,0.1009815786122318,0.5714285714285714,0.6349206349206349,False
aggregation,AAPL,573,SET_BASE,2019-02,2,,0.2923116765658235,,,0.5,False
aggregation,AAPL,573,MEAN_LINEAR,2018-01,59,0.6527777777777778,0.22167473978652363,0.31212739461154115,0.6610169491525424,0.6101694915254238,False
aggregation,AAPL,573,MEAN_LINEAR,2018-02,57,0.750625,0.21145088104313536,0.50125,0.7543859649122807,0.5614035087719298,False
aggregation,AAPL,573,MEAN_LINEAR,2018-03,62,0.6572916666666666,0.22940689210813214,0.32544312757038596,0.6612903225806451,0.6290322580645161,False
aggregation,AAPL,573,MEAN_LINEAR,2018-04,63,0.701108870967742,0.22390168069653593,0.42656259231359034,0.6984126984126984,0.6666666666666666,False
aggregation,AAPL,573,MEAN_LINEAR,2018-05,66,0.6542404473438956,0.21434341151162975,0.31562122427266287,0.6666666666666666,0.6212121212121212,False
aggregation,AAPL,573,MEAN_LINEAR,2018-06,63,0.6851851851851851,0.2084173894012598,0.3774256780481986,0.6984126984126984,0.6190476190476191,False
aggregation,AAPL,573,MEAN_LINEAR,2018-07,60,0.6501831501831502,0.18944243019592513,0.3387273172945121,0.7166666666666667,0.7666666666666667,False
aggregation,AAPL,573,MEAN_LINEAR,2018-08,69,0.6633986928104575,0.1764651160259595,0.35682440602545873,0.7681159420289855,0.7971014492753623,False
aggregation,AAPL,573,MEAN_LINEAR,2018-09,57,0.5812807881773399,0.23752316064024778,0.16847482690308205,0.5789473684210527,0.631578947368421,False
aggregation,AAPL,573,MEAN_LINEAR,2018-10,69,0.6115384615384616,0.23318170979910754,0.22119438373870084,0.6086956521739131,0.5072463768115942,False
aggregation,AAPL,573,MEAN_LINEAR,2018-11,60,0.5628476084538376,0.24426730226891974,0.12919146336922627,0.5666666666666667,0.6166666666666667,False
aggregation,AAPL,573,MEAN_LINEAR,2018-12,53,0.6571207430340558,0.21819314841505486,0.3108907575646649,0.6792452830188679,0.37735849056603776,False
aggregation,AAPL,573,MEAN_LINEAR,2019-01,63,0.6283783783783784,0.23144394787171643,0.2651588632277774,0.6507936507936508,0.6507936507936508,False
aggregation,AAPL,573,MEAN_LINEAR,2019-02,2,,0.20227380633559983,,,0.5,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-01,59,0.6469907407407407,0.22648219847592996,0.3134512811475197,0.6610169491525424,0.6779661016949152,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-02,57,0.7306250000000001,0.2110017996805872,0.4635736922883116,0.7368421052631579,0.5789473684210527,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-03,62,0.578125,0.23464122662808845,0.1582405261068229,0.5806451612903226,0.5806451612903226,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-04,63,0.748991935483871,0.22342359721537006,0.5348375457090452,0.746031746031746,0.6825396825396826,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-05,66,0.6542404473438956,0.21207321914871363,0.31562122427266287,0.6666666666666666,0.6212121212121212,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-06,63,0.7361111111111112,0.21156130926915132,0.5172935265326569,0.7619047619047619,0.7142857142857143,False
