stage,symbol,seed,block,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AAPL,574,574_AAPL_2,NO_STEM,81,0.6950245700245701,0.20950772384649644,0.3997428237215845,0.7037037037037037,0.6172839506172839,False
preprocess,AAPL,574,574_AAPL_3,PRICE,80,0.6136363636363636,0.2550651562618569,0.2335496832484569,0.625,0.625,False
preprocess,AAPL,574,574_AAPL_3,FULL,80,0.6414141414141414,0.22277393808312498,0.28721347895177635,0.65,0.6,False
preprocess,AAPL,574,574_AAPL_3,CONTROL,80,0.6805555555555556,0.20418162627141095,0.3649324991288249,0.6875,0.5875,False
preprocess,AAPL,574,574_AAPL_3,FREQUENCY,80,0.7222222222222222,0.20475021797590626,0.4444444444444444,0.725,0.55,False
preprocess,AAPL,574,574_AAPL_3,NEGATION,80,0.6805555555555556,0.20377495116132271,0.3649324991288249,0.6875,0.5875,False
preprocess,AAPL,574,574_AAPL_3,NUMERIC,80,0.6856060606060606,0.20255716017047268,0.3703946009973342,0.6875,0.5375,False
preprocess,AAPL,574,574_AAPL_3,NO_STEM,80,0.6414141414141414,0.20683969958640583,0.28721347895177635,0.65,0.6,False
preprocess,AAPL,574,574_AAPL_4,PRICE,80,0.5151515151515151,0.25434137400515794,0.03077287274483318,0.525,0.6,False
preprocess,AAPL,574,574_AAPL_4,FULL,80,0.6856060606060606,0.22586272917809208,0.3703946009973342,0.6875,0.5375,False
preprocess,AAPL,574,574_AAPL_4,CONTROL,80,0.6944444444444444,0.2046191155775436,0.39136749198461096,0.7,0.575,False
preprocess,AAPL,574,574_AAPL_4,FREQUENCY,80,0.7133838383838385,0.213130127068273,0.4247612355799144,0.7125,0.5125,False
preprocess,AAPL,574,574_AAPL_4,NEGATION,80,0.6944444444444444,0.20451072205408988,0.39136749198461096,0.7,0.575,False
preprocess,AAPL,574,574_AAPL_4,NUMERIC,80,0.7083333333333333,0.208647693432561,0.41785544701867244,0.7125,0.5625,False
preprocess,AAPL,574,574_AAPL_4,NO_STEM,80,0.7272727272727273,0.20938045316078546,0.45226701686664544,0.725,0.5,False
preprocess,AAPL,574,574_AAPL_5,PRICE,80,0.6442489000628535,0.23975831315173232,0.2921942711738785,0.65,0.5875,False
preprocess,AAPL,574,574_AAPL_5,FULL,80,0.6983029541169076,0.20200173235496757,0.3966059082338152,0.7,0.5375,False
preprocess,AAPL,574,574_AAPL_5,CONTROL,80,0.7369578881206789,0.20142619488818028,0.4731728446413686,0.7375,0.525,False
preprocess,AAPL,574,574_AAPL_5,FREQUENCY,80,0.7504714016341923,0.20519929196896972,0.499688091709405,0.75,0.5125,False
preprocess,AAPL,574,574_AAPL_5,NEGATION,80,0.7369578881206789,0.2014846311916314,0.4731728446413686,0.7375,0.525,False
preprocess,AAPL,574,574_AAPL_5,NUMERIC,80,0.6847894406033941,0.20754954340980136,0.3703946009973342,0.6875,0.55,False
preprocess,AAPL,574,574_AAPL_5,NO_STEM,80,0.6885606536769328,0.20480425087207904,0.3760591579229251,0.6875,0.5,False
preprocess,AAPL,574,574_AAPL_6,PRICE,80,0.6543054682589566,0.21468303882086986,0.3761418592157008,0.675,0.7875,False
preprocess,AAPL,574,574_AAPL_6,FULL,80,0.7350722815839095,0.18231907726990176,0.47118224752722104,0.7375,0.55,False
preprocess,AAPL,574,574_AAPL_6,CONTROL,80,0.7234443746071653,0.19790916029903075,0.4468887492143306,0.725,0.5375,False
preprocess,AAPL,574,574_AAPL_6,FREQUENCY,80,0.6964173475801383,0.20362937743236423,0.39482500401286713,0.7,0.5625,False
preprocess,AAPL,574,574_AAPL_6,NEGATION,80,0.7234443746071653,0.19797526710250613,0.4468887492143306,0.725,0.5375,False
preprocess,AAPL,574,574_AAPL_6,NUMERIC,80,0.7467001885606537,0.20359651957221706,0.49590020504016114,0.75,0.5625,False
preprocess,AAPL,574,574_AAPL_6,NO_STEM,80,0.7485857950974231,0.20659840451233197,0.497171590194846,0.75,0.5375,False
preprocess,AAPL,574,574_AAPL_7,PRICE,80,0.6037083595223129,0.23774751572655678,0.21361572552089353,0.6125,0.625,False
preprocess,AAPL,574,574_AAPL_7,FULL,80,0.609365179132621,0.26938686345199503,0.2192131312025039,0.6125,0.55,False
preprocess,AAPL,574,574_AAPL_7,CONTROL,80,0.6172218730358265,0.2198365071348165,0.2399356909736023,0.625,0.6125,False
preprocess,AAPL,574,574_AAPL_7,FREQUENCY,80,0.6191074795725959,0.22140673442878547,0.24126716508692797,0.625,0.5875,False
preprocess,AAPL,574,574_AAPL_7,NEGATION,80,0.6172218730358265,0.21989771800690808,0.2399356909736023,0.625,0.6125,False
preprocess,AAPL,574,574_AAPL_7,NUMERIC,80,0.6423632935260842,0.22112721837496255,0.29139642898402635,0.65,0.6125,False
preprocess,AAPL,574,574_AAPL_7,NO_STEM,80,0.6442489000628535,0.2190496202776367,0.2921942711738785,0.65,0.5875,False
preprocess,AAPL,574,574_AAPL_8,PRICE,80,0.49937146448774355,0.25363962506195104,-0.0013381701928820826,0.5125,0.675,False
preprocess,AAPL,574,574_AAPL_8,FULL,80,0.6461345065996229,0.2254178596676278,0.2937498029855731,0.65,0.5625,False
preprocess,AAPL,574,574_AAPL_8,CONTROL,80,0.609365179132621,0.2034439880773712,0.2192131312025039,0.6125,0.55,False
preprocess,AAPL,574,574_AAPL_8,FREQUENCY,80,0.6847894406033941,0.20408949611457797,0.3703946009973342,0.6875,0.55,False
preprocess,AAPL,574,574_AAPL_8,NEGATION,80,0.609365179132621,0.20392165817624736,0.2192131312025039,0.6125,0.55,False
