phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,pred_up,constant
later,AMZN,2018-12,L4_LLM_ANALOGY,54,0.5323308270676692,0.5185185185185185,0.061928224614379454,0.2584394215807982,0.6225563909774435,0.5370370370370371,False
later,AMZN,2019-01,L4_LLM_ANALOGY,63,0.44263157894736843,0.47619047619047616,-0.11775013847245042,0.272779513025182,0.3821052631578947,0.6507936507936508,False
later,AMZN,2019-02,L4_LLM_ANALOGY,2,0.5,0.5,0.0,0.26145143278404165,0.0,1.0,True
later,AMZN,2018-11,L5_GUARDED_SYSTEM,60,0.48611111111111116,0.5,-0.027461751819054483,0.2906489003834133,0.49884259259259256,0.5666666666666667,False
later,AMZN,2018-12,L5_GUARDED_SYSTEM,54,0.4917293233082707,0.48148148148148145,-0.015842103971120326,0.27298532067312453,0.5819548872180451,0.5370370370370371,False
later,AMZN,2019-01,L5_GUARDED_SYSTEM,63,0.4157894736842105,0.4603174603174603,-0.17953744535209298,0.283730648493352,0.3663157894736842,0.6984126984126984,False
later,AMZN,2019-02,L5_GUARDED_SYSTEM,2,1.0,1.0,1.0,0.16587827143045794,1.0,0.5,False
train_forward_oof,AAPL,2018-03,PRICE_R1,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False
train_forward_oof,AAPL,2018-04,PRICE_R1,63,0.5564516129032258,0.5555555555555556,0.11359236684941297,0.2427480052414925,0.592741935483871,0.5555555555555556,False
train_forward_oof,AAPL,2018-05,PRICE_R1,66,0.5671015843429636,0.5606060606060606,0.13376754398878044,0.24930082061036912,0.5582479030754892,0.45454545454545453,False
train_forward_oof,AAPL,2018-06,PRICE_R1,63,0.4907407407407407,0.47619047619047616,-0.018731716231633878,0.2663216143320161,0.4403292181069959,0.3968253968253968,False
train_forward_oof,AAPL,2018-07,PRICE_R1,60,0.586080586080586,0.5333333333333333,0.17216117216117216,0.24446613983237067,0.645909645909646,0.35,False
train_forward_oof,AAPL,2018-08,PRICE_R1,69,0.5081699346405228,0.5652173913043478,0.014806384278366074,0.2338478164075101,0.5773420479302832,0.6231884057971014,False
train_forward_oof,AAPL,2018-03,AUG_UNFILTERED_FINBERT,62,0.4625,0.46774193548387094,-0.0791945516022682,0.3101672295382546,0.43125,0.6612903225806451,False
train_forward_oof,AAPL,2018-04,AUG_UNFILTERED_FINBERT,63,0.560483870967742,0.5555555555555556,0.15401027590842434,0.2608710451827844,0.6159274193548387,0.8095238095238095,False
train_forward_oof,AAPL,2018-05,AUG_UNFILTERED_FINBERT,66,0.5167753960857409,0.5,0.03461564064917653,0.27127487819149293,0.4212488350419385,0.36363636363636365,False
train_forward_oof,AAPL,2018-06,AUG_UNFILTERED_FINBERT,63,0.5092592592592593,0.5396825396825397,0.020286020648339485,0.24773924832796815,0.5329218106995884,0.7142857142857143,False
train_forward_oof,AAPL,2018-07,AUG_UNFILTERED_FINBERT,60,0.43040293040293043,0.4166666666666667,-0.1339790111041232,0.2730702212189268,0.42368742368742374,0.43333333333333335,False
train_forward_oof,AAPL,2018-08,AUG_UNFILTERED_FINBERT,69,0.6209150326797386,0.6521739130434783,0.21913448731981788,0.21396415939270877,0.7178649237472767,0.6231884057971014,False
train_forward_oof,AAPL,2018-03,ORIG_FINBERT,62,0.4239583333333333,0.41935483870967744,-0.15884586105957427,0.3218236568213798,0.41562499999999997,0.3548387096774194,False
train_forward_oof,AAPL,2018-04,ORIG_FINBERT,63,0.5579637096774194,0.5555555555555556,0.12157344839459235,0.24257106050333102,0.6411290322580645,0.6507936507936508,False
train_forward_oof,AAPL,2018-05,ORIG_FINBERT,66,0.5139794967381175,0.5303030303030303,0.02884636720764711,0.2496898989074392,0.5088536812674744,0.6363636363636364,False
train_forward_oof,AAPL,2018-06,ORIG_FINBERT,63,0.3935185185185185,0.3968253968253968,-0.21080522784319533,0.27061536068688824,0.3425925925925926,0.5079365079365079,False
train_forward_oof,AAPL,2018-07,ORIG_FINBERT,60,0.47985347985347987,0.4666666666666667,-0.03863074974250641,0.27387296217055795,0.46153846153846156,0.45,False
train_forward_oof,AAPL,2018-08,ORIG_FINBERT,69,0.6388888888888888,0.6521739130434783,0.24839788620727343,0.2095172557287309,0.7298474945533769,0.5942028985507246,False
train_forward_oof,AAPL,2018-03,L1_FILTERED_FINBERT,62,0.5239583333333333,0.532258064516129,0.055914913407526246,0.29491524465050606,0.5114583333333333,0.7580645161290323,False
train_forward_oof,AAPL,2018-04,L1_FILTERED_FINBERT,63,0.5408266129032258,0.5396825396825397,0.08248900219951122,0.2963794867136709,0.5544354838709677,0.5714285714285714,False
train_forward_oof,AAPL,2018-05,L1_FILTERED_FINBERT,66,0.4981360671015843,0.5,-0.0037020790049563574,0.27457683987491566,0.5200372786579683,0.5151515151515151,False
train_forward_oof,AAPL,2018-06,L1_FILTERED_FINBERT,63,0.5,0.5079365079365079,0.0,0.2722598727811013,0.5277777777777778,0.5555555555555556,False
train_forward_oof,AAPL,2018-07,L1_FILTERED_FINBERT,60,0.5732600732600732,0.6166666666666667,0.14824986333222023,0.2775264640249484,0.5140415140415141,0.6666666666666666,False
train_forward_oof,AAPL,2018-08,L1_FILTERED_FINBERT,69,0.6862745098039216,0.6956521739130435,0.33519554521581,0.20690272601092008,0.7254901960784315,0.6086956521739131,False
train_forward_oof,AAPL,2018-03,L2_FACT_CHANGE,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False
train_forward_oof,AAPL,2018-04,L2_FACT_CHANGE,63,0.5871975806451613,0.5873015873015873,0.1743951612903226,0.2337125199385774,0.6411290322580645,0.49206349206349204,False
train_forward_oof,AAPL,2018-05,L2_FACT_CHANGE,66,0.47110904007455734,0.4696969696969697,-0.05738222457682354,0.31165914267745704,0.4044734389561976,0.48484848484848486,False
train_forward_oof,AAPL,2018-06,L2_FACT_CHANGE,63,0.49537037037037035,0.49206349206349204,-0.009174698042719672,0.2964651653898023,0.4495884773662552,0.47619047619047616,False
train_forward_oof,AAPL,2018-07,L2_FACT_CHANGE,60,0.5641025641025641,0.5333333333333333,0.12403473458920845,0.24706008523766868,0.6190476190476191,0.4166666666666667,False
train_forward_oof,AAPL,2018-08,L2_FACT_CHANGE,69,0.5163398692810457,0.5507246376811594,0.029071732876935347,0.24772543547971482,0.5196078431372549,0.5797101449275363,False
train_forward_oof,AAPL,2018-03,L3_CASE_VOTE,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False
train_forward_oof,AAPL,2018-04,L3_CASE_VOTE,63,0.5569556451612903,0.5555555555555556,0.11567381826169085,0.242959002557907,0.5836693548387096,0.5873015873015873,False
train_forward_oof,AAPL,2018-05,L3_CASE_VOTE,66,0.597856477166822,0.5909090909090909,0.1950776683169715,0.24397764765690047,0.5768872320596459,0.45454545454545453,False
train_forward_oof,AAPL,2018-06,L3_CASE_VOTE,63,0.4444444444444444,0.42857142857142855,-0.11322770341445958,0.27159911727980696,0.3991769547325103,0.38095238095238093,False
train_forward_oof,AAPL,2018-07,L3_CASE_VOTE,60,0.5512820512820513,0.5166666666666667,0.09985744825254635,0.25288230638785464,0.5579975579975579,0.4,False
train_forward_oof,AAPL,2018-08,L3_CASE_VOTE,69,0.576797385620915,0.6666666666666666,0.15098575305776035,0.22514889132959487,0.5969498910675382,0.7246376811594203,False
train_forward_oof,AAPL,2018-03,L4_LLM_ANALOGY,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False
train_forward_oof,AAPL,2018-04,L4_LLM_ANALOGY,63,0.5559475806451613,0.5555555555555556,0.11200812967981165,0.2324936808648907,0.6310483870967742,0.5238095238095238,False
train_forward_oof,AAPL,2018-05,L4_LLM_ANALOGY,66,0.565703634669152,0.5757575757575758,0.13264933163062706,0.23913955160142347,0.5852749301025163,0.5909090909090909,False
train_forward_oof,AAPL,2018-06,L4_LLM_ANALOGY,63,0.44907407407407407,0.4444444444444444,-0.10112618056102679,0.2825567004870204,0.3590534979423869,0.4603174603174603,False
train_forward_oof,AAPL,2018-07,L4_LLM_ANALOGY,60,0.5567765567765568,0.5666666666666667,0.10886847654706353,0.23685758044001035,0.612942612942613,0.55,False
train_forward_oof,AAPL,2018-08,L4_LLM_ANALOGY,69,0.5294117647058824,0.6231884057971014,0.05693238549900613,0.23072661040932343,0.5217864923747277,0.7101449275362319,False
train_forward_oof,AAPL,2018-03,L5_GUARDED_SYSTEM,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False
train_forward_oof,AAPL,2018-04,L5_GUARDED_SYSTEM,63,0.5569556451612903,0.5555555555555556,0.11567381826169085,0.242959002557907,0.5836693548387096,0.5873015873015873,False
train_forward_oof,AAPL,2018-05,L5_GUARDED_SYSTEM,66,0.597856477166822,0.5909090909090909,0.1950776683169715,0.24397764765690047,0.5768872320596459,0.45454545454545453,False
train_forward_oof,AAPL,2018-06,L5_GUARDED_SYSTEM,63,0.4444444444444444,0.42857142857142855,-0.11322770341445958,0.27159911727980696,0.3991769547325103,0.38095238095238093,False
train_forward_oof,AAPL,2018-07,L5_GUARDED_SYSTEM,60,0.5512820512820513,0.5166666666666667,0.09985744825254635,0.25288230638785464,0.5579975579975579,0.4,False
train_forward_oof,AAPL,2018-08,L5_GUARDED_SYSTEM,69,0.576797385620915,0.6666666666666666,0.15098575305776035,0.22514889132959487,0.5969498910675382,0.7246376811594203,False
train_forward_oof,AMZN,2018-03,PRICE_R1,62,0.419047619047619,0.3870967741935484,-0.18744806778279025,0.311749771518395,0.37142857142857144,0.7580645161290323,False
train_forward_oof,AMZN,2018-04,PRICE_R1,63,0.425,0.4126984126984127,-0.15348515337873012,0.2608866613632526,0.4653061224489796,0.6190476190476191,False
train_forward_oof,AMZN,2018-05,PRICE_R1,65,0.49610136452241715,0.49230769230769234,-0.007693004760192652,0.25749776964600923,0.4415204678362573,0.47692307692307695,False
train_forward_oof,AMZN,2018-06,PRICE_R1,63,0.6048913043478261,0.6507936507936508,0.22006970263318495,0.23611675461342904,0.6065217391304348,0.6984126984126984,False
train_forward_oof,AMZN,2018-07,PRICE_R1,60,0.5833333333333334,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.6111111111111112,0.75,False
train_forward_oof,AMZN,2018-08,PRICE_R1,69,0.6336206896551724,0.6521739130434783,0.274433014821148,0.23060211345278409,0.6586206896551725,0.6376811594202898,False
train_forward_oof,AMZN,2018-03,AUG_UNFILTERED_FINBERT,62,0.3751322751322751,0.3709677419354839,-0.24881561069936012,0.33634902715312703,0.35238095238095235,0.5483870967741935,False
train_forward_oof,AMZN,2018-04,AUG_UNFILTERED_FINBERT,63,0.4357142857142857,0.42857142857142855,-0.12909944487358058,0.26079720341086954,0.4581632653061224,0.5714285714285714,False
train_forward_oof,AMZN,2018-05,AUG_UNFILTERED_FINBERT,65,0.3455165692007797,0.35384615384615387,-0.30483531362263383,0.2588757527099557,0.4093567251461988,0.5230769230769231,False
train_forward_oof,AMZN,2018-06,AUG_UNFILTERED_FINBERT,63,0.5793478260869566,0.5714285714285714,0.152828062049447,0.23699990327213968,0.6141304347826088,0.49206349206349204,False
train_forward_oof,AMZN,2018-07,AUG_UNFILTERED_FINBERT,60,0.6666666666666667,0.6666666666666666,0.34020690871988585,0.2365423031195872,0.6888888888888889,0.4,False
train_forward_oof,AMZN,2018-08,AUG_UNFILTERED_FINBERT,69,0.5758620689655172,0.5797101449275363,0.1501785206706653,0.23796573119725814,0.5956896551724138,0.5362318840579711,False
