method,symbol,phase,stratum,n,BA,MCC,Brier,predicted_up,constant
F2,AAPL,train_oof,has_analog,121,0.4614010989010989,-0.0784135904129269,0.2717313932983162,0.5950413223140496,0
F2,AAPL,train_oof,no_analog,262,0.5310102301790282,0.05921512961968914,0.2548584518023665,0.5076335877862596,0
F2,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
F2,AMZN,development,has_analog,2,,0.0,0.34678419339085487,0.0,1
F2,AMZN,development,no_analog,124,0.47374965460071844,-0.05137045465603734,0.2968599470396784,0.5645161290322581,0
F2,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
F2,AMZN,later,has_analog,2,,0.0,0.2846124337602476,0.5,0
F2,AMZN,later,no_analog,177,0.5441815856777493,0.09007257195024361,0.26143157074982715,0.5988700564971752,0
F2,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
F2,AMZN,train_oof,has_analog,32,0.35,-0.29277002188455997,0.2723851472920944,0.5625,0
F2,AMZN,train_oof,no_analog,350,0.4938483688360983,-0.012759174951425832,0.2750792200413521,0.6342857142857142,0
F2,AMZN,train_oof,no_original_news,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
F6,AAPL,development,has_analog,21,0.5,0.0,0.25404007128014044,1.0,1
F6,AAPL,development,no_analog,105,0.5038377192982456,0.015328483487124143,0.25794745052927937,0.9333333333333333,0
F6,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
F6,AAPL,later,has_analog,19,0.47619047619047616,-0.049416621110740085,0.23872129133201425,0.6842105263157895,0
F6,AAPL,later,no_analog,159,0.4976190476190476,-0.005391795400688551,0.25454051584272064,0.7358490566037735,0
F6,AAPL,train_oof,has_analog,121,0.5968406593406593,0.19981375075635927,0.24743060467812886,0.628099173553719,0
F6,AAPL,train_oof,no_analog,262,0.5289002557544757,0.05858297269620197,0.24413921532831212,0.6679389312977099,0
