method,symbol,month,n,BA,MCC,Brier,predicted_up,constant
F0,AMZN,2018-10,69,0.5520833333333333,0.0976086011803788,0.2647896263293537,0.5942028985507246,0
F0,AMZN,2018-11,60,0.5347222222222222,0.06900655593423542,0.26983766603811665,0.5833333333333334,0
F0,AMZN,2018-12,54,0.556390977443609,0.11048004015888321,0.25001419588042223,0.6111111111111112,0
F0,AMZN,2019-01,63,0.42315789473684207,-0.15272267317972885,0.280979884288332,0.5873015873015873,0
F0,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
R1,AAPL,2018-03,62,0.42291666666666666,-0.15817166261312793,0.31218205095693174,0.3870967741935484,0
R1,AAPL,2018-04,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.5555555555555556,0
R1,AAPL,2018-05,66,0.5671015843429636,0.13376754398878044,0.24930082061036912,0.45454545454545453,0
R1,AAPL,2018-06,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.3968253968253968,0
R1,AAPL,2018-07,60,0.586080586080586,0.17216117216117216,0.2444661398323707,0.35,0
R1,AAPL,2018-08,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.6231884057971014,0
R1,AAPL,2018-09,57,0.6188423645320198,0.2831921951995806,0.23687878867299847,0.7719298245614035,0
R1,AAPL,2018-10,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.782608695652174,0
R1,AAPL,2018-11,60,0.5261401557285873,0.05797747850973157,0.25403661854843856,0.7166666666666667,0
R1,AAPL,2018-12,53,0.6385448916408669,0.2949846002743204,0.25395936945559855,0.7169811320754716,0
R1,AAPL,2019-01,63,0.485966735966736,-0.030586777135731963,0.25486671639997927,0.7142857142857143,0
R1,AAPL,2019-02,2,,0.0,0.3846307444858184,1.0,1
R1,AMZN,2018-03,62,0.419047619047619,-0.18744806778279025,0.311749771518395,0.7580645161290323,0
R1,AMZN,2018-04,63,0.425,-0.15348515337873012,0.2608866613632526,0.6190476190476191,0
R1,AMZN,2018-05,65,0.49610136452241715,-0.007693004760192652,0.2574977696460093,0.47692307692307695,0
R1,AMZN,2018-06,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.6984126984126984,0
R1,AMZN,2018-07,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.75,0
R1,AMZN,2018-08,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6376811594202898,0
R1,AMZN,2018-09,57,0.47598522167487683,-0.04977665340318334,0.26348832319443444,0.631578947368421,0
R1,AMZN,2018-10,69,0.5416666666666666,0.07856742013183861,0.2788264595358372,0.6086956521739131,0
R1,AMZN,2018-11,60,0.5277777777777778,0.055978284637523995,0.2844212127969923,0.6166666666666667,0
R1,AMZN,2018-12,54,0.5323308270676692,0.061928224614379454,0.2584394215807982,0.5370370370370371,0
R1,AMZN,2019-01,63,0.44263157894736843,-0.11775013847245042,0.272779513025182,0.6507936507936508,0
R1,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
F1,AAPL,2018-03,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5483870967741935,0
F1,AAPL,2018-04,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.8253968253968254,0
F1,AAPL,2018-05,66,0.5251630941286114,0.05016282899579266,0.25556960787737776,0.5454545454545454,0
F1,AAPL,2018-06,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.5714285714285714,0
F1,AAPL,2018-07,60,0.554945054945055,0.10482848367219183,0.24052626453701736,0.5,0
F1,AAPL,2018-08,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.7246376811594203,0
F1,AAPL,2018-09,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.7894736842105263,0
F1,AAPL,2018-10,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.7971014492753623,0
F1,AAPL,2018-11,60,0.5066740823136818,0.01667593364912675,0.2555355122588828,0.8,0
F1,AAPL,2018-12,53,0.5565015479876161,0.12030098223477871,0.2596946425076442,0.7169811320754716,0
F1,AAPL,2019-01,63,0.48804573804573803,-0.029085974677101674,0.25620523177629684,0.7936507936507936,0
F1,AAPL,2019-02,2,,0.0,0.4083408880370367,1.0,1
F1,AMZN,2018-03,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.6774193548387096,0
F1,AMZN,2018-04,63,0.37857142857142856,-0.2531399269503094,0.27732076661331184,0.3492063492063492,0
F1,AMZN,2018-05,65,0.5969785575048733,0.21748750777439183,0.25091009547871423,0.26153846153846155,0
F1,AMZN,2018-06,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.49206349206349204,0
F1,AMZN,2018-07,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,0
F1,AMZN,2018-08,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.5072463768115942,0
F1,AMZN,2018-09,57,0.4716748768472906,-0.05817474046899912,0.2553051922206057,0.38596491228070173,0
F1,AMZN,2018-10,69,0.65625,0.2890730751633232,0.24220680697950617,0.4492753623188406,0
F1,AMZN,2018-11,60,0.5138888888888888,0.02723168561657922,0.267106988666287,0.5166666666666667,0
F1,AMZN,2018-12,54,0.606015037593985,0.20770247549870044,0.23183241241765348,0.3888888888888889,0
F1,AMZN,2019-01,63,0.49684210526315786,-0.006186882248897459,0.27251657027097936,0.47619047619047616,0
F1,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
F2,AAPL,2018-03,62,0.4239583333333333,-0.15884586105957427,0.3218236568213799,0.3548387096774194,0
F2,AAPL,2018-04,63,0.5579637096774194,0.12157344839459235,0.24257106050333105,0.6507936507936508,0
F2,AAPL,2018-05,66,0.5139794967381175,0.02884636720764711,0.2496898989074392,0.6363636363636364,0
F2,AAPL,2018-06,63,0.3935185185185185,-0.21080522784319533,0.2706153606868883,0.5079365079365079,0
F2,AAPL,2018-07,60,0.47985347985347987,-0.03863074974250641,0.27387296217055795,0.45,0
F2,AAPL,2018-08,69,0.6388888888888888,0.24839788620727343,0.20951725572873084,0.5942028985507246,0
F2,AAPL,2018-09,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.8070175438596491,0
F2,AAPL,2018-10,69,0.5064102564102564,0.01676757576219862,0.3107541368019272,0.8260869565217391,0
F2,AAPL,2018-11,60,0.6262513904338154,0.28001888556827803,0.25049160393742603,0.7166666666666667,0
F2,AAPL,2018-12,53,0.5007739938080495,0.0016837880371435127,0.3342213897787733,0.7358490566037735,0
F2,AAPL,2019-01,63,0.5784823284823285,0.1775335718988042,0.2725644790519098,0.746031746031746,0
F2,AAPL,2019-02,2,,0.0,0.4590555618167934,1.0,1
F2,AMZN,2018-03,62,0.382010582010582,-0.2622758125723706,0.34021305830659254,0.7258064516129032,0
F2,AMZN,2018-04,63,0.39642857142857146,-0.205886164914561,0.2897315377159766,0.5079365079365079,0
F2,AMZN,2018-05,65,0.4220272904483431,-0.15415288347095465,0.29092588801302666,0.5384615384615384,0
F2,AMZN,2018-06,63,0.4989130434782609,-0.002195496824144787,0.24424332010338076,0.6507936507936508,0
F2,AMZN,2018-07,60,0.55,0.11095900821829636,0.25747557275356026,0.7166666666666667,0
F2,AMZN,2018-08,69,0.6336206896551724,0.274433014821148,0.23045955049466182,0.6376811594202898,0
F2,AMZN,2018-09,57,0.41995073891625617,-0.16129479177027617,0.2759682940694396,0.43859649122807015,0
F2,AMZN,2018-10,69,0.5446428571428572,0.08625819491779428,0.31556534866295327,0.6521739130434783,0
F2,AMZN,2018-11,60,0.5694444444444444,0.14433756729740643,0.26969373427795784,0.6666666666666666,0
F2,AMZN,2018-12,54,0.544360902255639,0.08568334725853646,0.2564036519905897,0.5740740740740741,0
F2,AMZN,2019-01,63,0.5163157894736843,0.03203033152014646,0.25860775810321435,0.5396825396825397,0
F2,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
F6,AAPL,2018-03,62,0.4666666666666667,-0.06677107811148458,0.27292457158525446,0.532258064516129,0
F6,AAPL,2018-04,63,0.5887096774193548,0.18016453109785477,0.24151779895364803,0.5873015873015873,0
F6,AAPL,2018-05,66,0.559645852749301,0.11846652815860344,0.24386612909982594,0.5151515151515151,0
F6,AAPL,2018-06,63,0.4444444444444444,-0.11239029738980327,0.25604143747816216,0.6031746031746031,0
F6,AAPL,2018-07,60,0.6245421245421245,0.26865930502743096,0.23313221992794514,0.7333333333333333,0
F6,AAPL,2018-08,69,0.49836601307189543,-0.0061406343848634335,0.2254047033669033,0.9420289855072463,0
F6,AAPL,2018-09,57,0.5344827586206896,0.1873758732290221,0.24877587487709044,0.9649122807017544,0
F6,AAPL,2018-10,69,0.47564102564102567,-0.09315516419063742,0.26433476716613225,0.927536231884058,0
F6,AAPL,2018-11,60,0.4949944382647386,-0.010488677029536228,0.24403444476971378,0.65,0
F6,AAPL,2018-12,53,0.5154798761609907,0.03295917321500787,0.26271592243784,0.7169811320754716,0
F6,AAPL,2019-01,63,0.4688149688149688,-0.0781966239492789,0.24935316560042986,0.8095238095238095,0
F6,AAPL,2019-02,2,,0.0,0.36619327304271565,1.0,1
F6,AMZN,2018-03,62,0.4275132275132275,-0.1881582357433006,0.2940422025560994,0.8225806451612904,0
F6,AMZN,2018-04,63,0.5428571428571429,0.09035079029052512,0.2620472327555471,0.6666666666666666,0
F6,AMZN,2018-05,65,0.5804093567251463,0.158970161079422,0.24780277137992274,0.5384615384615384,0
F6,AMZN,2018-06,63,0.6451086956521739,0.28772620881222866,0.23505322245116603,0.6190476190476191,0
F6,AMZN,2018-07,60,0.55,0.11547005383792515,0.24469947592019328,0.75,0
F6,AMZN,2018-08,69,0.6193965517241379,0.2638693649181101,0.23104658625171715,0.7246376811594203,0
F6,AMZN,2018-09,57,0.4944581280788177,-0.011920540257484747,0.2579996889595012,0.6842105263157895,0
F6,AMZN,2018-10,69,0.5416666666666666,0.07856742013183861,0.27107304294789336,0.6086956521739131,0
F6,AMZN,2018-11,60,0.5555555555555556,0.11412279800291011,0.2516044727982864,0.65,0
F6,AMZN,2018-12,54,0.5037593984962406,0.007261300615130208,0.24809209185139564,0.5740740740740741,0
F6,AMZN,2019-01,63,0.4421052631578948,-0.12762257587800854,0.2626374936415917,0.7301587301587301,0
F6,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
P0,AAPL,2018-03,62,0.50625,0.013549853549457657,0.3292313608248864,0.3064516129032258,0
P0,AAPL,2018-04,63,0.5846774193548387,0.17960530202677488,0.2647925107300169,0.3333333333333333,0
P0,AAPL,2018-05,66,0.5242311276794036,0.05233708966940184,0.310648822386079,0.30303030303030304,0
P0,AAPL,2018-06,63,0.4074074074074074,-0.186145197762485,0.3784248172668947,0.4126984126984127,0
P0,AAPL,2018-07,60,0.5567765567765568,0.10886847654706353,0.30017371136188176,0.55,0
P0,AAPL,2018-08,69,0.5130718954248366,0.023020462775806542,0.35749617513461174,0.463768115942029,0
P0,AAPL,2018-09,57,0.45566502463054187,-0.08877935232369505,0.350691188470212,0.47368421052631576,0
P0,AAPL,2018-10,69,0.6128205128205129,0.22779283096882866,0.23715516434099293,0.4057971014492754,0
P0,AAPL,2018-11,60,0.5417130144605117,0.09627854781311668,0.37080429920124114,0.25,0
P0,AAPL,2018-12,53,0.4582043343653251,-0.09092455400574968,0.3331319770587991,0.2641509433962264,0
P0,AAPL,2019-01,63,0.5218295218295218,0.045596075258755316,0.39113016506132897,0.3333333333333333,0
P0,AAPL,2019-02,2,,0.0,0.16371265094690232,0.5,0
P0,AMZN,2018-03,62,0.39629629629629626,-0.22655704750137484,0.34954169161479115,0.7096774193548387,0
P0,AMZN,2018-04,63,0.46785714285714286,-0.06454972243679029,0.30085275170968545,0.42857142857142855,0
P0,AMZN,2018-05,65,0.5779727095516569,0.15415288347095465,0.28725720981414615,0.46153846153846156,0
P0,AMZN,2018-06,63,0.6603260869565217,0.30879642674374563,0.26337553654948925,0.5079365079365079,0
P0,AMZN,2018-07,60,0.6,0.2364331218717302,0.2506271182361695,0.7666666666666667,0
P0,AMZN,2018-08,69,0.580603448275862,0.15916190598026567,0.29003279759635725,0.5072463768115942,0
P0,AMZN,2018-09,57,0.5092364532019704,0.0184956984007698,0.29104252911720524,0.5263157894736842,0
P0,AMZN,2018-10,69,0.5952380952380952,0.17958267458705968,0.2393832952581249,0.391304347826087,0
P0,AMZN,2018-11,60,0.5833333333333333,0.16666666666666666,0.25676462874305184,0.6,0
P0,AMZN,2018-12,54,0.5488721804511278,0.0936124325566201,0.235555044254698,0.46296296296296297,0
P0,AMZN,2019-01,63,0.5226315789473684,0.04497996538855028,0.2568620072224604,0.5873015873015873,0
P0,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
P1,AAPL,2018-03,62,0.3364583333333333,-0.3296690125691593,0.33139813657701883,0.5645161290322581,0
P1,AAPL,2018-04,63,0.5559475806451613,0.11200812967981165,0.24048419006814498,0.5238095238095238,0
P1,AAPL,2018-05,66,0.5242311276794036,0.05233708966940184,0.25293626596908025,0.30303030303030304,0
P1,AAPL,2018-06,63,0.45833333333333337,-0.08429272304235245,0.2691334457999042,0.3968253968253968,0
P1,AAPL,2018-07,60,0.5604395604395604,0.12394371660990718,0.2581758394359051,0.31666666666666665,0
P1,AAPL,2018-08,69,0.5065359477124183,0.011578891238197915,0.24287945192469507,0.5652173913043478,0
P1,AAPL,2018-09,57,0.6366995073891626,0.3352571740353968,0.23466822468419224,0.7894736842105263,0
P1,AAPL,2018-10,69,0.5243589743589744,0.0549997333814401,0.24626396962069522,0.7391304347826086,0
P1,AAPL,2018-11,60,0.5100111234705228,0.021833922351767,0.2579504939085963,0.7,0
P1,AAPL,2018-12,53,0.6122291021671826,0.2344719470790313,0.25531491424837843,0.6981132075471698,0
P1,AAPL,2019-01,63,0.4589397089397089,-0.08685410105007284,0.26203352086325904,0.6825396825396826,0
P1,AAPL,2019-02,2,,0.0,0.3846307444858184,1.0,1
