symbol,month,method,C,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-04,PRICE_R1,0.1,63,0.5090725806451613,0.5079365079365079,0.01833088937766916,0.2550999862452743,0.5766129032258065,0.5806451612903226,0.4375,0.5714285714285714,False
AAPL,2018-04,PRICE_R1,1.0,63,0.46169354838709675,0.4603174603174603,-0.07779832024680092,0.2983687779228576,0.5262096774193549,0.5483870967741935,0.375,0.5873015873015873,False
AAPL,2018-04,AUG_FULL_LR,0.01,63,0.5599798387096775,0.5555555555555556,0.14425439957670275,0.2535706829777786,0.5272177419354839,0.8387096774193549,0.28125,0.7777777777777778,False
AAPL,2018-04,AUG_FULL_LR,0.1,63,0.5443548387096775,0.5396825396825397,0.10958980590507794,0.3097774886436594,0.504032258064516,0.8387096774193549,0.25,0.7936507936507936,False
AAPL,2018-04,AUG_FULL_LR,1.0,63,0.4642137096774194,0.4603174603174603,-0.08220412147519478,0.4132035848162528,0.4354838709677419,0.7096774193548387,0.21875,0.746031746031746,False
AAPL,2018-04,AUG_TFIDF_SVM,0.01,63,0.5912298387096775,0.5873015873015873,0.20956261953535568,0.2561649574789446,0.5715725806451613,0.8387096774193549,0.34375,0.746031746031746,False
AAPL,2018-04,AUG_TFIDF_SVM,0.1,63,0.6078629032258065,0.6031746031746031,0.26650248254189407,0.2533942236681326,0.592741935483871,0.9032258064516129,0.3125,0.7936507936507936,False
AAPL,2018-04,AUG_TFIDF_SVM,1.0,63,0.5766129032258065,0.5714285714285714,0.2017853988002107,0.24085904550711884,0.6512096774193548,0.9032258064516129,0.25,0.8253968253968254,False
AAPL,2018-04,AUG_FINBERT_LR,0.01,63,0.6401209677419355,0.6349206349206349,0.369054874121438,0.24249196163481004,0.6431451612903225,0.967741935483871,0.3125,0.8253968253968254,False
AAPL,2018-04,AUG_FINBERT_LR,0.1,63,0.560483870967742,0.5555555555555556,0.15401027590842434,0.2608710451827844,0.6159274193548387,0.8709677419354839,0.25,0.8095238095238095,False
AAPL,2018-04,AUG_FINBERT_LR,1.0,63,0.5418346774193548,0.5396825396825397,0.08688170650756233,0.30330141363327984,0.5393145161290323,0.6774193548387096,0.40625,0.6349206349206349,False
AAPL,2018-04,AUG_FINMODERN_LR,0.01,63,0.5115927419354839,0.5079365079365079,0.02611371280007754,0.2634126672854413,0.4858870967741935,0.7419354838709677,0.28125,0.7301587301587301,False
AAPL,2018-04,AUG_FINMODERN_LR,0.1,63,0.4798387096774194,0.47619047619047616,-0.045415152695787026,0.3368605308424059,0.46673387096774194,0.7096774193548387,0.25,0.7301587301587301,False
AAPL,2018-04,AUG_FINMODERN_LR,1.0,63,0.4793346774193548,0.47619047619047616,-0.045022010188915836,0.40976967157304106,0.43548387096774194,0.6774193548387096,0.28125,0.6984126984126984,False
