phase,symbol,flag,value,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AMZN,has_original_news,1,ORIG_FULL_LR,73,0.5994363929146538,0.6301369863013698,0.20049361773565857,0.23665274609049416,0.5901771336553945,0.48148148148148145,0.717391304347826,0.3561643835616438,False
development,AMZN,has_aug_news,0,ORIG_FULL_LR,12,0.6142857142857143,0.5833333333333334,0.23904572186687872,0.2676050843989804,0.6285714285714286,0.8,0.42857142857142855,0.6666666666666666,False
development,AMZN,has_aug_news,1,ORIG_FULL_LR,114,0.5487012987012987,0.5701754385964912,0.0970096849602985,0.2460824967137955,0.5782467532467533,0.45454545454545453,0.6428571428571429,0.39473684210526316,False
development,AMZN,has_original_news,0,ORIG_TFIDF_SVM,53,0.49193548387096775,0.49056603773584906,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,ORIG_TFIDF_SVM,73,0.4694041867954911,0.3698630136986301,-0.09456950645999589,0.26649323244303463,0.427938808373591,0.8518518518518519,0.08695652173913043,0.8904109589041096,False
development,AMZN,has_aug_news,0,ORIG_TFIDF_SVM,12,0.6142857142857143,0.5833333333333334,0.23904572186687872,0.2676050843989804,0.6285714285714286,0.8,0.42857142857142855,0.6666666666666666,False
development,AMZN,has_aug_news,1,ORIG_TFIDF_SVM,114,0.45519480519480515,0.40350877192982454,-0.09906801321840804,0.2651908783255101,0.4599025974025973,0.6818181818181818,0.22857142857142856,0.7368421052631579,False
development,AMZN,has_original_news,0,ORIG_FINBERT_LR,53,0.49193548387096775,0.49056603773584906,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,ORIG_FINBERT_LR,73,0.4440418679549114,0.4246575342465753,-0.10981436312113849,0.3221258444677734,0.47665056360708535,0.5185185185185185,0.3695652173913043,0.589041095890411,False
development,AMZN,has_aug_news,0,ORIG_FINBERT_LR,12,0.6142857142857143,0.5833333333333334,0.23904572186687872,0.2676050843989804,0.6285714285714286,0.8,0.42857142857142855,0.6666666666666666,False
development,AMZN,has_aug_news,1,ORIG_FINBERT_LR,114,0.44577922077922083,0.43859649122807015,-0.10599212322594112,0.30081527023608845,0.49253246753246754,0.4772727272727273,0.4142857142857143,0.543859649122807,False
development,AMZN,has_original_news,0,ORIG_FINMODERN_LR,53,0.5285923753665689,0.4716981132075472,0.07504552959102166,0.2594078107124844,0.5982404692082112,0.8636363636363636,0.1935483870967742,0.8301886792452831,False
development,AMZN,has_original_news,1,ORIG_FINMODERN_LR,73,0.5789049919484701,0.5753424657534246,0.15238533040214866,0.2378943439075559,0.6328502415458936,0.5925925925925926,0.5652173913043478,0.4931506849315068,False
development,AMZN,has_aug_news,0,ORIG_FINMODERN_LR,12,0.4714285714285714,0.4166666666666667,-0.07559289460184544,0.2842408268627559,0.48571428571428577,0.8,0.14285714285714285,0.8333333333333334,False
development,AMZN,has_aug_news,1,ORIG_FINMODERN_LR,114,0.5737012987012987,0.543859649122807,0.1474025974025974,0.2430176416724577,0.6376623376623376,0.7045454545454546,0.44285714285714284,0.6140350877192983,False
development,AMZN,has_original_news,0,ORIG_EVENT_META,53,0.49193548387096775,0.49056603773584906,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,ORIG_EVENT_META,73,0.5124798711755233,0.5205479452054794,0.02415622876811428,0.2611717954204046,0.5169082125603864,0.48148148148148145,0.5434782608695652,0.4657534246575342,False
development,AMZN,has_aug_news,0,ORIG_EVENT_META,12,0.6142857142857143,0.5833333333333334,0.23904572186687872,0.2676050843989804,0.6285714285714286,0.8,0.42857142857142855,0.6666666666666666,False
development,AMZN,has_aug_news,1,ORIG_EVENT_META,114,0.49155844155844153,0.5,-0.01647878293490751,0.2617832914601417,0.5308441558441559,0.45454545454545453,0.5285714285714286,0.4649122807017544,False
later,AAPL,has_original_news,1,PRICE_R1,178,0.5386510041682455,0.5337078651685393,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,has_aug_news,1,PRICE_R1,178,0.5386510041682455,0.5337078651685393,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,has_original_news,1,AUG_FULL_LR,178,0.4946949602122016,0.4887640449438202,-0.012491220196364759,0.288506864537394,0.5648604269293924,0.7586206896551724,0.23076923076923078,0.7640449438202247,False
later,AAPL,has_aug_news,1,AUG_FULL_LR,178,0.4946949602122016,0.4887640449438202,-0.012491220196364759,0.288506864537394,0.5648604269293924,0.7586206896551724,0.23076923076923078,0.7640449438202247,False
later,AAPL,has_original_news,1,AUG_TFIDF_SVM,178,0.5,0.4887640449438202,0.0,0.2612788212744954,0.577238853100922,1.0,0.0,1.0,True
later,AAPL,has_aug_news,1,AUG_TFIDF_SVM,178,0.5,0.4887640449438202,0.0,0.2612788212744954,0.577238853100922,1.0,0.0,1.0,True
later,AAPL,has_original_news,1,AUG_FINBERT_LR,178,0.5383983832259694,0.5337078651685393,0.08441824368058118,0.2582586378732002,0.5340406719717065,0.7471264367816092,0.32967032967032966,0.7078651685393258,False
later,AAPL,has_aug_news,1,AUG_FINBERT_LR,178,0.5383983832259694,0.5337078651685393,0.08441824368058118,0.2582586378732002,0.5340406719717065,0.7471264367816092,0.32967032967032966,0.7078651685393258,False
later,AAPL,has_original_news,1,AUG_FINMODERN_LR,178,0.5383983832259694,0.5337078651685393,0.08441824368058118,0.24853812735067263,0.5615763546798029,0.7471264367816092,0.32967032967032966,0.7078651685393258,False
later,AAPL,has_aug_news,1,AUG_FINMODERN_LR,178,0.5383983832259694,0.5337078651685393,0.08441824368058118,0.24853812735067263,0.5615763546798029,0.7471264367816092,0.32967032967032966,0.7078651685393258,False
later,AAPL,has_original_news,1,AUG_EVENT_META,178,0.5164203612479474,0.5112359550561798,0.0369913968015396,0.26061602914890486,0.5251989389920424,0.7471264367816092,0.2857142857142857,0.7303370786516854,False
later,AAPL,has_aug_news,1,AUG_EVENT_META,178,0.5164203612479474,0.5112359550561798,0.0369913968015396,0.26061602914890486,0.5251989389920424,0.7471264367816092,0.2857142857142857,0.7303370786516854,False
later,AAPL,has_original_news,1,ORIG_PRICE_R1,178,0.5386510041682455,0.5337078651685393,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,has_aug_news,1,ORIG_PRICE_R1,178,0.5386510041682455,0.5337078651685393,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,has_original_news,1,ORIG_FULL_LR,178,0.5174308450170519,0.5112359550561798,0.041750263492643866,0.2587278548675218,0.5385878489326765,0.7931034482758621,0.24175824175824176,0.7752808988764045,False
later,AAPL,has_aug_news,1,ORIG_FULL_LR,178,0.5174308450170519,0.5112359550561798,0.041750263492643866,0.2587278548675218,0.5385878489326765,0.7931034482758621,0.24175824175824176,0.7752808988764045,False
later,AAPL,has_original_news,1,ORIG_TFIDF_SVM,178,0.5,0.4887640449438202,0.0,0.2688476975415471,0.47517999242137166,1.0,0.0,1.0,True
later,AAPL,has_aug_news,1,ORIG_TFIDF_SVM,178,0.5,0.4887640449438202,0.0,0.2688476975415471,0.47517999242137166,1.0,0.0,1.0,True
later,AAPL,has_original_news,1,ORIG_FINBERT_LR,178,0.5671340154098775,0.5617977528089888,0.15225387872362858,0.2855781078563171,0.5495768599216875,0.8045977011494253,0.32967032967032966,0.7359550561797753,False
later,AAPL,has_aug_news,1,ORIG_FINBERT_LR,178,0.5671340154098775,0.5617977528089888,0.15225387872362858,0.2855781078563171,0.5495768599216875,0.8045977011494253,0.32967032967032966,0.7359550561797753,False
later,AAPL,has_original_news,1,ORIG_FINMODERN_LR,178,0.5451559934318555,0.5393258426966292,0.10546894633210954,0.2611943019499009,0.5764809902740938,0.8045977011494253,0.2857142857142857,0.7584269662921348,False
later,AAPL,has_aug_news,1,ORIG_FINMODERN_LR,178,0.5451559934318555,0.5393258426966292,0.10546894633210954,0.2611943019499009,0.5764809902740938,0.8045977011494253,0.2857142857142857,0.7584269662921348,False
later,AAPL,has_original_news,1,ORIG_EVENT_META,178,0.5616395099153719,0.5561797752808989,0.14076789415735066,0.2940225986473647,0.541871921182266,0.8045977011494253,0.31868131868131866,0.7415730337078652,False
later,AAPL,has_aug_news,1,ORIG_EVENT_META,178,0.5616395099153719,0.5561797752808989,0.14076789415735066,0.2940225986473647,0.541871921182266,0.8045977011494253,0.31868131868131866,0.7415730337078652,False
later,AMZN,has_original_news,0,PRICE_R1,95,0.5596187943262412,0.5578947368421052,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,has_original_news,1,PRICE_R1,84,0.4580218516388729,0.4642857142857143,-0.08373988316725563,0.30538942739249597,0.42093156986774,0.5106382978723404,0.40540540540540543,0.5476190476190477,False
later,AMZN,has_aug_news,0,PRICE_R1,19,0.47857142857142854,0.42105263157894735,-0.03912303982179758,0.3147556730709535,0.41428571428571426,0.6,0.35714285714285715,0.631578947368421,False
later,AMZN,has_aug_news,1,PRICE_R1,160,0.5132141161576198,0.525,0.026874237543331982,0.2671790995686817,0.5355277733818642,0.6179775280898876,0.4084507042253521,0.60625,False
later,AMZN,has_original_news,0,AUG_FULL_LR,95,0.4443705673758865,0.4421052631578947,-0.12332974552568297,0.26092096285764566,0.46985815602836883,0.6595744680851063,0.22916666666666666,0.7157894736842105,False
later,AMZN,has_original_news,1,AUG_FULL_LR,84,0.4741230592294422,0.44047619047619047,-0.06261588138483451,0.2807638336148165,0.46923519263944796,0.19148936170212766,0.7567567567567568,0.21428571428571427,False
later,AMZN,has_aug_news,0,AUG_FULL_LR,19,0.5357142857142857,0.3157894736842105,0.14085904245475275,0.29562606743736985,0.5571428571428572,1.0,0.07142857142857142,0.9473684210526315,False
later,AMZN,has_aug_news,1,AUG_FULL_LR,160,0.464234847285963,0.45625,-0.07188957019392837,0.26721723883631815,0.4842538376325368,0.39325842696629215,0.5352112676056338,0.425,False
later,AMZN,has_original_news,0,AUG_TFIDF_SVM,95,0.44126773049645396,0.4421052631578947,-0.11895014776420841,0.2739657199888571,0.3712322695035461,0.3617021276595745,0.5208333333333334,0.42105263157894735,False
later,AMZN,has_original_news,1,AUG_TFIDF_SVM,84,0.5359401955146637,0.5,0.08881746222855953,0.25656245460078764,0.5761932144910868,0.23404255319148937,0.8378378378378378,0.20238095238095238,False
later,AMZN,has_aug_news,0,AUG_TFIDF_SVM,19,0.47857142857142854,0.42105263157894735,-0.03912303982179758,0.3147556730709535,0.41428571428571426,0.6,0.35714285714285715,0.631578947368421,False
later,AMZN,has_aug_news,1,AUG_TFIDF_SVM,160,0.499604367779712,0.475,-0.0008743607412679109,0.25998519873162174,0.4860737458458616,0.2808988764044944,0.7183098591549296,0.28125,False
later,AMZN,has_original_news,0,AUG_FINBERT_LR,95,0.5292553191489362,0.5263157894736842,0.07049833762801419,0.2652189522544146,0.5066489361702128,0.8085106382978723,0.25,0.7789473684210526,False
later,AMZN,has_original_news,1,AUG_FINBERT_LR,84,0.46175963197239794,0.4523809523809524,-0.07701401900075391,0.26633154077298027,0.46175963197239794,0.3829787234042553,0.5405405405405406,0.4166666666666667,False
later,AMZN,has_aug_news,0,AUG_FINBERT_LR,19,0.5,0.2631578947368421,0.0,0.3696466238422373,0.6,1.0,0.0,1.0,True
later,AMZN,has_aug_news,1,AUG_FINBERT_LR,160,0.5118689666086406,0.51875,0.023773701565506018,0.25340227522560765,0.5233423009969931,0.5730337078651685,0.4507042253521127,0.5625,False
later,AMZN,has_original_news,0,AUG_FINMODERN_LR,95,0.46564716312056736,0.4631578947368421,-0.07800871538350833,0.2832994731741487,0.5589539007092199,0.7021276595744681,0.22916666666666666,0.7368421052631579,False
