phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
later,AAPL,2018-11,AUG_FINMODERN_LR,60,0.4593993325917686,0.4666666666666667,-0.09005012619596606,0.2550331536179453,0.5127919911012236,0.6774193548387096,0.2413793103448276,0.7166666666666667,False
later,AAPL,2018-12,AUG_FINMODERN_LR,53,0.641640866873065,0.5849056603773585,0.28685640806868223,0.24394742798967398,0.6130030959752322,0.8421052631578947,0.4411764705882353,0.660377358490566,False
later,AAPL,2019-01,AUG_FINMODERN_LR,63,0.5322245322245323,0.5714285714285714,0.07148267183870147,0.24517288188517602,0.5280665280665281,0.7567567567567568,0.3076923076923077,0.7301587301587301,False
later,AAPL,2019-02,AUG_FINMODERN_LR,2,,0.0,0.0,0.2813461045621015,,,0.0,1.0,True
later,AAPL,2018-11,AUG_EVENT_META,60,0.5444938820912124,0.55,0.09433332612731564,0.24474923477509575,0.5862068965517242,0.7096774193548387,0.3793103448275862,0.6666666666666666,False
later,AAPL,2018-12,AUG_EVENT_META,53,0.5619195046439628,0.4528301886792453,0.17540654413022408,0.27680870834669075,0.6733746130030959,0.9473684210526315,0.17647058823529413,0.8679245283018868,False
later,AAPL,2019-01,AUG_EVENT_META,63,0.5109147609147608,0.5396825396825397,0.022798037629377658,0.25876408708202225,0.48128898128898123,0.6756756756756757,0.34615384615384615,0.6666666666666666,False
later,AAPL,2019-02,AUG_EVENT_META,2,,0.0,0.0,0.36585003672865324,,,0.0,1.0,True
later,AAPL,2018-11,ORIG_PRICE_R1,60,0.5261401557285873,0.5333333333333333,0.05797747850973157,0.25403661854843856,0.5305895439377085,0.7419354838709677,0.3103448275862069,0.7166666666666667,False
later,AAPL,2018-12,ORIG_PRICE_R1,53,0.6385448916408669,0.5660377358490566,0.2949846002743204,0.25395936945559855,0.6114551083591332,0.8947368421052632,0.38235294117647056,0.7169811320754716,False
later,AAPL,2019-01,ORIG_PRICE_R1,63,0.485966735966736,0.5238095238095238,-0.030586777135731963,0.25486671639997927,0.46569646569646567,0.7027027027027027,0.2692307692307692,0.7142857142857143,False
later,AAPL,2019-02,ORIG_PRICE_R1,2,,0.0,0.0,0.3846307444858184,,,0.0,1.0,True
later,AAPL,2018-11,ORIG_FULL_LR,60,0.5066740823136818,0.5166666666666667,0.01667593364912675,0.25553551225888277,0.5350389321468298,0.8064516129032258,0.20689655172413793,0.8,False
later,AAPL,2018-12,ORIG_FULL_LR,53,0.5565015479876161,0.49056603773584906,0.12030098223477871,0.2596946425076442,0.6130030959752322,0.7894736842105263,0.3235294117647059,0.7169811320754716,False
later,AAPL,2019-01,ORIG_FULL_LR,63,0.48804573804573803,0.5396825396825397,-0.029085974677101674,0.25620523177629684,0.4906444906444906,0.7837837837837838,0.19230769230769232,0.7936507936507936,False
later,AAPL,2019-02,ORIG_FULL_LR,2,,0.0,0.0,0.4083408880370367,,,0.0,1.0,True
later,AAPL,2018-11,ORIG_TFIDF_SVM,60,0.5,0.5166666666666667,0.0,0.26311317908936344,0.4505005561735261,1.0,0.0,1.0,True
later,AAPL,2018-12,ORIG_TFIDF_SVM,53,0.5,0.3584905660377358,0.0,0.3002091223024441,0.5448916408668729,1.0,0.0,1.0,True
later,AAPL,2019-01,ORIG_TFIDF_SVM,63,0.5,0.5873015873015873,0.0,0.24637912648999383,0.4532224532224532,1.0,0.0,1.0,True
later,AAPL,2019-02,ORIG_TFIDF_SVM,2,,0.0,0.0,0.317565483067219,,,0.0,1.0,True
later,AAPL,2018-11,ORIG_FINBERT_LR,60,0.6262513904338154,0.6333333333333333,0.28001888556827803,0.250491603937426,0.6451612903225807,0.8387096774193549,0.41379310344827586,0.7166666666666667,False
later,AAPL,2018-12,ORIG_FINBERT_LR,53,0.5007739938080495,0.4339622641509434,0.0016837880371435127,0.3342213897787733,0.5092879256965944,0.7368421052631579,0.2647058823529412,0.7358490566037735,False
later,AAPL,2019-01,ORIG_FINBERT_LR,63,0.5784823284823285,0.6190476190476191,0.1775335718988042,0.2725644790519098,0.5083160083160083,0.8108108108108109,0.34615384615384615,0.746031746031746,False
later,AAPL,2019-02,ORIG_FINBERT_LR,2,,0.0,0.0,0.45905556181679336,,,0.0,1.0,True
later,AAPL,2018-11,ORIG_FINMODERN_LR,60,0.5734149054505006,0.5833333333333334,0.18343527014039426,0.2552089431435905,0.581757508342603,0.8709677419354839,0.27586206896551724,0.8,False
later,AAPL,2018-12,ORIG_FINMODERN_LR,53,0.6795665634674922,0.6037735849056604,0.38232640929409123,0.2593337200369883,0.6780185758513931,0.9473684210526315,0.4117647058823529,0.7169811320754716,False
later,AAPL,2019-01,ORIG_FINMODERN_LR,63,0.39553014553014554,0.4444444444444444,-0.24151397905504782,0.26640642460511726,0.4760914760914761,0.6756756756756757,0.11538461538461539,0.7619047619047619,False
later,AAPL,2019-02,ORIG_FINMODERN_LR,2,,0.5,0.0,0.325878623192079,,,0.5,0.5,False
later,AAPL,2018-11,ORIG_EVENT_META,60,0.6446051167964405,0.65,0.3065833099137758,0.25320187781821923,0.6484983314794216,0.8064516129032258,0.4827586206896552,0.6666666666666666,False
later,AAPL,2018-12,ORIG_EVENT_META,53,0.5007739938080495,0.4339622641509434,0.0016837880371435127,0.35029615100863165,0.49226006191950467,0.7368421052631579,0.2647058823529412,0.7358490566037735,False
later,AAPL,2019-01,ORIG_EVENT_META,63,0.5343035343035343,0.5873015873015873,0.08601628634420679,0.27992808500596833,0.497920997920998,0.8378378378378378,0.23076923076923078,0.8095238095238095,False
later,AAPL,2019-02,ORIG_EVENT_META,2,,0.0,0.0,0.47137226565213497,,,0.0,1.0,True
later,AMZN,2018-11,PRICE_R1,60,0.5277777777777778,0.55,0.055978284637523995,0.2844212127969923,0.5173611111111112,0.6388888888888888,0.4166666666666667,0.6166666666666667,False
