symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage
AAPL,outer,all,uniform,192,0.566017316017316,0.12559250326643728,0.24469497073957283,0.5677083333333334,0.5714285714285714,0.5606060606060606,0.5260416666666666,1.0
AAPL,outer,2018-06,price,63,0.43981481481481477,-0.12099437854561525,0.2828187893607408,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0
AAPL,outer,2018-06,title,63,0.4907407407407407,-0.018731716231633878,0.256047995943431,0.47619047619047616,0.3888888888888889,0.5925925925925926,0.3968253968253968,1.0
AAPL,outer,2018-06,body,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.42857142857142855,0.5,0.3333333333333333,0.5714285714285714,1.0
AAPL,outer,2018-06,semantic,63,0.3935185185185185,-0.21080522784319533,0.2706153606868883,0.3968253968253968,0.4166666666666667,0.37037037037037035,0.5079365079365079,1.0
AAPL,outer,2018-06,integrated,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.42857142857142855,0.5,0.3333333333333333,0.5714285714285714,1.0
AAPL,outer,2018-06,multi_only,63,0.4351851851851852,-0.12909944487358058,0.2595504627365964,0.4444444444444444,0.5,0.37037037037037035,0.5555555555555556,1.0
AAPL,outer,2018-06,no_semantic,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.42857142857142855,0.5,0.3333333333333333,0.5714285714285714,1.0
AAPL,outer,2018-06,no_body,63,0.43981481481481477,-0.12099437854561525,0.27810985494259427,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0
AAPL,outer,2018-06,no_title,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.42857142857142855,0.5,0.3333333333333333,0.5714285714285714,1.0
AAPL,outer,2018-06,uniform,63,0.46759259259259256,-0.06454972243679029,0.26406649157038087,0.4603174603174603,0.4166666666666667,0.5185185185185185,0.4444444444444444,1.0
AAPL,outer,2018-07,price,60,0.5622710622710623,0.12326934324804635,0.25257126305587874,0.5166666666666667,0.41025641025641024,0.7142857142857143,0.36666666666666664,1.0
AAPL,outer,2018-07,title,60,0.5274725274725275,0.05315774339537505,0.24867832804680784,0.5,0.4358974358974359,0.6190476190476191,0.4166666666666667,1.0
AAPL,outer,2018-07,body,60,0.554945054945055,0.10482848367219183,0.24052626453701736,0.55,0.5384615384615384,0.5714285714285714,0.5,1.0
AAPL,outer,2018-07,semantic,60,0.47985347985347987,-0.03863074974250641,0.27387296217055795,0.4666666666666667,0.4358974358974359,0.5238095238095238,0.45,1.0
AAPL,outer,2018-07,integrated,60,0.5641025641025641,0.12403473458920845,0.24890894922288695,0.5333333333333333,0.46153846153846156,0.6666666666666666,0.4166666666666667,1.0
AAPL,outer,2018-07,multi_only,60,0.5641025641025641,0.12403473458920845,0.24890894922288695,0.5333333333333333,0.46153846153846156,0.6666666666666666,0.4166666666666667,1.0
