phase,symbol,flag,value,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,has_original_news,1,J2,124,0.5477941176470589,0.12452068109744242,0.2812746976582664,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_usable_text,0,J2,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,J2,124,0.5477941176470589,0.12452068109744242,0.2812746976582664,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_qualified_event,0,J2,40,0.6035353535353535,0.24669716448921308,0.293549975023867,0.5555555555555556,0.8888888888888888,0.3181818181818182,0.775,False
development,AAPL,has_qualified_event,1,J2,86,0.5119565217391304,0.03230825477230273,0.2741305913900761,0.6364130434782609,0.85,0.17391304347826086,0.8372093023255814,False
development,AAPL,has_original_news,0,J3,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,J3,124,0.5656512605042017,0.177660085589407,0.2497238330820483,0.6704306722689076,0.9107142857142857,0.22058823529411764,0.8387096774193549,False
development,AAPL,has_usable_text,0,J3,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,J3,124,0.5656512605042017,0.177660085589407,0.2497238330820483,0.6704306722689076,0.9107142857142857,0.22058823529411764,0.8387096774193549,False
development,AAPL,has_qualified_event,0,J3,40,0.5303030303030303,0.07537783614444091,0.26745354036626146,0.5176767676767677,0.8333333333333334,0.22727272727272727,0.8,False
development,AAPL,has_qualified_event,1,J3,86,0.5711956521739131,0.19827103496938162,0.24077652370232236,0.7141304347826086,0.925,0.21739130434782608,0.8488372093023255,False
development,AAPL,has_original_news,0,N0M,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,N0M,124,0.5315126050420168,0.08210154797633566,0.27726715318059314,0.6226365546218487,0.8571428571428571,0.20588235294117646,0.8225806451612904,False
development,AAPL,has_usable_text,0,N0M,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,N0M,124,0.5315126050420168,0.08210154797633566,0.27726715318059314,0.6226365546218487,0.8571428571428571,0.20588235294117646,0.8225806451612904,False
development,AAPL,has_qualified_event,0,N0M,40,0.553030303030303,0.12635708425057254,0.2961589473398489,0.5277777777777778,0.8333333333333334,0.2727272727272727,0.775,False
development,AAPL,has_qualified_event,1,N0M,86,0.5119565217391304,0.03230825477230273,0.2671387959497185,0.6483695652173913,0.85,0.17391304347826086,0.8372093023255814,False
development,AAPL,has_original_news,0,N1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,N1,124,0.5346638655462185,0.09794139192284197,0.2570970826481597,0.6226365546218487,0.8928571428571429,0.17647058823529413,0.8548387096774194,False
development,AAPL,has_usable_text,0,N1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,N1,124,0.5346638655462185,0.09794139192284197,0.2570970826481597,0.6226365546218487,0.8928571428571429,0.17647058823529413,0.8548387096774194,False
development,AAPL,has_qualified_event,0,N1,40,0.5858585858585859,0.23924685418842448,0.26390601522352364,0.5429292929292929,0.9444444444444444,0.22727272727272727,0.85,False
development,AAPL,has_qualified_event,1,N1,86,0.5010869565217391,0.00302703870182262,0.2530577324454309,0.6380434782608696,0.85,0.15217391304347827,0.8488372093023255,False
development,AAPL,has_original_news,0,N1M,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,N1M,124,0.5241596638655461,0.06411226104954046,0.29488484117001534,0.6042542016806722,0.8571428571428571,0.19117647058823528,0.8306451612903226,False
