method,phase,symbol,month,n,BA,MCC,Brier,Accuracy,AUC,predicted_up,constant
BASE,train_forward_oof,AMZN,2018-06,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.5714285714285714,0.5630434782608695,0.49206349206349204,False
BASE,train_forward_oof,AMZN,2018-07,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,0.6433333333333333,0.6166666666666667,False
BASE,train_forward_oof,AMZN,2018-08,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.6376811594202898,0.6672413793103448,0.5072463768115942,False
D,development,AAPL,2018-09,57,0.5498768472906405,0.13676190161733695,0.25045256087614703,0.543859649122807,0.5788177339901478,0.8421052631578947,False
D,development,AAPL,2018-10,69,0.5269230769230769,0.0792593923901217,0.2609951549516792,0.4782608695652174,0.5564102564102564,0.8695652173913043,False
D,development,AMZN,2018-09,57,0.4390394088669951,-0.12207160944508069,0.25409957672757283,0.43859649122807015,0.49630541871921185,0.5263157894736842,False
D,development,AMZN,2018-10,69,0.6071428571428572,0.19889806323953876,0.2513234849453506,0.5652173913043478,0.6676587301587302,0.5652173913043478,False
D,later,AAPL,2018-11,60,0.4860956618464961,-0.05027983176637779,0.25843309842671536,0.5,0.5483870967741935,0.9166666666666666,False
D,later,AAPL,2018-12,53,0.5534055727554179,0.12239122464630423,0.27073606485885326,0.4716981132075472,0.6145510835913313,0.7735849056603774,False
D,later,AAPL,2019-01,63,0.48232848232848236,-0.04583459166522033,0.25502564361024216,0.5396825396825397,0.4823284823284823,0.8253968253968254,False
D,later,AAPL,2019-02,2,,0.0,0.4490479535706533,0.0,,1.0,True
D,later,AMZN,2018-11,60,0.48611111111111116,-0.027461751819054483,0.259443817053041,0.5,0.5497685185185185,0.5666666666666667,False
D,later,AMZN,2018-12,54,0.575187969924812,0.14372207796170244,0.23340055097199983,0.5740740740740741,0.6511278195488722,0.48148148148148145,False
D,later,AMZN,2019-01,63,0.5226315789473684,0.04497996538855028,0.2680833278621614,0.5396825396825397,0.45052631578947366,0.5873015873015873,False
D,later,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,0.5,0.0,1.0,True
D,train_forward_oof,AAPL,2018-03,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5161290322580645,0.5135416666666667,0.5483870967741935,False
D,train_forward_oof,AAPL,2018-04,63,0.561491935483871,0.18466205163428406,0.2721630977843201,0.5555555555555556,0.5,0.873015873015873,False
D,train_forward_oof,AAPL,2018-05,66,0.5498602050326188,0.09916742755794981,0.2581984503889868,0.5454545454545454,0.49394221808014915,0.4696969696969697,False
D,train_forward_oof,AAPL,2018-06,63,0.41203703703703703,-0.17795130420052185,0.25838659314224194,0.42857142857142855,0.45679012345679015,0.6031746031746031,False
D,train_forward_oof,AAPL,2018-07,60,0.6465201465201466,0.29649972666444047,0.23518259000164676,0.6833333333333333,0.6642246642246642,0.6666666666666666,False
D,train_forward_oof,AAPL,2018-08,69,0.48366013071895425,-0.03330226571013517,0.25474774031647074,0.6086956521739131,0.43681917211328974,0.7536231884057971,False
D,train_forward_oof,AMZN,2018-03,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.4032258064516129,0.40529100529100526,0.6774193548387096,False
D,train_forward_oof,AMZN,2018-04,63,0.41785714285714287,-0.18391174353957038,0.28605755865229054,0.4444444444444444,0.36020408163265305,0.2698412698412698,False
D,train_forward_oof,AMZN,2018-05,65,0.5969785575048733,0.21748750777439183,0.253261449150473,0.5538461538461539,0.5311890838206628,0.26153846153846155,False
D,train_forward_oof,AMZN,2018-06,63,0.5885869565217392,0.17114146025419466,0.2686250837195684,0.5714285714285714,0.5597826086956521,0.4603174603174603,False
D,train_forward_oof,AMZN,2018-07,60,0.5833333333333333,0.17471413945365305,0.2376956788009526,0.5833333333333334,0.6355555555555555,0.65,False
D,train_forward_oof,AMZN,2018-08,69,0.5866379310344827,0.17957884958533066,0.2303676366063926,0.6086956521739131,0.6551724137931034,0.6521739130434783,False
U,development,AAPL,2018-09,57,0.6188423645320198,0.2831921951995806,0.2401943828617499,0.6140350877192983,0.6576354679802956,0.7719298245614035,False
U,development,AAPL,2018-10,69,0.5064102564102564,0.01676757576219862,0.258155700153665,0.463768115942029,0.5504273504273505,0.8260869565217391,False
