method,phase,symbol,n,BA,MCC,Brier,Accuracy,AUC,predicted_up,constant
DUA,train_forward_oof,AMZN,382,0.5188788287420536,0.03777065289915399,0.2738401280288996,0.5209424083769634,0.5092605333406721,0.5340314136125655,False
DUAL,development,AAPL,126,0.5461460446247465,0.11064731431783177,0.26114506124259285,0.5238095238095238,0.5537525354969575,0.7777777777777778,False
DUAL,development,AMZN,126,0.5241187384044528,0.048065801332024816,0.258527908592126,0.5,0.5576464351974556,0.6031746031746031,False
DUAL,later,AAPL,178,0.46374889478337755,-0.11475933649544265,0.3216952486759488,0.4550561797752809,0.4855374510546924,0.8876404494382022,False
DUAL,later,AMZN,179,0.5208385481852316,0.04226300123062542,0.24979304121876447,0.5251396648044693,0.5674593241551941,0.5865921787709497,False
DUAL,train_forward_oof,AAPL,383,0.5447973620427259,0.09288606478243183,0.2824709683508229,0.5718015665796344,0.4963643537568344,0.6579634464751958,False
DUAL,train_forward_oof,AMZN,382,0.5188788287420536,0.03777065289915399,0.2695770283850869,0.5209424083769634,0.5134711175936374,0.5340314136125655,False
DUAL_PARTIAL,development,AAPL,126,0.5339756592292089,0.08921509264969128,0.2737910330764185,0.5079365079365079,0.5438640973630832,0.8253968253968254,False
DUAL_PARTIAL,development,AMZN,126,0.5074211502782932,0.01451697641562223,0.25186939392648516,0.5158730158730159,0.5595017227670289,0.4603174603174603,False
DUAL_PARTIAL,later,AAPL,178,0.48673740053050396,-0.046357656556885125,0.33580683838214176,0.47752808988764045,0.4761904761904762,0.9101123595505618,False
DUAL_PARTIAL,later,AMZN,179,0.5065707133917396,0.013159556307948026,0.2540855237861092,0.5083798882681564,0.5560700876095119,0.5363128491620112,False
DUAL_PARTIAL,train_forward_oof,AAPL,383,0.4976326024463108,-0.004801011611137822,0.28169828047152173,0.5195822454308094,0.4739868102136295,0.6214099216710183,False
DUAL_PARTIAL,train_forward_oof,AMZN,382,0.5208602801552137,0.041638708634635695,0.2649203797852236,0.5209424083769634,0.5202410765886011,0.5026178010471204,False
