variant,method,parameter,symbol,month,n,BA,MCC,Brier,pred_up,constant,selected_oof,selected_final,return_MAE,return_RMSE,return_corr
price,C1,10.0,AAPL,2018-04,63,0.5080645161290323,0.016129032258064516,0.24881849186225485,0.5079365079365079,0,,,0.007746127070588638,0.010728388706184372,0.044565081311925415
price,C1,0.01,AMZN,2018-04,63,0.4357142857142857,-0.12909944487358058,0.27899207948799903,0.42857142857142855,0,,,0.013256865351904666,0.01711145517832455,-0.10337846443104669
price,C1,0.1,AMZN,2018-04,63,0.4357142857142857,-0.12909944487358058,0.27873331492340314,0.42857142857142855,0,,,0.01322802076968903,0.017086443329661236,-0.10338489345930552
price,C1,1.0,AMZN,2018-04,63,0.4535714285714285,-0.09285714285714286,0.2765984358380128,0.4444444444444444,0,,,0.012984830788789682,0.016881181692793654,-0.10304404034891651
price,C1,10.0,AMZN,2018-04,63,0.48571428571428565,-0.02857142857142857,0.2687178228636403,0.4444444444444444,0,,,0.012324912577308566,0.016120282196490504,-0.08987805977112727
price,C1,0.01,AAPL,2018-05,66,0.5205032618825722,0.043173289177634556,0.26274277514392397,0.3333333333333333,0,,,0.0060069620423118105,0.007980240085285117,-0.07109883535957753
price,C1,0.1,AAPL,2018-05,66,0.5069897483690587,0.0148961999725068,0.2626672215251089,0.3181818181818182,0,,,0.0060040283666505795,0.007975102003028284,-0.07041819322654987
price,C1,1.0,AAPL,2018-05,66,0.49347623485554526,-0.014090754910992804,0.26197637014842795,0.30303030303030304,0,,,0.005977131780315049,0.00792913749060815,-0.06402793057458946
price,C1,10.0,AAPL,2018-05,66,0.5069897483690587,0.0148961999725068,0.2582720291790249,0.3181818181818182,0,,,0.005827521558000936,0.007709750430606221,-0.025730844246899292
price,C1,0.01,AMZN,2018-05,65,0.4834307992202729,-0.03649388130037378,0.259503650283417,0.27692307692307694,0,,,0.005193803391041599,0.0066014683326516945,-0.16349923297132407
price,C1,0.1,AMZN,2018-05,65,0.4834307992202729,-0.03649388130037378,0.2594733440252578,0.27692307692307694,0,,,0.005190596905158422,0.006597876416998447,-0.1630708740545366
price,C1,1.0,AMZN,2018-05,65,0.4834307992202729,-0.03649388130037378,0.2591998949727162,0.27692307692307694,0,,,0.005160479833176454,0.00656441298879137,-0.15902344859633152
price,C1,10.0,AMZN,2018-05,65,0.4834307992202729,-0.03649388130037378,0.2578373249429162,0.27692307692307694,0,,,0.004971515001695587,0.006360604465723018,-0.13139535849675318
price,C1,0.01,AAPL,2018-06,63,0.49537037037037035,-0.009517337345336012,0.2626703546423458,0.36507936507936506,0,,,0.005037225783133202,0.006188637021962567,0.06512286547344626
price,C1,0.1,AAPL,2018-06,63,0.49537037037037035,-0.009517337345336012,0.2626767268394531,0.36507936507936506,0,,,0.005035854925801016,0.006187778412531569,0.06506009197140253
price,C1,1.0,AAPL,2018-06,63,0.49537037037037035,-0.009517337345336012,0.2627315700672614,0.36507936507936506,0,,,0.005022653273033275,0.006179582083012497,0.06454210540914065
price,C1,10.0,AAPL,2018-06,63,0.5138888888888888,0.028835491804079717,0.26281622516708897,0.3492063492063492,0,,,0.0049234981086816905,0.006118280609190658,0.06499351682510075
price,C1,0.01,AMZN,2018-06,63,0.5010869565217391,0.002195496824144787,0.25138001398936227,0.3492063492063492,0,,,0.006309464388667338,0.008242601065560075,0.11905235109404083
price,C1,0.1,AMZN,2018-06,63,0.5010869565217391,0.002195496824144787,0.2513895402957662,0.3492063492063492,0,,,0.006308947989075916,0.008242240676001546,0.11894973312877867
price,C1,1.0,AMZN,2018-06,63,0.5228260869565218,0.04662524041201569,0.2514795823070729,0.3333333333333333,0,,,0.006303917042583237,0.008238854517920563,0.11803682846991301
price,C1,10.0,AMZN,2018-06,63,0.48532608695652174,-0.03127716210856121,0.2520944621146149,0.2857142857142857,0,,,0.006295870898729194,0.008216813623319765,0.1145644822443333
price,C1,0.01,AAPL,2018-07,60,0.5347985347985348,0.07366720901486377,0.2590175974953997,0.2833333333333333,0,,,0.0055394576222132464,0.007157974387461717,0.0014904317465733229
price,C1,0.1,AAPL,2018-07,60,0.5347985347985348,0.07366720901486377,0.25898726788750487,0.2833333333333333,0,,,0.0055372192035855385,0.007155530427439486,0.0017938959377772946
price,C1,1.0,AAPL,2018-07,60,0.5347985347985348,0.07366720901486377,0.25869740211056647,0.2833333333333333,0,,,0.005515699681774418,0.007132254318839812,0.00473314431467883
price,C1,10.0,AAPL,2018-07,60,0.5347985347985348,0.07366720901486377,0.25666601403272066,0.2833333333333333,0,,,0.005361389483693993,0.0069737189866580715,0.026908596119800714
price,C1,0.01,AMZN,2018-07,60,0.5666666666666667,0.13333333333333333,0.2387517426514881,0.5,0,,,0.006736471315392297,0.009321985550552466,0.18805468358694916
price,C1,0.1,AMZN,2018-07,60,0.5666666666666667,0.13333333333333333,0.23875578050244126,0.5,0,,,0.006736349470629615,0.00932168744600543,0.1880444681218178
price,C1,1.0,AMZN,2018-07,60,0.5666666666666667,0.13333333333333333,0.23879722482522428,0.5,0,,,0.006735066124079412,0.0093189532833752,0.18793183171313166
price,C1,10.0,AMZN,2018-07,60,0.5666666666666667,0.13333333333333333,0.23922156495126481,0.5,0,,,0.006719624060634853,0.009304839142986262,0.18648503821964985
price,C1,0.01,AAPL,2018-08,69,0.5620915032679739,0.10934719818508107,0.24583227374117747,0.5362318840579711,0,,,0.00531573630145138,0.007152386744604295,0.19374237091450092
price,C1,0.1,AAPL,2018-08,69,0.5620915032679739,0.10934719818508107,0.24584416008900695,0.5362318840579711,0,,,0.005315841342634749,0.007152047069698894,0.19368795288462856
price,C1,1.0,AAPL,2018-08,69,0.5522875816993464,0.09192670044355895,0.24595986451637675,0.5217391304347826,0,,,0.005316823113873108,0.007148773046278604,0.19316020890678887
price,C1,10.0,AAPL,2018-08,69,0.5326797385620915,0.057405886644031366,0.24687280892818916,0.4927536231884058,0,,,0.005321291438329462,0.00712408476373144,0.18912633834019482
