method,phase,symbol,n,BA,MCC,Brier,pred_up,constant,return_MAE,return_RMSE,return_corr
F2,later,AMZN,179,0.5426783479349186,0.08692663097278021,0.26169057480580954,0.5977653631284916,0,,,
F2,train_forward_oof,AAPL,383,0.5001831914773689,0.0003612870332648107,0.26018906778411555,0.5352480417754569,0,,,
F2,train_forward_oof,AMZN,382,0.4813963728431076,-0.038419557993187976,0.27485353855450334,0.6282722513089005,0,,,
F6,development,AAPL,126,0.5035496957403651,0.015447815630555594,0.25729622065442287,0.9444444444444444,0,,,
F6,development,AMZN,126,0.5250463821892393,0.050964719143762556,0.2651589066198111,0.6428571428571429,0,,,
F6,later,AAPL,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.7303370786516854,0,,,
F6,later,AMZN,179,0.5115769712140176,0.024394527890402418,0.25453802398246317,0.659217877094972,0,,,
F6,train_forward_oof,AAPL,383,0.5533791781748492,0.11047960128035443,0.24517905373908971,0.6553524804177546,0,,,
F6,train_forward_oof,AMZN,382,0.551352615791067,0.1104144292727165,0.2520400743004611,0.6858638743455497,0,,,
R1,development,AAPL,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.7777777777777778,0,,,
R1,development,AMZN,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.6190476190476191,0,,,
R1,later,AAPL,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.7191011235955056,0,,,
R1,later,AMZN,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.6089385474860335,0,,,
R1,train_forward_oof,AAPL,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.46475195822454307,0,,,
R1,train_forward_oof,AMZN,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.6544502617801047,0,,,
