method,symbol,BA_mean,BA_std,accuracy_mean,accuracy_std,MCC_mean,MCC_std,Brier_mean,Brier_std,log_loss_mean,log_loss_std,predicted_up_mean,predicted_up_std,TPR_mean,TPR_std,TNR_mean,TNR_std
TFIDF_LR,AAPL,0.6493721889055473,0.012024454873714173,0.6625155666251556,0.011207970112079663,0.31650427676911774,0.02336433579194775,0.22103602830409544,0.0011877676716890572,0.6339463576764125,0.002422312844832425,0.6699875466998755,0.009726338326160181,0.8068965517241379,0.004597701149425301,0.49184782608695654,0.022242806445305588
TFIDF_LR,AMZN,0.6011226209357652,0.005757637725772544,0.6086235489220564,0.005744778797906698,0.22484706632609638,0.01288182388824703,0.23648776168119293,0.0003829487584660787,0.6657599327712326,0.0007773097251000007,0.7189054726368159,0.007462686567164201,0.8165064102564102,0.009100814656731156,0.38573883161512024,0.009757574477320063
TFIDF_LR_PRICE_FALLBACK,AAPL,0.6491285607196402,0.012720744914463924,0.6621004566210046,0.011836095831783487,0.31548117701669,0.02466162692302142,0.2209977158066865,0.0012290346602388332,0.6338550726021802,0.002492364552609688,0.6679119966791199,0.010443956517566763,0.8045977011494253,0.004597701149425287,0.49365942028985504,0.023741562358842658
TFIDF_LR_PRICE_FALLBACK,AMZN,0.6113451625693894,0.008526303815205536,0.6127694859038142,0.00799639366583164,0.22352059663908816,0.016488443488948873,0.2358779080080359,0.002203310950146631,0.6649854358490715,0.00518338581103845,0.5447761194029851,0.01793806604708455,0.6522435897435898,0.011857891495952495,0.570446735395189,0.025816115466179953
TFIDF_RF,AAPL,0.5986090288189239,0.00711411004142551,0.6189290161892901,0.006589667026312751,0.22741913080421197,0.014636694910290722,0.23316827647319185,0.0014767340996868904,0.6589820469422646,0.0030378997901716097,0.7517642175176422,0.006268023607530756,0.8421455938697319,0.0026544839962741574,0.35507246376811596,0.013677236295780337
TFIDF_RF,AMZN,0.5846054718477399,0.007255295680411311,0.5920398009950248,0.007462686567164173,0.1876853850469824,0.017368029318491088,0.2422558938220475,0.00047259065936511405,0.6775923802245573,0.0010353011445843456,0.7164179104477612,0.006581470923046252,0.798076923076923,0.013384048949110657,0.3711340206185567,0.002577319587628857
TFIDF_RF_PRICE_FALLBACK,AAPL,0.5991316841579211,0.006757550599839643,0.6193441261934413,0.006143067076358924,0.22825469625050057,0.013460757610532812,0.23307152226411354,0.0014799804697329228,0.6587733787196273,0.0030372297813617342,0.7505188875051889,0.008291815838704145,0.8413793103448276,0.0045977011494252595,0.35688405797101447,0.014966224313277427
TFIDF_RF_PRICE_FALLBACK,AMZN,0.594828013481364,0.011848303948272852,0.5961857379767826,0.011755760264309923,0.19024016010432807,0.02368274309011346,0.2416502349036104,0.0023362242761330193,0.6768246619681894,0.005503940882475252,0.5422885572139303,0.009950248756218888,0.6338141025641025,0.013239352277130073,0.5558419243986253,0.01754345176689187
TFIDF_SVM,AAPL,0.6949452357154756,0.018043852167002977,0.7007056870070568,0.017801396133160292,0.39432426485468325,0.03634948203745159,0.20563588202302108,0.001267860351675569,0.6008788031731299,0.002107260318685509,0.5853051058530511,0.006470924561278521,0.7639846743295019,0.01630942272321283,0.6259057971014492,0.021964412414822762
TFIDF_SVM,AMZN,0.601151533174729,0.004881241288564974,0.6086235489220564,0.0050266814481684284,0.22473447707157723,0.011960887499598484,0.23530979993694467,0.0013348664787493254,0.663353746076092,0.002909922425879702,0.7180762852404644,0.006135426445666962,0.8157051282051282,0.010008009612817911,0.3865979381443299,0.004464048473115647
TFIDF_SVM_PRICE_FALLBACK,AAPL,0.6954678910544727,0.01916174043393093,0.701120797011208,0.018845262702891073,0.39519491449122685,0.038478852570867576,0.20538158600539305,0.001344034959715487,0.6003368303260254,0.002266822252044201,0.5840597758405978,0.005428267675642205,0.7632183908045977,0.016091954022988547,0.6277173913043478,0.02353329901588151
TFIDF_SVM_PRICE_FALLBACK,AMZN,0.6113740748083532,0.0049035855869439425,0.6127694859038143,0.004368015652094799,0.22354603350727054,0.009178466811750398,0.23450484401530092,0.00323603332297184,0.66218165269962,0.007449951566770577,0.5439469320066336,0.016886742831190963,0.6514423076923077,0.012719958226272025,0.5713058419243987,0.021614683205170376
TITLE_FINBERT_FUSION,AAPL,0.6719890054972514,0.012593201544615346,0.6778746367787464,0.012961805725193874,0.3478951974917012,0.026192461876792663,0.21851684260189738,0.0040868708199127204,0.6619672807567695,0.012420585639633486,0.5848899958488999,0.008102624033185226,0.742528735632184,0.017954596956107318,0.6014492753623188,0.010287877438043975
