symbol,seed,coverage,method,n,up,down,errors,can_modify,changed,repaired,introduced,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AAPL,574,no_news,B2,6,3,3,4,0,0,0,0,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False,0.7434015472078176,0.6666666666666666,0.0
AAPL,574,no_news,FULL_SHRINK,6,3,3,4,0,0,0,0,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False,0.7434015472078176,0.6666666666666666,0.0
AAPL,574,target_paragraph,FULL,797,432,365,263,0,0,0,0,0.6645833333333333,0.2247920116448633,0.33211160681814206,0.6700125470514429,0.5784190715181933,False,0.7148887663648449,0.7291666666666666,0.6
AAPL,574,target_paragraph,TFIDF_SVM,797,432,365,253,0,142,76,66,0.6765823186199899,0.2061881969483895,0.35723179525084264,0.6825595984943539,0.5859473023839398,False,0.6015827498056733,0.7476851851851852,0.6054794520547945
AAPL,574,target_paragraph,A1,797,432,365,294,797,181,75,106,0.6163812785388127,0.2305488145154038,0.24967108187395615,0.6311166875784191,0.685069008782936,False,0.6534387714055375,0.7916666666666666,0.4410958904109589
AAPL,574,target_paragraph,A2,797,432,365,324,797,223,81,142,0.5746480213089802,0.23657796171828646,0.1675930016539585,0.5934755332496863,0.7302383939774153,False,0.665687357074751,0.7986111111111112,0.3506849315068493
AAPL,574,target_paragraph,A3,797,432,365,290,797,173,73,100,0.6265347539320142,0.22327741212013613,0.26042211436907053,0.6361355081555834,0.6248431618569636,False,0.6375845328681895,0.7407407407407407,0.5123287671232877
AAPL,574,target_paragraph,B1,797,432,365,262,797,25,13,12,0.6663781075596145,0.22693771554421746,0.33508491008846525,0.671267252195734,0.5721455457967378,False,0.7294578851882976,0.7245370370370371,0.6082191780821918
AAPL,574,target_paragraph,B2,797,432,365,270,797,59,26,33,0.6575437595129376,0.22857460107824557,0.31603899239944716,0.6612296110414053,0.5570890840652447,False,0.7088559477130965,0.7013888888888888,0.6136986301369863
AAPL,574,target_paragraph,FULL_SHRINK,797,432,365,263,0,0,0,0,0.6645833333333333,0.21381690224712588,0.33211160681814206,0.6700125470514429,0.5784190715181933,False,0.618547826628557,0.7291666666666666,0.6
AAPL,575,no_news,FULL,6,3,3,3,0,0,0,0,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False,0.7437819577922092,0.6666666666666666,0.3333333333333333
AAPL,575,no_news,TFIDF_SVM,6,3,3,5,0,4,1,3,0.16666666666666666,0.3278643677717744,-0.7071067811865476,0.16666666666666666,0.6666666666666666,False,0.8542417072538852,0.3333333333333333,0.0
AAPL,575,no_news,A1,6,3,3,3,0,0,0,0,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False,0.7437819577922092,0.6666666666666666,0.3333333333333333
AAPL,575,no_news,A2,6,3,3,3,0,0,0,0,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False,0.7437819577922092,0.6666666666666666,0.3333333333333333
AAPL,575,no_news,A3,6,3,3,3,0,0,0,0,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False,0.7437819577922092,0.6666666666666666,0.3333333333333333
AAPL,575,no_news,B1,6,3,3,3,0,0,0,0,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False,0.7437819577922092,0.6666666666666666,0.3333333333333333
AAPL,575,no_news,B2,6,3,3,3,0,0,0,0,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False,0.7437819577922092,0.6666666666666666,0.3333333333333333
AAPL,575,no_news,FULL_SHRINK,6,3,3,3,0,0,0,0,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False,0.7437819577922092,0.6666666666666666,0.3333333333333333
AAPL,575,target_paragraph,FULL,797,432,365,249,0,0,0,0,0.6820617706747845,0.22423792606110082,0.3676828172070394,0.6875784190715182,0.5809284818067754,False,0.711612518025955,0.7476851851851852,0.6164383561643836
AAPL,575,target_paragraph,TFIDF_SVM,797,432,365,232,0,139,78,61,0.7038622526636225,0.20487802727943208,0.4112077146555461,0.7089084065244667,0.5771643663739021,False,0.59917671562712,0.7638888888888888,0.6438356164383562
AAPL,575,target_paragraph,A1,797,432,365,298,797,187,69,118,0.6113267376966007,0.2281675425579711,0.23882764815080518,0.6260978670012547,0.685069008782936,False,0.6484643797189479,0.7870370370370371,0.43561643835616437
AAPL,575,target_paragraph,A2,797,432,365,302,797,233,90,143,0.6041476407914764,0.23356090930045392,0.22874601255154092,0.6210790464240903,0.7101631116687579,False,0.6594992416872031,0.8055555555555556,0.40273972602739727
AAPL,575,target_paragraph,A3,797,432,365,293,797,192,74,118,0.623062531709792,0.2211256203856733,0.25277730294128586,0.6323713927227101,0.6210790464240903,False,0.6329140247497964,0.7337962962962963,0.5123287671232877
AAPL,575,target_paragraph,B1,797,432,365,255,797,32,13,19,0.6753297818366312,0.2263478995586379,0.3529841805581714,0.6800501882057717,0.5708908406524467,False,0.7159801422901916,0.7314814814814815,0.6191780821917808
AAPL,575,target_paragraph,B2,797,432,365,265,797,64,24,40,0.6643930745814307,0.23307940587033446,0.32932753677953436,0.6675031367628608,0.5508155583437893,False,0.753605036896716,0.7013888888888888,0.6273972602739726
AAPL,575,target_paragraph,FULL_SHRINK,797,432,365,249,0,0,0,0,0.6820617706747845,0.21511211176373768,0.3676828172070394,0.6875784190715182,0.5809284818067754,False,0.6217741547230684,0.7476851851851852,0.6164383561643836
AMZN,573,news_without_target_paragraph,FULL,3,3,0,0,0,0,0,0,,0.1574797812430109,,1.0,1.0,True,0.49783429886906827,1.0,
AMZN,573,news_without_target_paragraph,TFIDF_SVM,3,3,0,0,0,0,0,0,,0.18285572758996724,,1.0,1.0,True,0.5576527529679486,1.0,
AMZN,573,news_without_target_paragraph,A1,3,3,0,0,3,0,0,0,,0.20952616063915416,,1.0,1.0,True,0.6117899302682986,1.0,
AMZN,573,news_without_target_paragraph,A2,3,3,0,1,3,1,0,1,,0.24430843289220627,,0.6666666666666666,0.6666666666666666,False,0.6817596858463548,0.6666666666666666,
AMZN,573,news_without_target_paragraph,A3,3,3,0,1,3,1,0,1,,0.18583080426492785,,0.6666666666666666,0.6666666666666666,False,0.5627277480672114,0.6666666666666666,
AMZN,573,news_without_target_paragraph,B1,3,3,0,0,0,0,0,0,,0.1574797812430109,,1.0,1.0,True,0.49783429886906827,1.0,
AMZN,573,news_without_target_paragraph,B2,3,3,0,0,0,0,0,0,,0.1574797812430109,,1.0,1.0,True,0.49783429886906827,1.0,
AMZN,573,news_without_target_paragraph,FULL_SHRINK,3,3,0,0,0,0,0,0,,0.2195623924516785,,1.0,1.0,True,0.6320663892495969,1.0,
AMZN,573,no_news,FULL,389,213,176,170,0,0,0,0,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False,0.6786369737282949,0.676056338028169,0.42613636363636365
