symbol,reference,method,resampling,delta_BA,low,high,replicates
AAPL,TFIDF_SVM,A1,day1,-0.07779755955355656,-0.10590083615835208,-0.04630238289659607,1000
AAPL,TFIDF_SVM,A1,day5,-0.07779755955355656,-0.11189241447394505,-0.04703671228198129,1000
AAPL,TFIDF_SVM,A1,association_group,-0.07779755955355656,-0.10640589529911117,-0.04973429085835889,1000
AAPL,TFIDF_SVM,A2,day1,-0.10288189238713977,-0.1376542298321971,-0.06550106674960887,1000
AAPL,TFIDF_SVM,A2,day5,-0.10288189238713977,-0.14612562868341553,-0.06572558287925376,1000
AAPL,TFIDF_SVM,A2,association_group,-0.10288189238713977,-0.1376492540643267,-0.06838726539600694,1000
AAPL,TFIDF_SVM,A3,day1,-0.062150174912543724,-0.08904138622922027,-0.03537416105713184,1000
AAPL,TFIDF_SVM,A3,day5,-0.062150174912543724,-0.093382838303558,-0.03426300385137539,1000
AAPL,TFIDF_SVM,A3,association_group,-0.062150174912543724,-0.08823207347654166,-0.038746507750252505,1000
AAPL,TFIDF_SVM,B1,day1,-0.019088372480426448,-0.045633851002325254,0.004406209270221852,1000
AAPL,TFIDF_SVM,B1,day5,-0.019088372480426448,-0.045914944578942095,0.004878990212472274,1000
AAPL,TFIDF_SVM,B1,association_group,-0.019088372480426448,-0.04160180247277331,0.004391283642775347,1000
AAPL,TFIDF_SVM,B2,day1,-0.0351459686823255,-0.06036694750216939,-0.012280940127650266,1000
AAPL,TFIDF_SVM,B2,day5,-0.0351459686823255,-0.05936504865036549,-0.013421056736494012,1000
AAPL,TFIDF_SVM,B2,association_group,-0.0351459686823255,-0.05537433571487814,-0.009453074347810458,1000
AAPL,TFIDF_SVM,FULL_SHRINK,day1,-0.019263285024154586,-0.04531723508561182,0.005410329563388761,1000
AAPL,TFIDF_SVM,FULL_SHRINK,day5,-0.019263285024154586,-0.047451273076135655,0.00675684349632982,1000
AAPL,TFIDF_SVM,FULL_SHRINK,association_group,-0.019263285024154586,-0.04336046625359121,0.005814043673096993,1000
AAPL,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,day1,0.0005226553389971679,-0.002778214535290007,0.003575286640264614,1000
AAPL,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,day5,0.0005226553389971679,-0.002726176634051453,0.0033827177021973067,1000
AAPL,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,association_group,0.0005226553389971679,-0.002891578518240153,0.0038433439209887934,1000
AMZN,FULL,A1,day1,0.007814565159925985,-0.011317916060848369,0.027743198871440698,1000
AMZN,FULL,A1,day5,0.007814565159925985,-0.010052486974035638,0.026406157669079843,1000
AMZN,FULL,A1,association_group,0.007814565159925985,-0.011064181288008068,0.027305758431989936,1000
AMZN,FULL,A2,day1,-0.00016934311393074306,-0.02041902982460233,0.02148405101743226,1000
AMZN,FULL,A2,day5,-0.00016934311393074306,-0.018142960107656866,0.017879541905161923,1000
AMZN,FULL,A2,association_group,-0.00016934311393074306,-0.02124869972295973,0.020164605535729647,1000
AMZN,FULL,A3,day1,0.008814102564102564,-0.0075332229431270365,0.02497380581136279,1000
AMZN,FULL,A3,day5,0.008814102564102564,-0.004833307635031621,0.023107613348996848,1000
AMZN,FULL,A3,association_group,0.008814102564102564,-0.007199915932740312,0.024664697759831492,1000
AMZN,FULL,B1,day1,-0.0032340404440919903,-0.009108792590207013,0.00191312141869749,1000
AMZN,FULL,B1,day5,-0.0032340404440919903,-0.008915219706186327,0.0021657683145196566,1000
AMZN,FULL,B1,association_group,-0.0032340404440919903,-0.008741278377746117,0.0026533329330755344,1000
AMZN,FULL,B2,day1,0.0012556172349986773,-0.012279464742492837,0.014228959632234708,1000
AMZN,FULL,B2,day5,0.0012556172349986773,-0.01114914588474597,0.013180546435194184,1000
AMZN,FULL,B2,association_group,0.0012556172349986773,-0.012049103901041502,0.015868528359570918,1000
AMZN,FULL,FULL_SHRINK,day1,0.0,0.0,0.0,1000
AMZN,FULL,FULL_SHRINK,day5,0.0,0.0,0.0,1000
AMZN,FULL,FULL_SHRINK,association_group,0.0,0.0,0.0,1000
AMZN,FULL,TFIDF_SVM_PRICE_FALLBACK,day1,0.008586934972244251,-0.008119586563645345,0.024114933499496206,1000
