symbol,seed,reference,method,delta_BA,delta_accuracy,delta_MCC,delta_Brier,delta_log_loss
AAPL,575,TFIDF_SVM_PRICE_FALLBACK,B1,-0.028320214892553652,-0.028642590286425906,-0.05780690345302503,0.02130944982132879,0.11593067378638588
AAPL,575,TFIDF_SVM_PRICE_FALLBACK,B2,-0.0391866566716641,-0.04109589041095896,-0.08132451104690613,0.0279906584519915,0.15327443593009704
AAPL,575,TFIDF_SVM_PRICE_FALLBACK,FULL_SHRINK,-0.021632933533233478,-0.021170610211706187,-0.04320140968376568,0.010157615608955811,0.022428591481283844
AAPL,575,TFIDF_SVM_PRICE_FALLBACK,TFIDF_SVM_PRICE_FALLBACK,0.0,0.0,0.0,0.0,0.0
AMZN,573,FULL,A1,0.001462133227597251,0.0012437810945273853,0.002716713604639126,-0.014938201205818846,-0.09488165172680729
AMZN,573,FULL,A2,-0.009528647898493281,-0.009950248756218971,-0.019467407648445317,-0.013044913053894047,-0.09106305913070545
AMZN,573,FULL,A3,0.006790245836637565,0.006218905472636815,0.013109010702425705,-0.019065542934641494,-0.1036121749144654
AMZN,573,FULL,B1,-0.009875594766058704,-0.009950248756218971,-0.019887581840205504,0.00188637132603503,0.0038267456033125313
AMZN,573,FULL,B2,0.006183088818398241,0.006218905472636815,0.012449965574722943,0.0018087071873635896,0.04831453923923479
AMZN,573,FULL,FULL_SHRINK,0.0,0.0,0.0,-0.01484495320255308,-0.09446060440027071
AMZN,573,FULL,TFIDF_SVM_PRICE_FALLBACK,0.0039527160983348075,0.003731343283582045,0.007706977260271891,-0.019616297993446385,-0.10451744533080953
AMZN,573,TFIDF_SVM,A1,0.011226209357652728,0.004975124378109541,0.0012742051762412165,0.0018651447984010527,0.0036095702273361008
AMZN,573,TFIDF_SVM,A2,0.00023542823156219583,-0.006218905472636815,-0.020909916076843227,0.003758432950325852,0.007428162823437945
AMZN,573,TFIDF_SVM,A3,0.016554321966693042,0.009950248756218971,0.011666502274027796,-0.002262196930421595,-0.0051209529603220005
AMZN,573,TFIDF_SVM,B1,-0.0001115186360032272,-0.006218905472636815,-0.021330090268603413,0.01868971733025493,0.10231796755745592
AMZN,573,TFIDF_SVM,B2,0.015947164948453718,0.009950248756218971,0.011007457146325034,0.01861205319158349,0.14680576119337818
AMZN,573,TFIDF_SVM,FULL_SHRINK,0.009764076130055477,0.003731343283582156,-0.0014425084283979095,0.0019583928016668195,0.004030617553872684
AMZN,573,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,0.013716792228390284,0.007462686567164201,0.006264468831873982,-0.0028129519892264865,-0.00602622337666614
AMZN,573,TFIDF_SVM_PRICE_FALLBACK,A1,-0.0024905828707375566,-0.0024875621890546595,-0.004990263655632765,0.004678096787627539,0.00963579360400224
AMZN,573,TFIDF_SVM_PRICE_FALLBACK,A2,-0.013481363996828089,-0.013681592039801016,-0.02717438490871721,0.006571384939552338,0.013454386200104085
AMZN,573,TFIDF_SVM_PRICE_FALLBACK,A3,0.0028375297383027576,0.0024875621890547706,0.005402033442153814,0.0005507550588048915,0.0009052704163441394
AMZN,573,TFIDF_SVM_PRICE_FALLBACK,B1,-0.013828310864393512,-0.013681592039801016,-0.027594559100477395,0.021502669319481416,0.10834419093412206
AMZN,573,TFIDF_SVM_PRICE_FALLBACK,B2,0.002230372720063434,0.0024875621890547706,0.004742988314451052,0.021425005180809975,0.15283198457004432
AMZN,573,TFIDF_SVM_PRICE_FALLBACK,FULL_SHRINK,-0.0039527160983348075,-0.003731343283582045,-0.007706977260271891,0.004771344790893306,0.010056840930538824
AMZN,573,TFIDF_SVM_PRICE_FALLBACK,TFIDF_SVM_PRICE_FALLBACK,0.0,0.0,0.0,0.0,0.0
AMZN,574,FULL,A1,0.008413461538461453,0.008706467661691586,0.017373152495765598,-0.011948412241489986,-0.09237662359729959
AMZN,574,FULL,A2,0.0015488699444885512,0.0012437810945273853,0.0027576683383797873,-0.01376543132678748,-0.09601407171330867
AMZN,574,FULL,A3,0.002738402061855716,0.003731343283582156,0.007152502117093479,-0.0177519942579539,-0.10407020989883609
AMZN,574,FULL,B1,8.673671689130025e-05,0.0,6.750034748856382e-05,-0.0003850088633282067,-0.002217675402612973
AMZN,574,FULL,B2,0.0018834258524980108,0.0024875621890547706,0.004696703049726775,0.005404501652991611,0.08524302427557895
AMZN,574,FULL,FULL_SHRINK,0.0,0.0,0.0,-0.01726583336405721,-0.10322880111398258
AMZN,574,FULL,TFIDF_SVM_PRICE_FALLBACK,0.009702121332275881,0.009950248756218971,0.01990143172558262,-0.017305700966848497,-0.10309484314588202
AMZN,574,TFIDF_SVM,A1,-0.0006319389373513618,-0.006218905472636815,-0.024773374115324626,0.006332833568386764,0.013715731984629831
AMZN,574,TFIDF_SVM,A2,-0.007496530531324264,-0.013681592039801016,-0.039388858272710436,0.00451581448308927,0.010078283868620752
AMZN,574,TFIDF_SVM,A3,-0.006306998413957099,-0.011194029850746245,-0.034994024493996745,0.0005292515519228491,0.002022145683093335
AMZN,574,TFIDF_SVM,B1,-0.008958663758921515,-0.014925373134328401,-0.04207902626360166,0.017896236946548544,0.10387468017931645
AMZN,574,TFIDF_SVM,B2,-0.007161974623314804,-0.01243781094527363,-0.03744982356136345,0.023685747462868362,0.19133537985750837
AMZN,574,TFIDF_SVM,FULL_SHRINK,-0.009045400475812815,-0.014925373134328401,-0.042146526611090224,0.0010154124458195413,0.0028635544679468383
AMZN,574,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,0.0006567208564630667,-0.00497512437810943,-0.022245094885507605,0.0009755448430282532,0.0029975124360474004
AMZN,574,TFIDF_SVM_PRICE_FALLBACK,A1,-0.0012886597938144284,-0.0012437810945273853,-0.002528279229817021,0.005357288725358511,0.01071821954858243
AMZN,574,TFIDF_SVM_PRICE_FALLBACK,A2,-0.00815325138778733,-0.008706467661691586,-0.01714376338720283,0.0035402696400610167,0.007080771432573352
AMZN,574,TFIDF_SVM_PRICE_FALLBACK,A3,-0.006963719270420166,-0.006218905472636815,-0.01274892960848914,-0.00044629329110540406,-0.0009753667529540655
AMZN,574,TFIDF_SVM_PRICE_FALLBACK,B1,-0.009615384615384581,-0.009950248756218971,-0.019833931378094055,0.01692069210352029,0.10087716774326905
AMZN,574,TFIDF_SVM_PRICE_FALLBACK,B2,-0.00781869547977787,-0.007462686567164201,-0.015204728675855844,0.02271020261984011,0.18833786742146097
AMZN,574,TFIDF_SVM_PRICE_FALLBACK,FULL_SHRINK,-0.009702121332275881,-0.009950248756218971,-0.01990143172558262,3.986760279128809e-05,-0.00013395796810056204
AMZN,574,TFIDF_SVM_PRICE_FALLBACK,TFIDF_SVM_PRICE_FALLBACK,0.0,0.0,0.0,0.0,0.0
AMZN,575,FULL,A1,0.013568100713719278,0.013681592039801016,0.027236842569114655,-0.013580269755141455,-0.07354282036463322
AMZN,575,FULL,A2,0.007471748612212559,0.007462686567164201,0.014951141111547578,-0.01304011781647238,-0.07243050538574869
AMZN,575,FULL,A3,0.01691365979381443,0.01741293532338306,0.0342812769802332,-0.018056880641232204,-0.08269580688245004
AMZN,575,FULL,B1,8.673671689141127e-05,0.0,0.00012884252337641566,0.00426936908779546,0.014898469337188525
AMZN,575,FULL,B2,-0.0042996629659000085,-0.003731343283582156,-0.008208619735148553,0.006302507993851181,0.07194388458705758
AMZN,575,FULL,FULL_SHRINK,0.0,0.0,0.0,-0.010372869673403895,-0.06631027146008672
AMZN,575,FULL,TFIDF_SVM_PRICE_FALLBACK,0.012105967486122138,0.01243781094527363,0.024480847804363298,-0.016790872377629662,-0.08004392548176342
AMZN,575,TFIDF_SVM,A1,0.01775624504361617,0.011194029850746356,0.015171290125464892,0.00263314200375514,0.006013535928333091
AMZN,575,TFIDF_SVM,A2,0.011659892942109451,0.004975124378109541,0.002885588667897815,0.0031732939424242157,0.0071258509072176235
AMZN,575,TFIDF_SVM,A3,0.02110180412371132,0.014925373134328401,0.022215724536583437,-0.0018434688823356082,-0.0031394505894837277
AMZN,575,TFIDF_SVM,B1,0.004274881046788304,-0.0024875621890546595,-0.011936709920273347,0.020482780846692056,0.09445482563015484
AMZN,575,TFIDF_SVM,B2,-0.00011151863600311618,-0.006218905472636815,-0.020274172178798316,0.022515919752747776,0.1515002408800239
AMZN,575,TFIDF_SVM,FULL_SHRINK,0.004188144329896892,-0.0024875621890546595,-0.012065552443649763,0.0058405420854927,0.01324608483287959
AMZN,575,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,0.01629411181601903,0.009950248756218971,0.012415295360713535,-0.0005774606187330666,-0.0004875691887971101
AMZN,575,TFIDF_SVM_PRICE_FALLBACK,A1,0.00146213322759714,0.0012437810945273853,0.002755994764751357,0.0032106026224882067,0.0065011051171302014
AMZN,575,TFIDF_SVM_PRICE_FALLBACK,A2,-0.004634218873909579,-0.00497512437810943,-0.00952970669281572,0.0037507545611572823,0.007613420096014734
AMZN,575,TFIDF_SVM_PRICE_FALLBACK,A3,0.004807692307692291,0.00497512437810943,0.009800429175869901,-0.0012660082636025416,-0.0026518814006866176
AMZN,575,TFIDF_SVM_PRICE_FALLBACK,B1,-0.012019230769230727,-0.01243781094527363,-0.024352005280986883,0.021060241465425122,0.09494239481895195
AMZN,575,TFIDF_SVM_PRICE_FALLBACK,B2,-0.016405630452022146,-0.016169154228855787,-0.03268946753951185,0.023093380371480843,0.151987810068821
AMZN,575,TFIDF_SVM_PRICE_FALLBACK,FULL_SHRINK,-0.012105967486122138,-0.01243781094527363,-0.024480847804363298,0.006418002704225767,0.0137336540216767
AMZN,575,TFIDF_SVM_PRICE_FALLBACK,TFIDF_SVM_PRICE_FALLBACK,0.0,0.0,0.0,0.0,0.0
