seed,symbol,fold,method,calibration_model,terms,bigrams,numeric_terms,negation_terms,C,rho,semantic_dimensions
573,AMZN,9,B2,-1,500.0,0,0,0,1.0,1.0,768
574,AAPL,0,A1,0,5000.0,0,762,3,1.0,0.0,0
574,AAPL,0,A2,0,5000.0,2788,778,15,1.0,0.0,0
574,AAPL,0,A3,0,5000.0,2794,784,14,1.0,0.0,0
574,AAPL,0,A3,1,5000.0,2794,769,15,1.0,0.0,0
574,AAPL,0,A3,2,5000.0,2781,788,16,1.0,0.0,0
574,AAPL,0,B1,-1,500.0,0,0,0,0.1,0.1,16
574,AAPL,0,B2,-1,,0,0,0,0.1,0.0,0
574,AAPL,1,A1,0,5000.0,0,742,3,1.0,0.0,0
574,AAPL,1,A2,0,5000.0,2782,765,15,1.0,0.0,0
574,AAPL,1,A3,0,5000.0,2789,751,15,1.0,0.0,0
574,AAPL,1,A3,1,5000.0,2773,753,15,1.0,0.0,0
574,AAPL,1,A3,2,5000.0,2784,781,14,1.0,0.0,0
574,AAPL,1,B1,-1,,0,0,0,1.0,0.0,0
574,AAPL,1,B2,-1,,0,0,0,1.0,0.0,0
574,AAPL,2,A1,0,5000.0,0,750,3,1.0,0.0,0
574,AAPL,2,A2,0,5000.0,2794,782,15,1.0,0.0,0
574,AAPL,2,A3,0,5000.0,2817,806,14,1.0,0.0,0
574,AAPL,2,A3,1,5000.0,2770,767,14,1.0,0.0,0
574,AAPL,2,A3,2,5000.0,2783,758,16,1.0,0.0,0
574,AAPL,2,B1,-1,500.0,0,0,0,1.0,1.0,16
574,AAPL,2,B2,-1,500.0,0,0,0,0.1,1.0,768
574,AAPL,3,A1,0,5000.0,0,758,3,1.0,0.0,0
574,AAPL,3,A2,0,5000.0,2797,786,15,1.0,0.0,0
574,AAPL,3,A3,0,5000.0,2795,791,15,1.0,0.0,0
574,AAPL,3,A3,1,5000.0,2798,768,14,1.0,0.0,0
574,AAPL,3,A3,2,5000.0,2790,783,16,1.0,0.0,0
574,AAPL,3,B1,-1,500.0,0,0,0,0.1,0.1,16
574,AAPL,3,B2,-1,,0,0,0,0.1,0.0,0
574,AAPL,4,A1,0,5000.0,0,755,3,1.0,0.0,0
574,AAPL,4,A2,0,5000.0,2792,776,14,1.0,0.0,0
574,AAPL,4,A3,0,5000.0,2788,775,14,1.0,0.0,0
574,AAPL,4,A3,1,5000.0,2797,781,14,1.0,0.0,0
574,AAPL,4,A3,2,5000.0,2782,786,15,1.0,0.0,0
574,AAPL,4,B1,-1,500.0,0,0,0,1.0,0.1,16
574,AAPL,4,B2,-1,500.0,0,0,0,0.1,0.1,768
574,AAPL,5,A1,0,5000.0,0,754,3,1.0,0.0,0
574,AAPL,5,A2,0,5000.0,2787,761,14,1.0,0.0,0
574,AAPL,5,A3,0,5000.0,2785,757,15,1.0,0.0,0
574,AAPL,5,A3,1,5000.0,2787,761,14,1.0,0.0,0
574,AAPL,5,A3,2,5000.0,2784,771,15,1.0,0.0,0
574,AAPL,5,B1,-1,,0,0,0,1.0,0.0,0
574,AAPL,5,B2,-1,,0,0,0,1.0,0.0,0
574,AAPL,6,A1,0,5000.0,0,747,3,1.0,0.0,0
574,AAPL,6,A2,0,5000.0,2786,771,15,1.0,0.0,0
574,AAPL,6,A3,0,5000.0,2794,782,15,1.0,0.0,0
574,AAPL,6,A3,1,5000.0,2783,749,15,1.0,0.0,0
574,AAPL,6,A3,2,5000.0,2784,771,15,1.0,0.0,0
574,AAPL,6,B1,-1,500.0,0,0,0,0.1,0.1,16
574,AAPL,6,B2,-1,500.0,0,0,0,1.0,0.1,768
574,AAPL,7,A1,0,5000.0,0,752,3,1.0,0.0,0
574,AAPL,7,A2,0,5000.0,2796,780,14,1.0,0.0,0
574,AAPL,7,A3,0,5000.0,2783,779,14,1.0,0.0,0
574,AAPL,7,A3,1,5000.0,2795,769,14,1.0,0.0,0
574,AAPL,7,A3,2,5000.0,2802,786,14,1.0,0.0,0
574,AAPL,7,B1,-1,500.0,0,0,0,1.0,1.0,16
574,AAPL,7,B2,-1,500.0,0,0,0,0.1,1.0,768
574,AAPL,8,A1,0,5000.0,0,750,3,1.0,0.0,0
574,AAPL,8,A2,0,5000.0,2786,778,15,1.0,0.0,0
574,AAPL,8,A3,0,5000.0,2788,770,17,1.0,0.0,0
574,AAPL,8,A3,1,5000.0,2767,753,15,1.0,0.0,0
574,AAPL,8,A3,2,5000.0,2816,789,13,1.0,0.0,0
574,AAPL,8,B1,-1,500.0,0,0,0,0.1,0.1,16
574,AAPL,8,B2,-1,,0,0,0,0.1,0.0,0
574,AAPL,9,A1,0,5000.0,0,754,3,1.0,0.0,0
574,AAPL,9,A2,0,5000.0,2794,773,14,1.0,0.0,0
574,AAPL,9,A3,0,5000.0,2782,760,16,1.0,0.0,0
574,AAPL,9,A3,1,5000.0,2783,772,14,1.0,0.0,0
574,AAPL,9,A3,2,5000.0,2806,783,14,1.0,0.0,0
574,AAPL,9,B1,-1,500.0,0,0,0,1.0,0.1,16
574,AAPL,9,B2,-1,500.0,0,0,0,0.1,1.0,768
574,AMZN,0,A1,0,5000.0,0,635,2,0.1,0.0,0
574,AMZN,0,A2,0,5000.0,2448,399,23,1.0,0.0,0
574,AMZN,0,A3,0,5000.0,2496,387,23,1.0,0.0,0
574,AMZN,0,A3,1,5000.0,2466,386,26,1.0,0.0,0
574,AMZN,0,A3,2,5000.0,2464,419,25,1.0,0.0,0
574,AMZN,0,B1,-1,500.0,0,0,0,1.0,0.1,16
574,AMZN,0,B2,-1,500.0,0,0,0,1.0,1.0,768
574,AMZN,1,A1,0,5000.0,0,640,3,0.1,0.0,0
574,AMZN,1,A2,0,5000.0,2446,398,24,1.0,0.0,0
574,AMZN,1,A3,0,5000.0,2531,419,21,1.0,0.0,0
574,AMZN,1,A3,1,5000.0,2471,376,24,1.0,0.0,0
574,AMZN,1,A3,2,5000.0,2409,435,24,1.0,0.0,0
574,AMZN,1,B2,-1,500.0,0,0,0,1.0,0.1,768
574,AMZN,1,B1,-1,,0,0,0,1.0,0.0,0
574,AMZN,2,A1,0,5000.0,0,562,2,1.0,0.0,0
574,AMZN,2,A2,0,5000.0,2455,389,24,1.0,0.0,0
574,AMZN,2,A3,0,5000.0,2507,384,22,1.0,0.0,0
574,AMZN,2,A3,1,5000.0,2447,392,24,1.0,0.0,0
574,AMZN,2,A3,2,5000.0,2462,412,24,1.0,0.0,0
574,AMZN,2,B1,-1,500.0,0,0,0,1.0,1.0,16
574,AMZN,2,B2,-1,500.0,0,0,0,1.0,1.0,768
574,AMZN,3,A1,0,5000.0,0,633,3,1.0,0.0,0
574,AMZN,3,A2,0,5000.0,2425,402,23,1.0,0.0,0
574,AMZN,3,A3,0,5000.0,2451,413,24,1.0,0.0,0
574,AMZN,3,A3,1,5000.0,2420,445,22,1.0,0.0,0
574,AMZN,3,A3,2,5000.0,2480,356,24,1.0,0.0,0
574,AMZN,3,B2,-1,500.0,0,0,0,1.0,1.0,768
574,AMZN,3,B1,-1,,0,0,0,1.0,0.0,0
574,AMZN,4,A1,0,5000.0,0,559,3,1.0,0.0,0
574,AMZN,4,A2,0,5000.0,2475,374,24,0.1,0.0,0
574,AMZN,4,A3,0,5000.0,2511,392,23,0.1,0.0,0
574,AMZN,4,A3,1,5000.0,2537,382,22,0.1,0.0,0
574,AMZN,4,A3,2,5000.0,2472,377,23,0.1,0.0,0
574,AMZN,4,B1,-1,500.0,0,0,0,1.0,0.1,16
574,AMZN,4,B2,-1,,0,0,0,1.0,0.0,0
574,AMZN,5,A1,0,5000.0,0,622,3,1.0,0.0,0
574,AMZN,5,A2,0,5000.0,2438,406,24,0.1,0.0,0
574,AMZN,5,A3,0,5000.0,2484,372,25,1.0,0.0,0
574,AMZN,5,A3,1,5000.0,2450,414,26,1.0,0.0,0
574,AMZN,5,A3,2,5000.0,2463,463,23,1.0,0.0,0
574,AMZN,5,B2,-1,500.0,0,0,0,1.0,1.0,768
574,AMZN,5,B1,-1,,0,0,0,1.0,0.0,0
574,AMZN,6,A1,0,5000.0,0,637,3,0.1,0.0,0
574,AMZN,6,A2,0,5000.0,2444,409,25,1.0,0.0,0
574,AMZN,6,A3,0,5000.0,2482,394,24,1.0,0.0,0
574,AMZN,6,A3,1,5000.0,2491,368,22,1.0,0.0,0
574,AMZN,6,A3,2,5000.0,2459,406,24,1.0,0.0,0
574,AMZN,6,B1,-1,500.0,0,0,0,1.0,1.0,16
574,AMZN,6,B2,-1,500.0,0,0,0,1.0,1.0,768
574,AMZN,7,A1,0,5000.0,0,552,3,0.1,0.0,0
574,AMZN,7,A2,0,5000.0,2457,382,23,1.0,0.0,0
574,AMZN,7,A3,0,5000.0,2482,392,24,0.1,0.0,0
574,AMZN,7,A3,1,5000.0,2477,408,24,0.1,0.0,0
574,AMZN,7,A3,2,5000.0,2453,338,24,0.1,0.0,0
574,AMZN,7,B1,-1,500.0,0,0,0,1.0,1.0,16
574,AMZN,7,B2,-1,500.0,0,0,0,0.1,1.0,768
574,AMZN,8,A1,0,5000.0,0,600,2,0.1,0.0,0
574,AMZN,8,A2,0,5000.0,2442,405,23,0.1,0.0,0
574,AMZN,8,A3,0,5000.0,2469,369,25,0.1,0.0,0
574,AMZN,8,A3,1,5000.0,2485,397,20,0.1,0.0,0
574,AMZN,8,A3,2,5000.0,2444,453,25,0.1,0.0,0
574,AMZN,8,B1,-1,,0,0,0,1.0,0.0,0
574,AMZN,8,B2,-1,,0,0,0,1.0,0.0,0
