symbol,seed,method,n,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AAPL,575,FULL,803,0.6806284357821089,0.22461935835913516,0.364885474804984,0.6861768368617683,0.5815691158156912,False,0.7118528874389034,0.7471264367816092,0.6141304347826086
AAPL,575,TFIDF_LR,803,0.6497907296351824,0.22074576012372848,0.31625449080996626,0.6625155666251556,0.6650062266500623,False,0.6333184898723816,0.8022988505747126,0.49728260869565216
AAPL,575,TFIDF_SVM,803,0.6997532483758121,0.2057969787650536,0.40302644579203484,0.7048567870485679,0.5778331257783312,False,0.6010825561623138,0.7609195402298851,0.6385869565217391
AAPL,575,TFIDF_RF,803,0.6066216891554223,0.23165333033747657,0.24407067213210218,0.6264009962640099,0.7459526774595268,False,0.6558510629661154,0.8436781609195402,0.3695652173913043
AAPL,575,TFIDF_LR_PRICE_FALLBACK,803,0.65,0.22068323230227455,0.3161180766804208,0.6625155666251556,0.6625155666251556,False,0.6331810822549782,0.8,0.5
AAPL,575,TFIDF_SVM_PRICE_FALLBACK,803,0.7022613693153423,0.2054041163554117,0.4080868844887497,0.7073474470734745,0.5778331257783312,False,0.6002572031152776,0.7632183908045977,0.6413043478260869
AAPL,575,TFIDF_RF_PRICE_FALLBACK,803,0.6068309595202399,0.23153360662257438,0.2437669855515253,0.6264009962640099,0.7434620174346201,False,0.6555984821561113,0.8413793103448276,0.37228260869565216
AAPL,575,A1,803,0.6104947526236881,0.22851961283983954,0.2370274160483181,0.6251556662515566,0.684931506849315,False,0.6491765907630819,0.7862068965517242,0.43478260869565216
AAPL,575,A2,803,0.6033858070964517,0.23387268045348691,0.22700951854562465,0.6201743462017435,0.709838107098381,False,0.660129000462583,0.8045977011494253,0.40217391304347827
AAPL,575,A3,803,0.6221014492753623,0.22153030776970084,0.2508605023819348,0.6313823163138231,0.6214196762141968,False,0.6337424277364148,0.7333333333333333,0.5108695652173914
AAPL,575,B1,803,0.6739411544227887,0.2267135661767405,0.35027998103572466,0.6787048567870486,0.5716064757160647,False,0.7161878769016635,0.7310344827586207,0.6168478260869565
AAPL,575,B2,803,0.6630747126436782,0.2333947748074032,0.32676237344184356,0.6662515566625156,0.5516811955168119,False,0.7535316390453747,0.7011494252873564,0.625
AAPL,575,FULL_SHRINK,803,0.6806284357821089,0.2155617319643675,0.364885474804984,0.6861768368617683,0.5815691158156912,False,0.6226857945965615,0.7471264367816092,0.6141304347826086
AAPL,575,TITLE_FINBERT_FUSION,803,0.6615036231884057,0.22263320459976826,0.3266703798633966,0.6674968866749689,0.5853051058530511,False,0.6762253667769446,0.7333333333333333,0.5896739130434783
AAPL,575,TITLE_MODERN_FUSION,803,0.6751936531734133,0.21524321040570782,0.35451727854442344,0.6811955168119551,0.5865504358655044,False,0.6300953524514046,0.7471264367816092,0.6032608695652174
AAPL,575,PARAGRAPH_FINBERT_FUSION,803,0.6815685907046476,0.2188803238458338,0.36725541709708753,0.6874221668742216,0.5853051058530511,False,0.6631102441149409,0.7517241379310344,0.6114130434782609
AAPL,575,PARAGRAPH_MODERN_FUSION,803,0.6772832333833083,0.22158636551850744,0.35940363961636373,0.6836861768368617,0.5915317559153176,False,0.6762156930120878,0.7540229885057471,0.6005434782608695
AMZN,573,PAPER,804,0.5957697264076129,0.2482724454442373,0.2126277459751698,0.6032338308457711,0.7176616915422885,False,0.7226744724121286,0.8100961538461539,0.38144329896907214
AMZN,573,PRICE,804,0.5302835051546392,0.2533903070634105,0.06167216968605176,0.5335820895522388,0.595771144278607,False,0.7013555701183903,0.625,0.43556701030927836
AMZN,573,FULL,804,0.6118903647898493,0.25076918341484516,0.2244023506825673,0.6131840796019901,0.5410447761194029,False,0.7589000065375444,0.6490384615384616,0.5747422680412371
AMZN,573,TFIDF_LR,804,0.5944810666137985,0.2364942270588645,0.21004830071238223,0.6019900497512438,0.7189054726368159,False,0.6657063340452566,0.8100961538461539,0.3788659793814433
AMZN,573,TFIDF_SVM,804,0.6021262886597938,0.23396583741062527,0.22584485911096522,0.6094527363184079,0.7139303482587065,False,0.660408784583401,0.8125,0.3917525773195876
AMZN,573,TFIDF_RF,804,0.5773071966693101,0.24210482712496925,0.17051808316995792,0.5845771144278606,0.7114427860696517,False,0.677179002283949,0.7860576923076923,0.36855670103092786
AMZN,573,TFIDF_LR_PRICE_FALLBACK,804,0.6081978588421888,0.23375370849713253,0.2169529018809711,0.6094527363184079,0.5398009950248757,False,0.6598276786548065,0.6442307692307693,0.5721649484536082
AMZN,573,TFIDF_SVM_PRICE_FALLBACK,804,0.6158430808881841,0.23115288542139878,0.2321093279428392,0.6169154228855721,0.5348258706467661,False,0.6543825612067349,0.6466346153846154,0.5850515463917526
AMZN,573,TFIDF_RF_PRICE_FALLBACK,804,0.5910239888977002,0.23944207404251275,0.18231927293045663,0.5920398009950248,0.5323383084577115,False,0.6714539548525931,0.6201923076923077,0.5618556701030928
AMZN,573,A1,804,0.6133524980174465,0.23583098220902632,0.22711906428720643,0.6144278606965174,0.5348258706467661,False,0.6640183548107371,0.6442307692307693,0.5824742268041238
AMZN,573,A2,804,0.602361716891356,0.23772427036095112,0.204934943034122,0.6032338308457711,0.5286069651741293,False,0.667836947406839,0.6274038461538461,0.5773195876288659
AMZN,573,A3,804,0.6186806106264868,0.23170364048020367,0.237511361384993,0.6194029850746269,0.5248756218905473,False,0.655287831623079,0.6394230769230769,0.5979381443298969
AMZN,573,B1,804,0.6020147700237906,0.2526555547408802,0.2045147688423618,0.6032338308457711,0.5385572139303483,False,0.762726752140857,0.6370192307692307,0.5670103092783505
AMZN,573,B2,804,0.6180734536082475,0.25257789060220875,0.23685231625729025,0.6194029850746269,0.5422885572139303,False,0.8072145457767792,0.65625,0.5798969072164949
