source,record,variant,symbol,period,method,slope,intercept,train_n,monotone_non_decreasing
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,134,P1,AMZN,2018-04,platt,0.10198017549239564,0.352089597072455,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,135,P1,AMZN,2018-05,platt,0.21672538388040616,0.19698756321093847,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,136,P1,AMZN,2018-06,platt,0.2254870303219874,0.2837859217560783,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,137,P1,AMZN,2018-07,platt,0.30206861957759146,0.303861251487374,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,138,P1,AMZN,2018-08,platt,0.3021608591518826,0.3217637752432024,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,139,P1,AMZN,frozen,platt,0.3170546829543621,0.38628637560858636,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,147,P2,AMZN,2018-03,platt,-0.0037415005394292582,0.5017593334338275,,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,148,P2,AMZN,2018-04,platt,0.10198017549239564,0.352089597072455,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,149,P2,AMZN,2018-05,platt,0.21672538388040616,0.19698756321093847,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,150,P2,AMZN,2018-06,platt,0.2254870303219874,0.2837859217560783,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,151,P2,AMZN,2018-07,platt,0.30206861957759146,0.303861251487374,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,152,P2,AMZN,2018-08,platt,0.3021608591518826,0.3217637752432024,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,153,P2,AMZN,frozen,platt,0.3170546829543621,0.38628637560858636,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,161,P3,AMZN,2018-03,platt,-0.0037415005394292582,0.5017593334338275,,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,162,P3,AMZN,2018-04,platt,0.10198017549239564,0.352089597072455,,True
