symbol,month,method,C,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-05,PRICE_R1,0.1,66,0.5671015843429636,0.5606060606060606,0.13376754398878044,0.265525187100567,0.5228331780055918,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
AAPL,2018-05,PRICE_R1,1.0,66,0.5535880708294502,0.5454545454545454,0.10717614165890028,0.28220642845277827,0.5041938490214353,0.4864864864864865,0.6206896551724138,0.4393939393939394,False
AAPL,2018-05,TFIDF_SVM,0.01,66,0.5219012115563839,0.48484848484848486,0.054662361000598826,0.2518745866175584,0.5051258154706431,0.21621621621621623,0.8275862068965517,0.19696969696969696,False
AAPL,2018-05,TFIDF_SVM,0.1,66,0.5414725069897484,0.5151515151515151,0.09092104449280798,0.24521576606101236,0.6775396085740913,0.32432432432432434,0.7586206896551724,0.2878787878787879,False
AAPL,2018-05,TFIDF_SVM,1.0,66,0.640726933830382,0.6515151515151515,0.2858843701729485,0.2423505935860389,0.6943150046598322,0.7297297297297297,0.5517241379310345,0.6060606060606061,False
AAPL,2018-05,FINMODERN_LR,0.01,66,0.41565703634669154,0.42424242424242425,-0.16868592730661697,0.2620907033061355,0.41192917054986017,0.4864864864864865,0.3448275862068966,0.5606060606060606,False
AAPL,2018-05,FINMODERN_LR,0.1,66,0.4217148182665424,0.4393939393939394,-0.1615396563628238,0.2878835823385803,0.41472506989748376,0.5675675675675675,0.27586206896551724,0.6363636363636364,False
AAPL,2018-05,FINMODERN_LR,1.0,66,0.44641192917054984,0.45454545454545453,-0.10717614165890028,0.30311418067009593,0.412861136999068,0.5135135135135135,0.3793103448275862,0.5606060606060606,False
AAPL,2018-06,PRICE_R1,0.01,63,0.4907407407407407,0.47619047619047616,-0.018731716231633878,0.2663216143320161,0.4403292181069959,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
AAPL,2018-06,PRICE_R1,0.1,63,0.4537037037037037,0.4444444444444444,-0.09259259259259259,0.27822867749208713,0.4526748971193416,0.3888888888888889,0.5185185185185185,0.42857142857142855,False
AAPL,2018-06,PRICE_R1,1.0,63,0.44907407407407407,0.4444444444444444,-0.10112618056102679,0.2836019065934284,0.4516460905349794,0.4166666666666667,0.48148148148148145,0.4603174603174603,False
AAPL,2018-06,TFIDF_SVM,0.01,63,0.5092592592592593,0.5714285714285714,0.03758230140014144,0.2422295881155336,0.5339506172839505,0.9444444444444444,0.07407407407407407,0.9365079365079365,False
AAPL,2018-06,TFIDF_SVM,0.1,63,0.49074074074074076,0.5396825396825397,-0.025078493128775955,0.2436425793723876,0.5246913580246915,0.8333333333333334,0.14814814814814814,0.8412698412698413,False
AAPL,2018-06,TFIDF_SVM,1.0,63,0.5138888888888888,0.5714285714285714,0.0468292905790847,0.24550762025618256,0.5061728395061729,0.9166666666666666,0.1111111111111111,0.9047619047619048,False
AAPL,2018-06,FINMODERN_LR,0.01,63,0.4212962962962963,0.4126984126984127,-0.1574074074074074,0.2683851365186003,0.35288065843621397,0.3611111111111111,0.48148148148148145,0.42857142857142855,False
AAPL,2018-06,FINMODERN_LR,0.1,63,0.44907407407407407,0.4444444444444444,-0.10112618056102679,0.30581849559954943,0.3497942386831276,0.4166666666666667,0.48148148148148145,0.4603174603174603,False
AAPL,2018-06,FINMODERN_LR,1.0,63,0.41666666666666663,0.4126984126984127,-0.16547920455440748,0.3263678904895726,0.3456790123456791,0.3888888888888889,0.4444444444444444,0.4603174603174603,False
AAPL,2018-07,PRICE_R1,0.01,60,0.586080586080586,0.5333333333333333,0.17216117216117216,0.24446613983237067,0.645909645909646,0.41025641025641024,0.7619047619047619,0.35,False
AAPL,2018-07,PRICE_R1,0.1,60,0.641025641025641,0.6333333333333333,0.26920937709142984,0.2402622751771922,0.6263736263736264,0.6153846153846154,0.6666666666666666,0.5166666666666667,False
AAPL,2018-07,PRICE_R1,1.0,60,0.6043956043956045,0.6,0.19928486356118832,0.24240342849309598,0.6227106227106227,0.5897435897435898,0.6190476190476191,0.5166666666666667,False
AAPL,2018-07,TFIDF_SVM,0.01,60,0.5,0.65,0.0,0.2360007079058273,0.4578754578754579,1.0,0.0,1.0,True
AAPL,2018-07,TFIDF_SVM,0.1,60,0.510989010989011,0.65,0.05839848217828566,0.2384689635245946,0.4554334554334554,0.9743589743589743,0.047619047619047616,0.9666666666666667,False
AAPL,2018-07,TFIDF_SVM,1.0,60,0.510989010989011,0.65,0.05839848217828566,0.23803494543040996,0.463980463980464,0.9743589743589743,0.047619047619047616,0.9666666666666667,False
