symbol,month,phase,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,changed_direction_count,repaired_A0_errors,introduced_errors
AMZN,2018-08,train_forward_oof,A0,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6586206896551725,0.75,0.5172413793103449,0.6376811594202898,False,0,0,0
AMZN,2018-08,train_forward_oof,A1,69,0.6353448275862069,0.26793213346925515,0.22987477391672526,0.6663793103448276,0.65,0.6206896551724138,0.5362318840579711,False,7,3,4
AMZN,2018-08,train_forward_oof,A1_matchedC,69,0.6383620689655172,0.2798784825060619,0.23265724905396462,0.6543103448275862,0.725,0.5517241379310345,0.6086956521739131,False,2,1,1
AMZN,2018-09,development,A0,57,0.47598522167487683,-0.04977665340318334,0.26348832319443444,0.5197044334975369,0.6071428571428571,0.3448275862068966,0.631578947368421,False,0,0,0
AMZN,2018-09,development,A1,57,0.5455665024630543,0.09286462911590067,0.2896164522073484,0.48645320197044334,0.6428571428571429,0.4482758620689655,0.5964912280701754,False,4,4,0
AMZN,2018-09,development,A1_matchedC,57,0.5289408866995073,0.06063229170140654,0.26318595749598833,0.5307881773399015,0.6785714285714286,0.3793103448275862,0.6491228070175439,False,3,3,0
AMZN,2018-10,development,A0,69,0.5416666666666666,0.07856742013183861,0.2788264595358372,0.6041666666666666,0.6666666666666666,0.4166666666666667,0.6086956521739131,False,0,0,0
AMZN,2018-10,development,A1,69,0.5625,0.11652289992484975,0.28608331563932277,0.6200396825396826,0.6666666666666666,0.4583333333333333,0.5797101449275363,False,2,2,0
AMZN,2018-10,development,A1_matchedC,69,0.5416666666666666,0.07856742013183861,0.27234591757598114,0.6180555555555555,0.6666666666666666,0.4166666666666667,0.6086956521739131,False,0,0,0
AMZN,2018-11,later,A0,60,0.5277777777777778,0.055978284637523995,0.2844212127969923,0.5173611111111112,0.6388888888888888,0.4166666666666667,0.6166666666666667,False,0,0,0
AMZN,2018-11,later,A1,60,0.5416666666666667,0.08206099398622183,0.3082105450971263,0.5231481481481481,0.5833333333333334,0.5,0.55,False,4,2,2
AMZN,2018-11,later,A1_matchedC,60,0.5347222222222222,0.06900655593423542,0.2889977019637471,0.5173611111111112,0.6111111111111112,0.4583333333333333,0.5833333333333334,False,2,1,1
AMZN,2018-12,later,A0,54,0.5323308270676692,0.061928224614379454,0.2584394215807982,0.6225563909774435,0.5789473684210527,0.4857142857142857,0.5370370370370371,False,0,0,0
AMZN,2018-12,later,A1,54,0.5609022556390977,0.1163350101494222,0.25284698125870386,0.6421052631578947,0.5789473684210527,0.5428571428571428,0.5,False,2,2,0
AMZN,2018-12,later,A1_matchedC,54,0.5323308270676692,0.061928224614379454,0.25307733599706705,0.6270676691729323,0.5789473684210527,0.4857142857142857,0.5370370370370371,False,0,0,0
AMZN,2019-01,later,A0,63,0.44263157894736843,-0.11775013847245042,0.272779513025182,0.3821052631578947,0.6052631578947368,0.28,0.6507936507936508,False,0,0,0
AMZN,2019-01,later,A1,63,0.43,-0.13784048752090222,0.28893364811294026,0.4368421052631579,0.5,0.36,0.5555555555555556,False,8,3,5
AMZN,2019-01,later,A1_matchedC,63,0.42315789473684207,-0.15272267317972885,0.2727863465340428,0.41578947368421054,0.5263157894736842,0.32,0.5873015873015873,False,4,1,3
AMZN,2019-02,later,A0,2,0.5,0.0,0.26145143278404165,0.0,1.0,0.0,1.0,True,0,0,0
AMZN,2019-02,later,A1,2,0.5,0.0,0.20709459826169233,1.0,1.0,0.0,1.0,True,0,0,0
AMZN,2019-02,later,A1_matchedC,2,0.5,0.0,0.23987938241034235,1.0,1.0,0.0,1.0,True,0,0,0
