stock,horizon,method,month,params,train_n,train_end,evaluation_cutoff,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,4h,PAPER_1G_L1LR,2018-12,"{""C"": 0.01}",685,2018-11-30 20:30:00+00:00,2018-12-03 14:25:00+00:00,53,0.3584905660377358,0.5,0.0,0.3584905660377358,1.0,0.5277777777777778,1.0,0.0,1.0,0.3584905660377358,True,0.5,0.25
AAPL,4h,PAPER_1G_L1LR,2018-12,"{""C"": 0.1}",685,2018-11-30 20:30:00+00:00,2018-12-03 14:25:00+00:00,53,0.49056603773584906,0.5797213622291022,0.1885384697800485,0.40476190476190477,0.8947368421052632,0.5573770491803278,0.8947368421052632,0.2647058823529412,0.7924528301886793,0.3584905660377358,False,0.6842105263157894,0.2504189380058834
AAPL,4h,PAPER_1G_L1LR,2018-12,"{""C"": 1.0}",685,2018-11-30 20:30:00+00:00,2018-12-03 14:25:00+00:00,53,0.5849056603773585,0.641640866873065,0.28685640806868223,0.45714285714285713,0.8421052631578947,0.5925925925925926,0.8421052631578947,0.4411764705882353,0.660377358490566,0.3584905660377358,False,0.673374613003096,0.2850234036997036
AAPL,4h,PAPER_1G_L1LR,2019-01,"{""C"": 0.01}",738,2018-12-31 20:30:00+00:00,2019-01-02 14:25:00+00:00,63,0.5873015873015873,0.5,0.0,0.5873015873015873,1.0,0.74,1.0,0.0,1.0,0.5873015873015873,True,0.5,0.25
AAPL,4h,PAPER_1G_L1LR,2019-01,"{""C"": 0.1}",738,2018-12-31 20:30:00+00:00,2019-01-02 14:25:00+00:00,63,0.47619047619047616,0.48544698544698545,-0.02883749003642362,0.5714285714285714,0.43243243243243246,0.49230769230769234,0.43243243243243246,0.5384615384615384,0.4444444444444444,0.5873015873015873,False,0.5197505197505198,0.2585073236508968
AAPL,4h,PAPER_1G_L1LR,2019-01,"{""C"": 1.0}",738,2018-12-31 20:30:00+00:00,2019-01-02 14:25:00+00:00,63,0.47619047619047616,0.4911642411642412,-0.017671517671517672,0.5769230769230769,0.40540540540540543,0.47619047619047616,0.40540540540540543,0.5769230769230769,0.4126984126984127,0.5873015873015873,False,0.3981288981288982,0.37874927903457967
AAPL,4h,PAPER_1G_L1LR,2019-02,"{""C"": 0.01}",801,2019-01-31 20:30:00+00:00,2019-02-01 14:25:00+00:00,2,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,,0.25
AAPL,4h,PAPER_1G_L1LR,2019-02,"{""C"": 0.1}",801,2019-01-31 20:30:00+00:00,2019-02-01 14:25:00+00:00,2,0.5,,,0.0,0.0,0.0,0.0,0.5,0.5,0.0,False,,0.2337340936377961
AAPL,4h,PAPER_1G_L1LR,2019-02,"{""C"": 1.0}",801,2019-01-31 20:30:00+00:00,2019-02-01 14:25:00+00:00,2,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,,0.15292228535416452
AMZN,4h,PAPER_1G_L1LR,2018-03,"{""C"": 0.01}",117,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.43548387096774194,0.5,0.0,0.43548387096774194,1.0,0.6067415730337079,1.0,0.0,1.0,0.43548387096774194,True,0.5862433862433863,0.25355683513251753
AMZN,4h,PAPER_1G_L1LR,2018-03,"{""C"": 0.1}",117,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.43548387096774194,0.5,0.0,0.43548387096774194,1.0,0.6067415730337079,1.0,0.0,1.0,0.43548387096774194,True,0.5862433862433863,0.25549475797608395
AMZN,4h,PAPER_1G_L1LR,2018-03,"{""C"": 1.0}",117,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.4838709677419355,0.5132275132275133,0.02940311800138684,0.4444444444444444,0.7407407407407407,0.5555555555555556,0.7407407407407407,0.2857142857142857,0.7258064516129032,0.43548387096774194,False,0.4925925925925926,0.2753584402023916
AMZN,4h,PAPER_1G_L1LR,2018-04,"{""C"": 0.01}",179,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.4444444444444444,0.5,0.0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,1.0,0.4444444444444444,True,0.44285714285714284,0.25460347679535594
AMZN,4h,PAPER_1G_L1LR,2018-04,"{""C"": 0.1}",179,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.4444444444444444,0.5,0.0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,1.0,0.4444444444444444,True,0.44285714285714284,0.25460347679535594
AMZN,4h,PAPER_1G_L1LR,2018-04,"{""C"": 1.0}",179,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.42857142857142855,0.4357142857142857,-0.12909944487358058,0.3888888888888889,0.5,0.4375,0.5,0.37142857142857144,0.5714285714285714,0.4444444444444444,False,0.388265306122449,0.3572034570023924
AMZN,4h,PAPER_1G_L1LR,2018-05,"{""C"": 0.01}",242,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,65,0.5846153846153846,0.5,0.0,0.5846153846153846,1.0,0.7378640776699029,1.0,0.0,1.0,0.5846153846153846,True,0.5755360623781677,0.2478164585226945
AMZN,4h,PAPER_1G_L1LR,2018-05,"{""C"": 0.1}",242,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,65,0.5076923076923077,0.45029239766081874,-0.13065717650803632,0.5555555555555556,0.7894736842105263,0.6521739130434783,0.7894736842105263,0.1111111111111111,0.8307692307692308,0.5846153846153846,False,0.5321637426900585,0.24949247347894227
AMZN,4h,PAPER_1G_L1LR,2018-05,"{""C"": 1.0}",242,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,65,0.5538461538461539,0.5058479532163742,0.014020337228917873,0.5882352941176471,0.7894736842105263,0.6741573033707865,0.7894736842105263,0.2222222222222222,0.7846153846153846,0.5846153846153846,False,0.46881091617933723,0.28165198815890197
AMZN,4h,PAPER_1G_L1LR,2018-06,"{""C"": 0.01}",307,2018-05-31 19:30:00+00:00,2018-06-01 13:25:00+00:00,63,0.6349206349206349,0.5,0.0,0.6349206349206349,1.0,0.7766990291262136,1.0,0.0,1.0,0.6349206349206349,True,0.47663043478260875,0.2470328934482401
AMZN,4h,PAPER_1G_L1LR,2018-06,"{""C"": 0.1}",307,2018-05-31 19:30:00+00:00,2018-06-01 13:25:00+00:00,63,0.6190476190476191,0.5059782608695652,0.02129608504821507,0.6379310344827587,0.925,0.7551020408163265,0.925,0.08695652173913043,0.9206349206349206,0.6349206349206349,False,0.45869565217391306,0.2471125587780074
AMZN,4h,PAPER_1G_L1LR,2018-06,"{""C"": 1.0}",307,2018-05-31 19:30:00+00:00,2018-06-01 13:25:00+00:00,63,0.49206349206349204,0.45217391304347826,-0.09565217391304348,0.6,0.6,0.6,0.6,0.30434782608695654,0.6349206349206349,0.6349206349206349,False,0.4440217391304348,0.3028425780395011
AMZN,4h,PAPER_1G_L1LR,2018-07,"{""C"": 0.01}",370,2018-06-29 19:30:00+00:00,2018-07-02 13:25:00+00:00,60,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.6166666666666667,0.2457048940832725
AMZN,4h,PAPER_1G_L1LR,2018-07,"{""C"": 0.1}",370,2018-06-29 19:30:00+00:00,2018-07-02 13:25:00+00:00,60,0.5166666666666667,0.5166666666666667,0.046676002800933654,0.5098039215686274,0.8666666666666667,0.6419753086419753,0.8666666666666667,0.16666666666666666,0.85,0.5,False,0.605,0.24872922097669461
AMZN,4h,PAPER_1G_L1LR,2018-07,"{""C"": 1.0}",370,2018-06-29 19:30:00+00:00,2018-07-02 13:25:00+00:00,60,0.5666666666666667,0.5666666666666667,0.2222222222222222,0.5370370370370371,0.9666666666666667,0.6904761904761905,0.9666666666666667,0.16666666666666666,0.9,0.5,False,0.5083333333333333,0.25153977035808345
AMZN,4h,PAPER_1G_L1LR,2018-08,"{""C"": 0.01}",430,2018-07-31 19:30:00+00:00,2018-08-01 13:25:00+00:00,69,0.5797101449275363,0.5,0.0,0.5797101449275363,1.0,0.7339449541284404,1.0,0.0,1.0,0.5797101449275363,True,0.618103448275862,0.2424716062736615
AMZN,4h,PAPER_1G_L1LR,2018-08,"{""C"": 0.1}",430,2018-07-31 19:30:00+00:00,2018-08-01 13:25:00+00:00,69,0.5942028985507246,0.5456896551724137,0.11534829540788678,0.6071428571428571,0.85,0.7083333333333334,0.85,0.2413793103448276,0.8115942028985508,0.5797101449275363,False,0.6331896551724138,0.24123067502563042
AMZN,4h,PAPER_1G_L1LR,2018-08,"{""C"": 1.0}",430,2018-07-31 19:30:00+00:00,2018-08-01 13:25:00+00:00,69,0.5942028985507246,0.5456896551724137,0.11534829540788678,0.6071428571428571,0.85,0.7083333333333334,0.85,0.2413793103448276,0.8115942028985508,0.5797101449275363,False,0.4831896551724138,0.2759482097555388
AMZN,4h,PAPER_1G_L1LR,2018-09,"{""C"": 0.01}",499,2018-08-31 19:30:00+00:00,2018-09-04 13:25:00+00:00,57,0.49122807017543857,0.5,0.0,0.49122807017543857,1.0,0.6588235294117647,1.0,0.0,1.0,0.49122807017543857,True,0.4532019704433497,0.2532179290198017
AMZN,4h,PAPER_1G_L1LR,2018-09,"{""C"": 0.1}",499,2018-08-31 19:30:00+00:00,2018-09-04 13:25:00+00:00,57,0.543859649122807,0.5455665024630543,0.09286462911590067,0.5294117647058824,0.6428571428571429,0.5806451612903226,0.6428571428571429,0.4482758620689655,0.5964912280701754,0.49122807017543857,False,0.4649014778325123,0.253703215162683
AMZN,4h,PAPER_1G_L1LR,2018-09,"{""C"": 1.0}",499,2018-08-31 19:30:00+00:00,2018-09-04 13:25:00+00:00,57,0.3508771929824561,0.35344827586206895,-0.3070316047858459,0.3783783783783784,0.5,0.4307692307692308,0.5,0.20689655172413793,0.6491228070175439,0.49122807017543857,False,0.28201970443349755,0.35492575859480846
AMZN,4h,PAPER_1G_L1LR,2018-10,"{""C"": 0.01}",556,2018-09-28 19:30:00+00:00,2018-10-01 13:25:00+00:00,69,0.30434782608695654,0.5,0.0,0.30434782608695654,1.0,0.4666666666666667,1.0,0.0,1.0,0.30434782608695654,True,0.6249999999999999,0.2544403326259856
AMZN,4h,PAPER_1G_L1LR,2018-10,"{""C"": 0.1}",556,2018-09-28 19:30:00+00:00,2018-10-01 13:25:00+00:00,69,0.4057971014492754,0.5595238095238095,0.16265001215808889,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.9523809523809523,0.16666666666666666,0.8695652173913043,0.30434782608695654,False,0.6101190476190476,0.25938252880096846
AMZN,4h,PAPER_1G_L1LR,2018-10,"{""C"": 1.0}",556,2018-09-28 19:30:00+00:00,2018-10-01 13:25:00+00:00,69,0.36231884057971014,0.5148809523809523,0.04277411942682218,0.3114754098360656,0.9047619047619048,0.4634146341463415,0.9047619047619048,0.125,0.8840579710144928,0.30434782608695654,False,0.45932539682539675,0.2986132055202964
AMZN,4h,PAPER_1G_L1LR,2018-11,"{""C"": 0.01}",625,2018-10-31 19:30:00+00:00,2018-11-01 13:25:00+00:00,60,0.6,0.5,0.0,0.6,1.0,0.75,1.0,0.0,1.0,0.6,True,0.4166666666666667,0.249858336
AMZN,4h,PAPER_1G_L1LR,2018-11,"{""C"": 0.1}",625,2018-10-31 19:30:00+00:00,2018-11-01 13:25:00+00:00,60,0.5,0.4375,-0.15309310892394865,0.5625,0.75,0.6428571428571429,0.75,0.125,0.8,0.6,False,0.3622685185185185,0.25473514634955585
AMZN,4h,PAPER_1G_L1LR,2018-11,"{""C"": 1.0}",625,2018-10-31 19:30:00+00:00,2018-11-01 13:25:00+00:00,60,0.5333333333333333,0.4791666666666667,-0.04826170890658402,0.5869565217391305,0.75,0.6585365853658537,0.75,0.20833333333333334,0.7666666666666667,0.6,False,0.5028935185185185,0.3022614783033871
AMZN,4h,PAPER_1G_L1LR,2018-12,"{""C"": 0.01}",685,2018-11-30 20:30:00+00:00,2018-12-03 14:25:00+00:00,54,0.35185185185185186,0.5,0.0,0.35185185185185186,1.0,0.5205479452054794,1.0,0.0,1.0,0.35185185185185186,True,0.43909774436090226,0.25486536112541763
