stock,horizon,method,month,phase,params,issued,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-11,later,"{""C"": 1.0}",True,21,0.38095238095238093,0.37727272727272726,-0.24771684715343112,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.45454545454545453,0.3,0.5714285714285714,0.5238095238095238,False,0.42727272727272725,0.362023891426445
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-12,later,"{""C"": 1.0}",True,19,0.5263157894736842,0.5059523809523809,0.011631052629980886,0.375,0.42857142857142855,0.4,0.42857142857142855,0.5833333333333334,0.42105263157894735,0.3684210526315789,False,0.5476190476190476,0.28951085636728263
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-01,later,"{""C"": 1.0}",True,21,0.47619047619047616,0.48636363636363633,-0.03015113445777636,0.5,0.2727272727272727,0.35294117647058826,0.2727272727272727,0.7,0.2857142857142857,0.5238095238095238,False,0.42727272727272725,0.33434502701859214
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-02,later,"{""C"": 1.0}",True,1,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,,0.2481308476763596
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-03,oof,"{""C"": 0.1}",True,21,0.6190476190476191,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,True,0.47115384615384615,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-04,oof,"{""C"": 0.01}",True,21,0.3333333333333333,0.3611111111111111,-0.3042903097250923,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.5555555555555556,0.2857142857142857,0.5714285714285714,False,0.2777777777777778,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-05,oof,"{""C"": 0.1}",True,22,0.5909090909090909,0.5909090909090908,0.23570226039551584,0.75,0.2727272727272727,0.4,0.2727272727272727,0.9090909090909091,0.18181818181818182,0.5,False,0.5619834710743802,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-06,oof,"{""C"": 0.1}",True,21,0.3333333333333333,0.3173076923076923,-0.35527985620321373,0.2,0.25,0.2222222222222222,0.25,0.38461538461538464,0.47619047619047616,0.38095238095238093,False,0.25,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-07,oof,"{""C"": 0.1}",True,21,0.38095238095238093,0.4519230769230769,-0.11891287353862351,0.5,0.15384615384615385,0.23529411764705882,0.15384615384615385,0.75,0.19047619047619047,0.6190476190476191,False,0.33653846153846156,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-08,oof,"{""C"": 0.1}",True,23,0.391304347826087,0.48039215686274506,-0.03742405942825599,0.7142857142857143,0.29411764705882354,0.4166666666666667,0.29411764705882354,0.6666666666666666,0.30434782608695654,0.7391304347826086,False,0.5294117647058824,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-09,development,"{""C"": 0.1}",True,19,0.5789473684210527,0.5944444444444444,0.23134069792952236,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.3,0.7894736842105263,0.47368421052631576,False,0.6,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-10,development,"{""C"": 0.1}",True,23,0.30434782608695654,0.3143939393939394,-0.422288280162599,0.35294117647058826,0.5454545454545454,0.42857142857142855,0.5454545454545454,0.08333333333333333,0.7391304347826086,0.4782608695652174,False,0.4242424242424242,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-11,later,"{""C"": 0.1}",True,21,0.5238095238095238,0.6428571428571428,0.3429971702850177,0.4117647058823529,1.0,0.5833333333333334,1.0,0.2857142857142857,0.8095238095238095,0.3333333333333333,False,0.7040816326530612,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2018-12,later,"{""C"": 0.1}",True,19,0.5263157894736842,0.5641025641025641,0.1207011373963169,0.36363636363636365,0.6666666666666666,0.47058823529411764,0.6666666666666666,0.46153846153846156,0.5789473684210527,0.3157894736842105,False,0.47435897435897434,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2019-01,later,"{""C"": 0.1}",True,21,0.38095238095238093,0.38181818181818183,-0.23636363636363636,0.4,0.36363636363636365,0.38095238095238093,0.36363636363636365,0.4,0.47619047619047616,0.5238095238095238,False,0.4727272727272727,
AAPL,1d:DNEWS_24H,PAPER_1G_LINSVM,2019-02,later,"{""C"": 0.1}",True,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,,
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-03,oof,"{""C"": 0.1}",True,21,0.6190476190476191,0.5240384615384616,0.07953559537197222,0.5,0.125,0.2,0.125,0.9230769230769231,0.09523809523809523,0.38095238095238093,False,0.30769230769230765,
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-04,oof,"{""C"": 0.01}",True,21,0.38095238095238093,0.375,-0.24771684715343112,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.4166666666666667,0.3333333333333333,0.5238095238095238,0.5714285714285714,False,0.3703703703703704,
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_LINSVM,2018-05,oof,"{""C"": 0.01}",True,22,0.45454545454545453,0.45454545454545453,-0.09245003270420485,0.4444444444444444,0.36363636363636365,0.4,0.36363636363636365,0.5454545454545454,0.4090909090909091,0.5,False,0.45454545454545453,
