stock,horizon,method,month,phase,params,issued,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AMZN,4h,TFIDF_LR,2019-01,later,"{""C"": 1.0}",True,63,0.5555555555555556,0.5221052631578947,0.04588314677411235,0.6190476190476191,0.6842105263157895,0.65,0.6842105263157895,0.36,0.6666666666666666,0.6031746031746031,False,0.503157894736842,0.2523768519165327
AMZN,4h,TFIDF_LR,2019-02,later,"{""C"": 1.0}",True,2,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25030472447310653
AAPL,4h,TFIDF_LINSVM,2018-03,oof,"{""C"": 0.1}",True,62,0.5161290322580645,0.5,0.0,0.5161290322580645,1.0,0.6808510638297872,1.0,0.0,1.0,0.5161290322580645,True,0.6369791666666667,
AAPL,4h,TFIDF_LINSVM,2018-04,oof,"{""C"": 1.0}",True,63,0.5238095238095238,0.5307459677419355,0.12607181274293108,0.5084745762711864,0.967741935483871,0.6666666666666666,0.967741935483871,0.09375,0.9365079365079365,0.49206349206349204,False,0.6008064516129032,
AAPL,4h,TFIDF_LINSVM,2018-05,oof,"{""C"": 1.0}",True,66,0.5151515151515151,0.48555452003727867,-0.03278984261532774,0.5510204081632653,0.7297297297297297,0.627906976744186,0.7297297297297297,0.2413793103448276,0.7424242424242424,0.5606060606060606,False,0.5265610438024231,
AAPL,4h,TFIDF_LINSVM,2018-06,oof,"{""C"": 1.0}",True,63,0.4603174603174603,0.42592592592592593,-0.1651680278030668,0.5217391304347826,0.6666666666666666,0.5853658536585366,0.6666666666666666,0.18518518518518517,0.7301587301587301,0.5714285714285714,False,0.38477366255144035,
AAPL,4h,TFIDF_LINSVM,2018-07,oof,"{""C"": 1.0}",True,60,0.65,0.532967032967033,0.10482848367219184,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.9230769230769231,0.14285714285714285,0.9,0.65,False,0.5732600732600732,
AAPL,4h,TFIDF_LINSVM,2018-08,oof,"{""C"": 1.0}",True,69,0.6376811594202898,0.43137254901960786,-0.19962013261054987,0.7096774193548387,0.8627450980392157,0.7787610619469026,0.8627450980392157,0.0,0.8985507246376812,0.7391304347826086,False,0.343681917211329,
AAPL,4h,TFIDF_LINSVM,2018-09,development,"{""C"": 0.01}",True,57,0.49122807017543857,0.5,0.0,0.49122807017543857,1.0,0.6588235294117647,1.0,0.0,1.0,0.49122807017543857,True,0.5344827586206896,
AAPL,4h,TFIDF_LINSVM,2018-10,development,"{""C"": 0.01}",True,69,0.43478260869565216,0.5,0.0,0.43478260869565216,1.0,0.6060606060606061,1.0,0.0,1.0,0.43478260869565216,True,0.5811965811965811,
