stock,month,C,train_n,train_end,evaluation_cutoff,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,2018-06,0.1,99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00,21,0.6190476190476191,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.3846153846153846,0.24663004461308777,True
AAPL,2018-06,1.0,99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00,21,0.5714285714285714,0.46153846153846156,-0.17541160386140586,0.0,0.0,0.0,0.0,0.9230769230769231,0.047619047619047616,0.38095238095238093,0.375,0.253864894335394,False
AAPL,2018-07,0.01,120,2018-06-29 20:00:00+00:00,2018-07-02 13:25:00+00:00,21,0.38095238095238093,0.4519230769230769,-0.11891287353862351,0.5,0.15384615384615385,0.23529411764705882,0.15384615384615385,0.75,0.19047619047619047,0.6190476190476191,0.3942307692307693,0.2563634991537863,False
AAPL,2018-07,0.1,120,2018-06-29 20:00:00+00:00,2018-07-02 13:25:00+00:00,21,0.42857142857142855,0.4903846153846154,-0.021926450482675733,0.6,0.23076923076923078,0.3333333333333333,0.23076923076923078,0.75,0.23809523809523808,0.6190476190476191,0.41346153846153855,0.26832800350682456,False
AAPL,2018-07,1.0,120,2018-06-29 20:00:00+00:00,2018-07-02 13:25:00+00:00,21,0.38095238095238093,0.4278846153846154,-0.15504341823651058,0.5,0.23076923076923078,0.3157894736842105,0.23076923076923078,0.625,0.2857142857142857,0.6190476190476191,0.4423076923076923,0.2760744224069938,False
AAPL,2018-08,0.01,141,2018-07-31 20:00:00+00:00,2018-08-01 13:25:00+00:00,23,0.5652173913043478,0.5980392156862745,0.17236256333167305,0.8181818181818182,0.5294117647058824,0.6428571428571429,0.5294117647058824,0.6666666666666666,0.4782608695652174,0.7391304347826086,0.45098039215686275,0.2490679888402615,False
AAPL,2018-08,0.1,141,2018-07-31 20:00:00+00:00,2018-08-01 13:25:00+00:00,23,0.4782608695652174,0.4852941176470588,-0.025854384499750957,0.7272727272727273,0.47058823529411764,0.5714285714285714,0.47058823529411764,0.5,0.4782608695652174,0.7391304347826086,0.411764705882353,0.25434736429795235,False
AAPL,2018-08,1.0,141,2018-07-31 20:00:00+00:00,2018-08-01 13:25:00+00:00,23,0.43478260869565216,0.45588235294117646,-0.07815751585783592,0.7,0.4117647058823529,0.5185185185185185,0.4117647058823529,0.5,0.43478260869565216,0.7391304347826086,0.5098039215686275,0.2598411788759299,False
AMZN,2018-03,0.01,35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.42857142857142855,0.4583333333333333,-0.09128709291752768,0.4,0.6666666666666666,0.5,0.6666666666666666,0.25,0.7142857142857143,0.42857142857142855,0.5277777777777778,0.24906027385772878,False
AMZN,2018-03,0.1,35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.47619047619047616,0.5138888888888888,0.032274861218395144,0.4375,0.7777777777777778,0.56,0.7777777777777778,0.25,0.7619047619047619,0.42857142857142855,0.5833333333333334,0.25197326641186185,False
