horizon_window,method,stock,phase,DPRICE_BA,JOINT_BA,DELTA_BA_VS_DPRICE,DPRICE_Brier,JOINT_Brier,DELTA_BRIER_VS_DPRICE,NEWS_ONLY_BA,DELTA_BA_VS_NEWS_ONLY,comparison_scope
1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,AAPL,later,0.5702702702702702,0.5027027027027027,-0.06756756756756754,0.24835005088695697,0.3511604439667694,0.1028103930798124,0.5167567567567568,-0.014054054054054133,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,AMZN,development,0.5208333333333334,0.48611111111111116,-0.03472222222222221,0.2511634756907836,0.2997726125802056,0.04860913688942198,0.5208333333333333,-0.0347222222222221,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,AMZN,later,0.4362591431556949,0.4341692789968652,-0.002089864158829724,0.2562609844478403,0.34713235231324063,0.09087136786540034,0.4623824451410658,-0.028213166144200608,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,AAPL,development,0.3795454545454545,0.5840909090909091,0.20454545454545459,0.25758996919842064,0.24778078553289462,-0.009809183665526022,0.5840909090909091,0.0,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,AAPL,later,0.5702702702702702,0.4702702702702703,-0.09999999999999992,0.24835005088695697,0.2575877338395736,0.00923768295261665,0.4702702702702703,0.0,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,AMZN,development,0.5208333333333334,0.5,-0.02083333333333337,0.2511634756907836,0.25,-0.001163475690783622,0.5,0.0,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,AMZN,later,0.4362591431556949,0.5,0.06374085684430508,0.2562609844478403,0.25,-0.00626098444784029,0.5109717868338558,-0.010971786833855801,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,TFIDF_LR,AAPL,development,0.3795454545454545,0.3795454545454545,0.0,0.25758996919842064,0.2575841485210271,-5.82067739351988e-06,0.5,-0.12045454545454548,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,TFIDF_LR,AAPL,later,0.5702702702702702,0.5702702702702702,0.0,0.24835005088695697,0.24835059250078664,5.416138296743256e-07,0.4508108108108108,0.1194594594594594,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,TFIDF_LR,AMZN,development,0.5208333333333334,0.5555555555555556,0.03472222222222221,0.2511634756907836,0.26666306454379773,0.015499588853014112,0.5555555555555556,0.0,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,TFIDF_LR,AMZN,later,0.4362591431556949,0.41692789968652033,-0.019331243469174586,0.2562609844478403,0.2696094295331026,0.013348445085262284,0.48380355276907006,-0.06687565308254972,SYSTEM_LEVEL
