stock,horizon,method,month,params,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier,error_n,error_accuracy,error_ba,error_mcc,error_precision,error_recall,error_f1,error_up_recall,error_down_recall,error_pred_up,error_true_up,error_constant,error_auc,error_brier
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-07,"{""C"":0.1}",21,0.6190476190476191,0.5,0.0,0.6190476190476191,1.0,0.7647058823529411,1.0,0.0,1.0,0.6190476190476191,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-07,"{""C"":1.0}",21,0.6666666666666666,0.7307692307692308,0.49613893835683387,1.0,0.46153846153846156,0.631578947368421,0.46153846153846156,1.0,0.2857142857142857,0.6190476190476191,False,0.7596153846153846,0.25223038834856054,0.0,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-08,"{""C"":0.01}",23,0.7391304347826086,0.5,0.0,0.7391304347826086,1.0,0.85,1.0,0.0,1.0,0.7391304347826086,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-08,"{""C"":0.1}",23,0.7391304347826086,0.5,0.0,0.7391304347826086,1.0,0.85,1.0,0.0,1.0,0.7391304347826086,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-08,"{""C"":1.0}",23,0.6086956521739131,0.6274509803921569,0.22407133233117496,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.5882352941176471,0.6666666666666666,0.5217391304347826,0.7391304347826086,False,0.6470588235294119,0.27179485153115035,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"":0.01}",21,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,True,0.5555555555555556,0.24932944606413993,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"":0.1}",21,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,True,0.5555555555555556,0.24932944606413993,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"":1.0}",21,0.7142857142857143,0.7083333333333333,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.42857142857142855,0.42857142857142855,False,0.7407407407407408,0.20742470401232543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"":0.01}",21,0.5238095238095238,0.5045454545454545,0.015467205622243648,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.9090909090909091,0.1,0.9047619047619048,0.5238095238095238,False,0.5045454545454545,0.2500303692905734,0.0,0.0,0.0,4.85722573273506e-17,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"":0.1}",21,0.5238095238095238,0.5045454545454545,0.015467205622243648,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.9090909090909091,0.1,0.9047619047619048,0.5238095238095238,False,0.5045454545454545,0.2500303692905734,0.0,0.0,0.0,4.85722573273506e-17,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
