stock,horizon_window,method,phase,evaluation_label,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.47619047619047616,0.47916666666666663,-0.04128614119223852,0.4090909090909091,0.5,0.45,0.5,0.4583333333333333,0.5238095238095238,0.42857142857142855,0.4768518518518518,0.3025964497670682,False
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.43548387096774194,0.4362591431556949,-0.1272823676500175,0.40625,0.4482758620689655,0.4262295081967213,0.4482758620689655,0.42424242424242425,0.5161290322580645,0.46774193548387094,0.43155694879832807,0.3204489251037157,False
AMZN,1d:DNEWS_24H,TFIDF_ADABOOST,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.35714285714285715,0.3888888888888889,-0.25012215979228897,0.3548387096774194,0.6111111111111112,0.4489795918367347,0.6111111111111112,0.16666666666666666,0.7380952380952381,0.42857142857142855,0.5034722222222222,0.27964852758854425,False
AMZN,1d:DNEWS_24H,TFIDF_ADABOOST,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.4838709677419355,0.48380355276907006,-0.03232540919176179,0.45161290322580644,0.4827586206896552,0.4666666666666667,0.4827586206896552,0.48484848484848486,0.5,0.46774193548387094,0.49738766980146293,0.2535422375715302,False
AMZN,1d:DNEWS_24H,TFIDF_KNN,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.5476190476190477,0.5763888888888888,0.16354278419876447,0.4827586206896552,0.7777777777777778,0.5957446808510638,0.7777777777777778,0.375,0.6904761904761905,0.42857142857142855,0.6342592592592593,0.28285714285714286,False
AMZN,1d:DNEWS_24H,TFIDF_KNN,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.5,0.5031347962382445,0.006286035181034207,0.47058823529411764,0.5517241379310345,0.5079365079365079,0.5517241379310345,0.45454545454545453,0.5483870967741935,0.46774193548387094,0.49738766980146293,0.33999999999999997,False
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.47619047619047616,0.48611111111111116,-0.027777777777777776,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.5555555555555556,0.4166666666666667,0.5714285714285714,0.42857142857142855,0.5092592592592593,0.2997726125802056,False
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.43548387096774194,0.4341692789968652,-0.13145556003198527,0.4,0.41379310344827586,0.4067796610169492,0.41379310344827586,0.45454545454545453,0.4838709677419355,0.46774193548387094,0.4461859979101358,0.34713235231324063,False
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,0.5,0.25,True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.46774193548387094,0.5,0.0,0.46774193548387094,1.0,0.6373626373626373,1.0,0.0,1.0,0.46774193548387094,0.5,0.25,True
AMZN,1d:DNEWS_OVERNIGHT,TFIDF_LR,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.5238095238095238,0.5555555555555556,0.12171612389003691,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.7777777777777778,0.3333333333333333,0.7142857142857143,0.42857142857142855,0.5046296296296297,0.26666306454379773,False
AMZN,1d:DNEWS_OVERNIGHT,TFIDF_LR,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.41935483870967744,0.41692789968652033,-0.16614420062695925,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.45454545454545453,0.46774193548387094,0.46774193548387094,0.39602925809822354,0.2696094295331026,False
