stock,horizon_window,method,month,phase,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2019-02,later,1,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0470511106443936,True
AMZN,1d:DNEWS_24H,TFIDF_ADABOOST,2018-09,development,19,0.3684210526315789,0.37777777777777777,-0.26257545381445874,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.5555555555555556,0.2,0.6842105263157895,0.47368421052631576,0.5444444444444445,0.2763931924071178,False
AMZN,1d:DNEWS_24H,TFIDF_ADABOOST,2018-10,development,23,0.34782608695652173,0.40476190476190477,-0.2253744679276044,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.14285714285714285,0.782608695652174,0.391304347826087,0.4722222222222223,0.282337717521027,False
AMZN,1d:DNEWS_24H,TFIDF_ADABOOST,2018-11,later,21,0.42857142857142855,0.42272727272727273,-0.1589409883014377,0.46153846153846156,0.5454545454545454,0.5,0.5454545454545454,0.3,0.6190476190476191,0.5238095238095238,0.35909090909090907,0.2738754433967651,False
AMZN,1d:DNEWS_24H,TFIDF_ADABOOST,2018-12,later,19,0.5263157894736842,0.5059523809523809,0.011631052629980886,0.375,0.42857142857142855,0.4,0.42857142857142855,0.5833333333333334,0.42105263157894735,0.3684210526315789,0.47023809523809523,0.2456055888250878,False
AMZN,1d:DNEWS_24H,TFIDF_ADABOOST,2019-01,later,21,0.47619047619047616,0.4772727272727273,-0.045454545454545456,0.5,0.45454545454545453,0.47619047619047616,0.45454545454545453,0.5,0.47619047619047616,0.5238095238095238,0.5909090909090908,0.24215133153378632,False
AMZN,1d:DNEWS_24H,TFIDF_ADABOOST,2019-02,later,1,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.21655026821662346,True
AMZN,1d:DNEWS_24H,TFIDF_KNN,2018-09,development,19,0.47368421052631576,0.4777777777777778,-0.044946657497549475,0.45454545454545453,0.5555555555555556,0.5,0.5555555555555556,0.4,0.5789473684210527,0.47368421052631576,0.5555555555555556,0.29263157894736846,False
AMZN,1d:DNEWS_24H,TFIDF_KNN,2018-10,development,23,0.6086956521739131,0.6785714285714286,0.4225771273642583,0.5,1.0,0.6666666666666666,1.0,0.35714285714285715,0.782608695652174,0.391304347826087,0.6984126984126984,0.2747826086956522,False
AMZN,1d:DNEWS_24H,TFIDF_KNN,2018-11,later,21,0.7142857142857143,0.7181818181818183,0.4403855060505442,0.7777777777777778,0.6363636363636364,0.7,0.6363636363636364,0.8,0.42857142857142855,0.5238095238095238,0.7363636363636363,0.22095238095238098,False
AMZN,1d:DNEWS_24H,TFIDF_KNN,2018-12,later,19,0.3157894736842105,0.369047619047619,-0.28690229202651557,0.2857142857142857,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.16666666666666666,0.7368421052631579,0.3684210526315789,0.380952380952381,0.4652631578947368,False
AMZN,1d:DNEWS_24H,TFIDF_KNN,2019-01,later,21,0.42857142857142855,0.42727272727272725,-0.14545454545454545,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4,0.5238095238095238,0.5238095238095238,0.3909090909090909,0.36000000000000004,False
AMZN,1d:DNEWS_24H,TFIDF_KNN,2019-02,later,1,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.039999999999999994,True
