phase,horizon_minutes,symbol,method,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,valid_rows,context_complete_rate
inner,60,AAPL,AR1,2018-03,1483,0.5248470948012233,0.050895133504115904,0.2500032299155342,0.5187800349497597,0.4166666666666667,0.6330275229357798,0.39109912339851655,False,1483,0.8064733648010789
inner,60,AAPL,AR1,2018-04,1556,0.5043868508942038,0.008855813221021202,0.25049520078016396,0.49487751831501836,0.40922619047619047,0.5995475113122172,0.40424164524421596,False,1556,0.7769922879177378
inner,60,AAPL,AR1,2018-05,2257,0.5021871946410785,0.004813984052576407,0.24952415687460383,0.5216315867195771,0.2933212996389892,0.7110530896431679,0.2910943730615862,False,2257,0.7984049623393886
inner,60,AMZN,AR0,2018-03,362,0.5305888817657295,0.07245754510489415,0.24760209149965284,0.5667185639710597,0.7988826815642458,0.26229508196721313,0.7679558011049724,False,362,0.8149171270718232
inner,60,AMZN,AR0,2018-04,362,0.5669974391805378,0.1354951932551223,0.25379713156620726,0.5905889884763125,0.7112676056338029,0.42272727272727273,0.6298342541436464,False,362,0.7762430939226519
inner,60,AMZN,AR0,2018-05,446,0.4619189523404083,-0.07629832862089603,0.25914090640010584,0.44357274625473864,0.5123152709359606,0.411522633744856,0.5538116591928252,False,446,0.8340807174887892
inner,60,AMZN,AR1,2018-03,362,0.5046097017431389,0.016719574215072617,0.25105692167905397,0.5332905943767745,0.9217877094972067,0.08743169398907104,0.9171270718232044,False,362,0.8149171270718232
inner,60,AMZN,AR1,2018-04,362,0.5297055057618438,0.06788854268057407,0.2542458200357855,0.5568181818181819,0.795774647887324,0.2636363636363636,0.7596685082872928,False,362,0.7762430939226519
inner,60,AMZN,AR1,2018-05,446,0.441059011940238,-0.11757727875520989,0.2590145442554127,0.41073202375884366,0.4088669950738916,0.4732510288065844,0.4730941704035874,False,446,0.8340807174887892
inner,120,AAPL,AR0,2018-03,1218,0.5471627990557638,0.09387694240583586,0.25193288959665044,0.521608795445449,0.5591985428051002,0.5351270553064275,0.5073891625615764,False,1218,0.764367816091954
inner,120,AAPL,AR0,2018-04,1280,0.4924716289875793,-0.01517098964817805,0.2527990370282428,0.4996202305424002,0.4032258064516129,0.5817174515235457,0.41171875,False,1280,0.72890625
inner,120,AAPL,AR0,2018-05,1904,0.5648886703031387,0.14707877211777062,0.2501984277376738,0.5640536975766788,0.3169811320754717,0.8127962085308057,0.25945378151260506,False,1904,0.7610294117647058
inner,120,AAPL,AR1,2018-03,1218,0.5667540656881243,0.13342387825812116,0.24924478368543634,0.5652919699085985,0.6193078324225865,0.5142002989536621,0.5459770114942529,False,1218,0.764367816091954
inner,120,AAPL,AR1,2018-04,1280,0.4821756570259832,-0.038721058745562816,0.2500321489807118,0.4744288565216096,0.27598566308243727,0.6883656509695291,0.29609375,False,1280,0.72890625
inner,120,AAPL,AR1,2018-05,1904,0.5389922203344362,0.10548313210776117,0.24996486222088465,0.5844708486094966,0.19528301886792454,0.8827014218009479,0.16071428571428573,False,1904,0.7610294117647058
