symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage,news_coverage,dates
AAPL,forward,2018-08,price,69,0.5457516339869282,0.08291575195885001,0.22780397160256885,0.5942028985507246,0.6470588235294118,0.4444444444444444,0.6231884057971014,1.0,0.9855072463768116,23
AAPL,forward,2018-08,old_integrated,69,0.5294117647058824,0.05693238549900613,0.23849253890956862,0.6231884057971014,0.7254901960784313,0.3333333333333333,0.7101449275362319,1.0,0.9855072463768116,23
AAPL,forward,2018-08,old_body,69,0.46405228758169936,-0.07067418228235592,0.2583606979092237,0.5797101449275363,0.7058823529411765,0.2222222222222222,0.7246376811594203,1.0,0.9855072463768116,23
AAPL,forward,2018-08,old_semantic,69,0.6290849673202614,0.22966668972778925,0.22131579356907594,0.6376811594202898,0.6470588235294118,0.6111111111111112,0.5797101449275363,1.0,0.9855072463768116,23
AAPL,forward,2018-08,body,69,0.5375816993464052,0.07001400420140048,0.22858826592939227,0.6086956521739131,0.6862745098039216,0.3888888888888889,0.6666666666666666,1.0,0.9855072463768116,23
AAPL,forward,2018-08,semantic,69,0.5457516339869282,0.08291575195885001,0.22780397160256885,0.5942028985507246,0.6470588235294118,0.4444444444444444,0.6231884057971014,1.0,0.9855072463768116,23
AAPL,forward,2018-08,joint_body,69,0.4771241830065359,-0.057069220940279844,0.2229761185910437,0.6521739130434783,0.8431372549019608,0.1111111111111111,0.855072463768116,1.0,0.9855072463768116,23
AAPL,forward,2018-08,joint_semantic,69,0.5457516339869282,0.08291575195885001,0.22780397160256885,0.5942028985507246,0.6470588235294118,0.4444444444444444,0.6231884057971014,1.0,0.9855072463768116,23
AAPL,forward,2018-08,static,69,0.5457516339869282,0.08291575195885001,0.22780397160256885,0.5942028985507246,0.6470588235294118,0.4444444444444444,0.6231884057971014,1.0,0.9855072463768116,23
AAPL,forward,2018-08,gate,69,0.5375816993464052,0.07001400420140048,0.22797608499429323,0.6086956521739131,0.6862745098039216,0.3888888888888889,0.6666666666666666,1.0,0.9855072463768116,23
AAPL,forward,2018-08,price_cal,69,0.5392156862745098,0.07709910794438826,0.22393039025313916,0.6376811594202898,0.7450980392156863,0.3333333333333333,0.7246376811594203,1.0,0.9855072463768116,23
AAPL,forward,2018-08,static_cal,69,0.5392156862745098,0.07709910794438826,0.22393039025313916,0.6376811594202898,0.7450980392156863,0.3333333333333333,0.7246376811594203,1.0,0.9855072463768116,23
AAPL,forward,2018-08,gate_cal,69,0.5669934640522876,0.12967932252551395,0.22407983422365893,0.6521739130434783,0.7450980392156863,0.3888888888888889,0.7101449275362319,1.0,0.9855072463768116,23
AAPL,forward,2018-08,selected_system,69,0.5098039215686274,0.018475274304048998,0.23730918602646964,0.5942028985507246,0.6862745098039216,0.3333333333333333,0.6811594202898551,1.0,0.9855072463768116,23
AAPL,forward,2018-08,constant,69,0.5,0.0,0.25,0.7391304347826086,1.0,0.0,1.0,1.0,0.9855072463768116,23
AAPL,forward,2018-08,prior,69,0.5,0.0,0.2264215674747808,0.7391304347826086,1.0,0.0,1.0,1.0,0.9855072463768116,23
