phase,symbol,method,n,BA,accuracy,MCC,Brier,AUC,pred_up,constant
later,AAPL,PRICE_R1,178,0.5386510041682455,0.5337078651685393,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7191011235955056,False
later,AAPL,AUG_UNFILTERED_FINBERT,178,0.5383983832259694,0.5337078651685393,0.08441824368058118,0.2582586378732002,0.5340406719717065,0.7078651685393258,False
later,AAPL,ORIG_FINBERT,178,0.5671340154098775,0.5617977528089888,0.15225387872362858,0.2855781078563171,0.5495768599216875,0.7359550561797753,False
later,AAPL,L1_FILTERED_FINBERT,178,0.5336617405582923,0.5280898876404494,0.0774309894972694,0.27798561572983765,0.5582922824302136,0.7471910112359551,False
later,AAPL,L2_FACT_CHANGE,178,0.4821270683339649,0.48314606741573035,-0.03588209043906429,0.26333480124455116,0.4991789819376026,0.4550561797752809,False
later,AAPL,L3_CASE_VOTE,178,0.4759378552482001,0.47191011235955055,-0.0515601936976972,0.2596853700383475,0.5147151698875837,0.6797752808988764,False
later,AAPL,L5_GUARDED_SYSTEM,178,0.4759378552482001,0.47191011235955055,-0.0515601936976972,0.2596853700383475,0.5147151698875837,0.6797752808988764,False
later,AMZN,PRICE_R1,179,0.5085106382978724,0.5139664804469274,0.017418199070209483,0.27222912692367146,0.5200250312891115,0.6089385474860335,False
later,AMZN,AUG_UNFILTERED_FINBERT,179,0.48610763454317896,0.49162011173184356,-0.028432648482253714,0.2657410608329594,0.4748435544430539,0.6089385474860335,False
later,AMZN,ORIG_FINBERT,179,0.5426783479349186,0.547486033519553,0.08692663097278021,0.2616905748058095,0.5685857321652065,0.5977653631284916,False
later,AMZN,L1_FILTERED_FINBERT,179,0.4765957446808511,0.48044692737430167,-0.047290380028825595,0.26720703455416506,0.46846057571964955,0.5754189944134078,False
later,AMZN,L2_FACT_CHANGE,179,0.49618272841051314,0.5027932960893855,-0.007902149755513847,0.2749806657667247,0.5103879849812265,0.6312849162011173,False
later,AMZN,L3_CASE_VOTE,179,0.48078848560700876,0.4860335195530726,-0.039221476046519294,0.28149122199606486,0.5015018773466833,0.6033519553072626,False
later,AMZN,L5_GUARDED_SYSTEM,179,0.48078848560700876,0.4860335195530726,-0.039221476046519294,0.28149122199606486,0.5015018773466833,0.6033519553072626,False
train_forward_oof,AAPL,PRICE_R1,383,0.5268023223042669,0.5195822454308094,0.052859072097666916,0.25766056155301725,0.5412039907558762,0.46475195822454307,False
train_forward_oof,AAPL,AUG_UNFILTERED_FINBERT,383,0.5069190011836988,0.5248041775456919,0.013895296329514886,0.26194438369300327,0.5020010145989516,0.6005221932114883,False
train_forward_oof,AAPL,ORIG_FINBERT,383,0.5001831914773689,0.5065274151436031,0.0003612870332648107,0.26018906778411555,0.5182064145200383,0.5352480417754569,False
train_forward_oof,AAPL,L1_FILTERED_FINBERT,383,0.5481511752437855,0.566579634464752,0.09714934349283899,0.2693445748942476,0.5545065103432727,0.6109660574412533,False
train_forward_oof,AAPL,L2_FACT_CHANGE,383,0.5140634688010822,0.5091383812010444,0.027700829411968653,0.2747849736660321,0.5033819965052703,0.4751958224543081,False
train_forward_oof,AAPL,L3_CASE_VOTE,383,0.5349472972211262,0.5326370757180157,0.06875683355490625,0.2573973507558081,0.532579899667437,0.4934725848563969,False
train_forward_oof,AAPL,L5_GUARDED_SYSTEM,383,0.5349472972211262,0.5326370757180157,0.06875683355490625,0.2573973507558081,0.532579899667437,0.4934725848563969,False
