phase,symbol,period,method,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant,source,scope,invalid_n,news_ratio,days
frozen,AAPL,validation,R0,126,0.4959432048681542,-0.0113008948981195,0.2615228263904922,0.1456470183820551,0.8492063492063492,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,R1,126,0.5621196754563895,0.1489483077355427,0.2441109610075951,0.093870523114877,0.7777777777777778,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,R2,126,0.5547667342799188,0.1330502865729551,0.2533495093846669,0.1343443865861218,0.7857142857142857,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,S2,126,0.5816430020283976,0.1817032502459584,0.2529585772689037,0.1075248407294932,0.7222222222222222,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,S3,126,0.6282961460446248,0.2808123435733629,0.2482105851065667,0.1087165526918527,0.7063492063492064,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,title,126,0.5045638945233265,0.0130012741873085,0.260102851399259,0.1438479346567306,0.8571428571428571,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,body,126,0.5793610547667343,0.1954875960731084,0.249974757894649,0.0825808809750348,0.7936507936507936,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,semantic,126,0.5413286004056794,0.1066514137074666,0.280295475083343,0.201990502094203,0.8174603174603174,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,llm,126,0.44447261663286,-0.1885656613686041,0.2759832813001222,0.1931412667027245,0.9047619047619048,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,F0,126,0.5045638945233265,0.0130012741873085,0.260102851399259,0.1438479346567306,0.8571428571428571,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,F1,126,0.5793610547667343,0.1954875960731084,0.249974757894649,0.0825808809750348,0.7936507936507936,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,F2,126,0.5413286004056794,0.1066514137074666,0.280295475083343,0.201990502094203,0.8174603174603174,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,F3,126,0.5793610547667343,0.1954875960731084,0.249974757894649,0.0825808809750348,0.7936507936507936,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,F4,126,0.529158215010142,0.0850788621961287,0.2544163567339352,0.0940508986064192,0.8650793650793651,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,F5,126,0.529158215010142,0.0850788621961287,0.2544163567339352,0.0940508986064192,0.8650793650793651,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AAPL,validation,F6,126,0.5035496957403651,0.0154478156305555,0.2572962206544228,0.1176211541124196,0.9444444444444444,0.4603174603174603,False,nextgen_fusion,,,,
frozen,AMZN,all,R0,305,0.4801217301217301,-0.0410813085035,0.2653435065654828,0.1506753685014546,0.6295081967213115,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,R1,305,0.5087196753863421,0.0178687442185406,0.2720881109816154,0.1461154271837409,0.6131147540983607,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,R2,305,0.5080721747388415,0.0188816808956284,0.2681221631459823,0.129108273197765,0.760655737704918,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,S2,305,0.5568505568505568,0.1186438561923019,0.2609712983799133,0.1172456968218074,0.6459016393442623,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,S3,305,0.5412026245359578,0.0907630746415378,0.2536487774138339,0.0759190696272643,0.7114754098360656,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,title,305,0.4939134939134939,-0.0123370633344795,0.2690342908489378,0.158354088342727,0.5868852459016394,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,body,305,0.5511309677976345,0.102594625444126,0.254103219742068,0.0752570032706257,0.4491803278688525,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,semantic,305,0.5132521799188465,0.0268010140941911,0.2765469334752188,0.1542229031720289,0.580327868852459,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,llm,305,0.5018993352326686,0.004485594835675,0.2548363964240183,0.1265932547301303,0.7672131147540984,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,F0,305,0.4939134939134939,-0.0123370633344795,0.2690342908489378,0.158354088342727,0.5868852459016394,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,F1,305,0.5511309677976345,0.102594625444126,0.254103219742068,0.0752570032706257,0.4491803278688525,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,F2,305,0.5132521799188465,0.0268010140941911,0.2765469334752188,0.1542229031720289,0.580327868852459,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,F3,305,0.5511309677976345,0.102594625444126,0.254103219742068,0.0752570032706257,0.4491803278688525,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,F4,305,0.5280799447466114,0.0560511156365228,0.2523737347750948,0.0876974324333637,0.5016393442622951,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,F5,305,0.5280799447466114,0.0560511156365228,0.2523737347750948,0.0876974324333637,0.5016393442622951,0.4688524590163934,False,nextgen_fusion,,,,
frozen,AMZN,all,F6,305,0.5177631010964344,0.0372301544903066,0.2589256673014987,0.1157799495716594,0.6524590163934426,0.4688524590163934,False,nextgen_fusion,,,,
