group,symbol,month,method,C,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AAPL|R2,AAPL,2018-04,R2,1.0,63,0.5740927419354839,0.15715463927342804,0.2447295446145401,0.09890924387851778,0.6666666666666666,0.49206349206349204,False
AAPL|R0,AAPL,2018-05,R0,0.01,66,0.4808946877912395,-0.03799873392407423,0.2491812419766098,0.07410284049873517,0.5303030303030303,0.5606060606060606,False
AAPL|R0,AAPL,2018-05,R0,0.1,66,0.5326188257222739,0.06478638258673626,0.2585956163940415,0.07031466608151976,0.48484848484848486,0.5606060606060606,False
AAPL|R0,AAPL,2018-05,R0,1.0,66,0.5535880708294502,0.10717614165890028,0.26539336966452426,0.11848744318924789,0.4393939393939394,0.5606060606060606,False
AAPL|R1,AAPL,2018-05,R1,0.01,66,0.5671015843429636,0.13376754398878044,0.24930082061036912,0.09423569976851875,0.45454545454545453,0.5606060606060606,False
AAPL|R1,AAPL,2018-05,R1,0.1,66,0.5671015843429636,0.13376754398878044,0.265525187100567,0.13233324528970997,0.45454545454545453,0.5606060606060606,False
AAPL|R1,AAPL,2018-05,R1,1.0,66,0.5535880708294502,0.10717614165890028,0.28220642845277827,0.14488546728891172,0.4393939393939394,0.5606060606060606,False
AAPL|R2,AAPL,2018-05,R2,0.01,66,0.5880708294501398,0.17780655090913838,0.244687609411497,0.06452136627167608,0.4090909090909091,0.5606060606060606,False
AAPL|R2,AAPL,2018-05,R2,0.1,66,0.5843429636533084,0.16868592730661697,0.24518360914442078,0.06701701011332493,0.4393939393939394,0.5606060606060606,False
AAPL|R2,AAPL,2018-05,R2,1.0,66,0.570829450139795,0.14225675995968393,0.25118246443406916,0.0866738247820916,0.42424242424242425,0.5606060606060606,False
AAPL|R0,AAPL,2018-06,R0,0.01,63,0.4629629629629629,-0.0761386987626881,0.25633566745866415,0.09067886953014972,0.36507936507936506,0.5714285714285714,False
AAPL|R0,AAPL,2018-06,R0,0.1,63,0.4722222222222222,-0.055843559328745504,0.2725563701126055,0.20099226313248153,0.4126984126984127,0.5714285714285714,False
AAPL|R0,AAPL,2018-06,R0,1.0,63,0.43981481481481477,-0.12099437854561525,0.2828187893607408,0.19543114962633584,0.4126984126984127,0.5714285714285714,False
AAPL|R1,AAPL,2018-06,R1,0.01,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.12836269912693346,0.3968253968253968,0.5714285714285714,False
AAPL|R1,AAPL,2018-06,R1,0.1,63,0.4537037037037037,-0.09259259259259259,0.27822867749208713,0.18183580282316764,0.42857142857142855,0.5714285714285714,False
AAPL|R1,AAPL,2018-06,R1,1.0,63,0.44907407407407407,-0.10112618056102679,0.2836019065934284,0.18413645382179522,0.4603174603174603,0.5714285714285714,False
AAPL|R2,AAPL,2018-06,R2,0.01,63,0.47685185185185186,-0.047178209756024825,0.26150007467302777,0.1274166449167652,0.38095238095238093,0.5714285714285714,False
AAPL|R2,AAPL,2018-06,R2,0.1,63,0.4907407407407407,-0.018731716231633878,0.26491279270757173,0.1454585220216612,0.3968253968253968,0.5714285714285714,False
AAPL|R2,AAPL,2018-06,R2,1.0,63,0.48611111111111116,-0.027777777777777776,0.26620146688459423,0.1492403151296848,0.42857142857142855,0.5714285714285714,False
