symbol,period,variant,n,direction_changed,P0_wrong_new_right,P0_right_new_wrong,both_right,both_wrong,mean_absolute_probability_change,P0_BA,new_BA,BA_difference,P0_Brier,new_Brier,Brier_difference
AAPL,2018-09,P3,57,6,3,3,26,25,0.058230579877882854,0.5166256157635468,0.5147783251231527,-0.001847290640394128,0.26725574862494855,0.2539382550882653,-0.013317493536683267
AAPL,2018-10,P1,69,8,7,1,22,39,0.02682059760679426,0.37948717948717947,0.48333333333333334,0.10384615384615387,0.2831929822057004,0.26947330890932664,-0.013719673296373747
AAPL,2018-10,P2,69,11,7,4,19,39,0.05683259757140395,0.37948717948717947,0.4025641025641026,0.023076923076923106,0.2831929822057004,0.26389598920137836,-0.019296993004322027
AAPL,2018-10,P3,69,10,6,4,19,40,0.058387773913030266,0.37948717948717947,0.38974358974358975,0.010256410256410275,0.2831929822057004,0.264296977982208,-0.018896004223492358
AMZN,test,P1,179,4,3,1,94,81,0.0075008700071992505,0.5165832290362954,0.5266583229036296,0.010075093867334184,0.24536214439278387,0.24562049168635752,0.0002583472935736575
AMZN,test,P2,179,34,15,19,76,69,0.022434331786769256,0.5165832290362954,0.49981226533166456,-0.016770963704630826,0.24536214439278387,0.2459940223936353,0.0006318780008514324
AMZN,test,P3,179,34,15,19,76,69,0.02240236007360223,0.5165832290362954,0.49981226533166456,-0.016770963704630826,0.24536214439278387,0.2460133791279136,0.0006512347351297354
AMZN,2018-11,P1,60,0,0,0,40,20,0.008415698019469592,0.5972222222222222,0.5972222222222222,0.0,0.23068326960116953,0.23125174326598702,0.0005684736648174926
AMZN,2018-11,P2,60,12,3,9,31,17,0.02681720770611942,0.5972222222222222,0.5347222222222222,-0.0625,0.23068326960116953,0.23897288790871907,0.00828961830754954
AMZN,2018-11,P3,60,12,3,9,31,17,0.026731362060946454,0.5972222222222222,0.5347222222222222,-0.0625,0.23068326960116953,0.23902039457459792,0.008337124973428395
AMZN,2018-12,P1,54,0,0,0,25,29,0.00775864640864114,0.5616541353383459,0.5616541353383459,0.0,0.24937834854821045,0.249409216423774,3.086787556355608e-05
AMZN,2018-12,P2,54,10,5,5,20,24,0.02692828552669622,0.5616541353383459,0.5015037593984962,-0.06015037593984962,0.24937834854821045,0.2432406067575018,-0.00613774179070864
AMZN,2018-12,P3,54,10,5,5,20,24,0.026970680060693378,0.5616541353383459,0.5015037593984962,-0.06015037593984962,0.24937834854821045,0.2431985519511022,-0.006179796597108239
AMZN,2019-01,P1,63,4,3,1,28,31,0.006646776889743949,0.4226315789473684,0.4421052631578948,0.019473684210526365,0.255388793382011,0.25555496608645867,0.00016617270444768684
AMZN,2019-01,P2,63,12,7,5,24,27,0.015120404905125949,0.4226315789473684,0.44894736842105265,0.026315789473684237,0.255388793382011,0.25455017624546644,-0.0008386171365445394
AMZN,2019-01,P3,63,12,7,5,24,27,0.015074984226040783,0.4226315789473684,0.44894736842105265,0.026315789473684237,0.255388793382011,0.2545959764840167,-0.000792816897994264
AMZN,2019-02,P1,2,0,0,0,1,1,0.0,0.5,0.5,0.0,0.26145143278404165,0.26145143278404165,0.0
AMZN,2019-02,P2,2,0,0,0,1,1,0.0,0.5,0.5,0.0,0.26145143278404165,0.26145143278404165,0.0
AMZN,2019-02,P3,2,0,0,0,1,1,0.0,0.5,0.5,0.0,0.26145143278404165,0.26145143278404165,0.0
