symbol,period,news_scope,method,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AAPL,validation,no_news,P0_strict,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,P1_strict,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,P2_strict,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,no_news,P3_strict,2,,0.0,0.219583675438098,0.4668354479479347,0.5,1.0,False
AAPL,validation,news,R0,124,0.49317226890756305,-0.018866156111481205,0.2626741619546314,0.15496427554183456,0.8467741935483871,0.45161290322580644,False
AAPL,validation,news,R1,124,0.5682773109243697,0.16465962597158695,0.24450656238774832,0.10291416780943854,0.782258064516129,0.45161290322580644,False
AAPL,validation,news,R2,124,0.5519957983193278,0.12539463823990082,0.2547380336350606,0.14308197283591143,0.782258064516129,0.45161290322580644,False
AAPL,validation,news,S2,124,0.5871848739495799,0.19451759720540132,0.25288497813866084,0.11707113582788475,0.7258064516129032,0.45161290322580644,False
AAPL,validation,news,S3,124,0.634453781512605,0.29482132950548373,0.24792899214639302,0.11180409261534244,0.7096774193548387,0.45161290322580644,False
AAPL,validation,news,llm,124,0.4506302521008403,-0.17282390374507312,0.276892952362413,0.19560161369123819,0.9112903225806451,0.45161290322580644,False
AAPL,validation,news,F0,124,0.5110294117647058,0.03191644169383776,0.2607563864954067,0.1458367269183829,0.8629032258064516,0.45161290322580644,False
AAPL,validation,news,F1,124,0.5861344537815126,0.21368191536505515,0.2504649366439482,0.09144243466734078,0.7983870967741935,0.45161290322580644,False
AAPL,validation,news,F2,124,0.5477941176470589,0.12452068109744242,0.28127469765826635,0.2127780174174633,0.8225806451612904,0.45161290322580644,False
AAPL,validation,news,F3,124,0.5861344537815126,0.21368191536505515,0.2504649366439482,0.09144243466734078,0.7983870967741935,0.45161290322580644,False
AAPL,validation,news,F4,124,0.5362394957983193,0.10759417085623596,0.2549781741741906,0.10309745258310232,0.8709677419354839,0.45161290322580644,False
AAPL,validation,news,F5,124,0.5362394957983193,0.10759417085623596,0.2549781741741906,0.10309745258310232,0.8709677419354839,0.45161290322580644,False
AAPL,validation,news,F6,124,0.5115546218487395,0.05359417295590909,0.2579044875127507,0.12704787350048988,0.9516129032258065,0.45161290322580644,False
AAPL,validation,news,P0_strict,124,0.4506302521008403,-0.17282390374507312,0.276892952362413,0.19560161369123819,0.9112903225806451,0.45161290322580644,False
AAPL,validation,news,P1_strict,124,0.5073529411764706,0.08182518604474891,0.26619046827184945,0.13795428123053025,0.9919354838709677,0.45161290322580644,False
AAPL,validation,news,P2_strict,124,0.4616596638655462,-0.09126825547682564,0.2600652155756278,0.1302353695462222,0.7741935483870968,0.45161290322580644,False
AAPL,validation,news,P3_strict,124,0.4543067226890756,-0.11019528815021588,0.2602564892736071,0.14497225624374768,0.782258064516129,0.45161290322580644,False
AMZN,test,no_news,R0,95,0.518395390070922,0.042332483668876944,0.24537940535523026,0.1717531588651135,0.7473684210526316,0.49473684210526314,False
