config,seed,split,threshold,score,symbol,articles,positive_articles,event_precision,event_recall,event_f1,type_macro_f1,action_macro_f1,evidence_micro_f1,no_event_articles,no_event_false_positives,no_event_false_positive_rate,exact_type_action_set,predicted_positive_articles
A2,575,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0.1,0.9,3
A2,575,check,0.35,0.6343949588578349,ALL,122,22,0.7407407407407407,0.9090909090909091,0.8163265306122449,0.6288032454361054,0.4701515151515151,0.44036697247706424,100,7,0.07,0.819672131147541,27
A2,575,check,0.35,0.6095256119877517,AAPL,73,17,0.7272727272727273,0.9411764705882353,0.8205128205128205,0.6000000000000001,0.4021080368906456,0.4044943820224719,56,6,0.10714285714285714,0.7397260273972602,22
A2,575,check,0.35,0.6344444444444445,AMZN,49,5,0.8,0.8,0.8,0.6944444444444444,0.2777777777777778,0.6,44,1,0.022727272727272728,0.9387755102040817,5
A0,ensemble,development,0.35,0.0,ALL,87,19,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0.0,0.7816091954022989,0
A0,ensemble,development,0.35,0.0,AAPL,57,19,0.0,0.0,0.0,0.0,0.0,0.0,38,0,0.0,0.6666666666666666,0
A0,ensemble,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0.0,1.0,0
A0,ensemble,check,0.35,0.0,ALL,122,22,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0.0,0.819672131147541,0
A0,ensemble,check,0.35,0.0,AAPL,73,17,0.0,0.0,0.0,0.0,0.0,0.0,56,0,0.0,0.7671232876712328,0
A0,ensemble,check,0.35,0.0,AMZN,49,5,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0.0,0.8979591836734694,0
A1,ensemble,development,0.35,0.7647968090959105,ALL,87,19,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.775,0.5842857142857143,0.7804878048780488,68,3,0.04411764705882353,0.9195402298850575,19
A1,ensemble,development,0.35,0.8429296829296828,AAPL,57,19,1.0,0.8421052631578947,0.9142857142857143,0.8545454545454545,0.6666666666666666,0.8648648648648649,38,0,0.0,0.9298245614035088,16
A1,ensemble,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0.1,0.9,3
A1,ensemble,check,0.35,0.711116092394865,ALL,122,22,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7407407407407407,0.5987659399424106,0.5797101449275363,100,4,0.04,0.8852459016393442,22
A1,ensemble,check,0.35,0.6593748909151094,AAPL,73,17,0.7777777777777778,0.8235294117647058,0.8,0.7017543859649122,0.4668181818181818,0.5283018867924528,56,4,0.07142857142857142,0.8356164383561644,18
A1,ensemble,check,0.35,0.7388888888888889,AMZN,49,5,1.0,0.8,0.8888888888888888,0.8333333333333333,0.3333333333333333,0.75,44,0,0.0,0.9591836734693877,4
A2,ensemble,development,0.35,0.5387535211725507,ALL,87,19,0.64,0.8421052631578947,0.7272727272727273,0.543030303030303,0.37936016511867904,0.31683168316831684,68,9,0.1323529411764706,0.7241379310344828,25
A2,ensemble,development,0.35,0.5857384125274825,AAPL,57,19,0.7619047619047619,0.8421052631578947,0.8,0.5942028985507246,0.3976470588235294,0.3368421052631579,38,5,0.13157894736842105,0.6491228070175439,21
A2,ensemble,development,0.35,0.0,AMZN,30,0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,0.13333333333333333,0.8666666666666667,4
A2,ensemble,check,0.35,0.6481014628073452,ALL,122,22,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.6386554621848739,0.4722222222222222,0.46296296296296297,100,6,0.06,0.8360655737704918,26
A2,ensemble,check,0.35,0.6123369142934361,AAPL,73,17,0.7272727272727273,0.9411764705882353,0.8205128205128205,0.5993589743589745,0.39907773386034257,0.4222222222222222,56,6,0.10714285714285714,0.7534246575342466,22
A2,ensemble,check,0.35,0.6988888888888889,AMZN,49,5,1.0,0.8,0.8888888888888888,0.75,0.3,0.6666666666666666,44,0,0.0,0.9591836734693877,4
