config,seed,best_epoch,epochs_ran,elapsed_seconds,trainable_parameters,total_parameters,class_weights,stage,fold,train_articles,eval_articles,reload_max_abs,checkpoint_sha256
A1,573,6,8,199.9556438922882,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A1,573,6,8,249.7482681274414,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A1,574,8,10,136.3414270877838,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
A1,574,4,6,157.1360628604889,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A1,574,5,7,225.67600083351135,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A1,575,9,11,148.22023224830627,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
A1,575,5,7,174.17500710487366,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A1,575,10,12,345.29647302627563,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A2,573,1,3,64.38091921806335,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
A2,573,9,11,195.73097491264343,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A2,573,12,12,267.5422673225403,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A2,574,1,3,63.904282093048096,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
A2,574,8,10,182.72566604614258,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A2,574,12,12,267.9947159290314,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A2,575,1,3,64.15288591384888,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6666666865348816, 1.3333333730697632, 0.3333333432674408, 1.3333333730697632, 1.3333333730697632], [0.4545454680919647, 1.3636363744735718, 1.3636363744735718, 1.3636363744735718, 0.4545454680919647]]}",forward_fold,1.0,64,82,0.0,
A2,575,8,10,182.82681393623352,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.6573957204818726, 0.25, 0.25, 1.9721871614456177, 1.9721871614456177], [0.25, 0.9090909361839294, 1.8181818723678589, 1.8181818723678589, 0.3030303120613098]]}",forward_fold,2.0,146,60,0.0,
A2,575,12,12,268.274845123291,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.5454545617103577, 0.25, 0.25, 1.3636363744735718, 2.7272727489471436], [0.25, 0.4990215301513672, 0.9980430603027344, 2.994129180908203, 0.3326810300350189]]}",forward_fold,3.0,206,43,0.0,
A0,573,4,4,68.73641228675842,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,0603e2caa1e4d97ee3089c4307f545883aa000e3190fbfebaa5dce349c0d213f
A0,574,4,4,68.19990491867065,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,4161e094b66c71f95a863e5d917d4e653ec1fff130eadf0999a4b89d6aaf2dfb
A0,575,4,4,68.44778609275818,9228,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,a7d1d9a9cfe0888c4d6a79861b97bab8661d937fc8834712f41381a2346e92d5
A1,573,7,7,239.63831996917725,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,637c707084c930cc6bc1f677951565830f4cb1df2edd45ea24d4e32f2d093000
A1,574,7,7,238.78255796432495,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,2eb6a9dd60f320009d04c12b740a730b72e220a90299ab385096c6c62309c5e6
A1,575,7,7,239.43663883209229,14184972,109491468,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,8667d51435c048a1a4efed87b33f5c5849dff17af6cb0cd8ca23836c6c6fd5a5
A2,573,7,7,182.37545084953308,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,8aa1e722f032edd87677d074bc6dfbeb15a3238967a831bfece2c2a56396a365
A2,574,7,7,182.90230298042297,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,9ce5c5bb0c29f658fadf4d3a7d79133f87d1c37ed9846259d45461073c8472d5
A2,575,7,7,182.65532898902893,33804,109516044,"{'evidence_pos': [20.0, 20.0], 'actions': [[0.4660452604293823, 0.25, 0.25, 1.398135781288147, 2.796271562576294], [0.25, 0.5, 1.0, 3.0, 0.3333333432674408]]}",full_train,,249,209,0.0,163929692a2549a8550a8f025682121add6845e17ce602380fb2058572d9e1d9
