phase,symbol,month,method,n,BA,MCC,Brier,pred_up,up_rate,constant
train_forward_oof,AMZN,2018-06,R1,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.6984126984126984,0.6349206349206349,False
train_forward_oof,AMZN,2018-06,F1,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.49206349206349204,0.6349206349206349,False
train_forward_oof,AMZN,2018-06,F2,63,0.4989130434782609,-0.002195496824144787,0.24424332010338076,0.6507936507936508,0.6349206349206349,False
train_forward_oof,AMZN,2018-06,F6,63,0.6451086956521739,0.28772620881222866,0.23505322245116603,0.6190476190476191,0.6349206349206349,False
train_forward_oof,AMZN,2018-06,D0,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.6984126984126984,0.6349206349206349,False
train_forward_oof,AMZN,2018-06,D1,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.49206349206349204,0.6349206349206349,False
train_forward_oof,AMZN,2018-06,D2,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.49206349206349204,0.6349206349206349,False
train_forward_oof,AMZN,2018-06,D3,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.49206349206349204,0.6349206349206349,False
train_forward_oof,AMZN,2018-06,D4,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.49206349206349204,0.6349206349206349,False
train_forward_oof,AMZN,2018-07,F0,60,0.55,0.11547005383792515,0.2479546332750298,0.75,0.5,False
train_forward_oof,AMZN,2018-07,R1,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.75,0.5,False
train_forward_oof,AMZN,2018-07,F1,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,0.5,False
train_forward_oof,AMZN,2018-07,F2,60,0.55,0.11095900821829636,0.25747557275356026,0.7166666666666667,0.5,False
train_forward_oof,AMZN,2018-07,F6,60,0.55,0.11547005383792515,0.24469947592019328,0.75,0.5,False
train_forward_oof,AMZN,2018-07,D0,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.75,0.5,False
train_forward_oof,AMZN,2018-07,D1,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,0.5,False
train_forward_oof,AMZN,2018-07,D2,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,0.5,False
train_forward_oof,AMZN,2018-07,D3,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,0.5,False
train_forward_oof,AMZN,2018-07,D4,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,0.5,False
train_forward_oof,AMZN,2018-08,F0,69,0.6116379310344828,0.23648875780580347,0.2331467913701451,0.6811594202898551,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,R1,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6376811594202898,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,F1,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.5072463768115942,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,F2,69,0.6336206896551724,0.274433014821148,0.23045955049466182,0.6376811594202898,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,F6,69,0.6193965517241379,0.2638693649181101,0.23104658625171715,0.7246376811594203,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,D0,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6376811594202898,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,D1,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.5072463768115942,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,D2,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.5072463768115942,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,D3,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.5072463768115942,0.5797101449275363,False
train_forward_oof,AMZN,2018-08,D4,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.5072463768115942,0.5797101449275363,False
development,AAPL,2018-09,F0,57,0.49753694581280783,-0.007089880956935217,0.24875127751290874,0.8596491228070176,0.49122807017543857,False
development,AAPL,2018-09,R1,57,0.6188423645320198,0.2831921951995806,0.23687878867299847,0.7719298245614035,0.49122807017543857,False
development,AAPL,2018-09,F1,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.7894736842105263,0.49122807017543857,False
development,AAPL,2018-09,F2,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.8070175438596491,0.49122807017543857,False
development,AAPL,2018-09,F6,57,0.5344827586206896,0.1873758732290221,0.24877587487709044,0.9649122807017544,0.49122807017543857,False
development,AAPL,2018-09,D0,57,0.6188423645320198,0.2831921951995806,0.23687878867299847,0.7719298245614035,0.49122807017543857,False
development,AAPL,2018-09,D1,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.7894736842105263,0.49122807017543857,False
