key,cutoff,latest_context_end,observed_bars,missing_bars,open_step,close_step,eligible
AMZN|2018-01-16 15:30:00+00:00,2018-01-16 15:25:00+00:00,2018-01-16 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-16 16:30:00+00:00,2018-01-16 16:25:00+00:00,2018-01-16 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-16 16:30:00+00:00,2018-01-16 16:25:00+00:00,2018-01-16 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-17 14:30:00+00:00,2018-01-17 14:25:00+00:00,2018-01-16 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-17 14:30:00+00:00,2018-01-17 14:25:00+00:00,2018-01-16 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-17 15:30:00+00:00,2018-01-17 15:25:00+00:00,2018-01-17 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-17 15:30:00+00:00,2018-01-17 15:25:00+00:00,2018-01-17 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-17 16:30:00+00:00,2018-01-17 16:25:00+00:00,2018-01-17 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-17 16:30:00+00:00,2018-01-17 16:25:00+00:00,2018-01-17 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-18 14:30:00+00:00,2018-01-18 14:25:00+00:00,2018-01-17 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-18 14:30:00+00:00,2018-01-18 14:25:00+00:00,2018-01-17 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-18 15:30:00+00:00,2018-01-18 15:25:00+00:00,2018-01-18 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-18 15:30:00+00:00,2018-01-18 15:25:00+00:00,2018-01-18 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-18 16:30:00+00:00,2018-01-18 16:25:00+00:00,2018-01-18 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-18 16:30:00+00:00,2018-01-18 16:25:00+00:00,2018-01-18 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-19 14:30:00+00:00,2018-01-19 14:25:00+00:00,2018-01-18 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-19 14:30:00+00:00,2018-01-19 14:25:00+00:00,2018-01-18 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-19 15:30:00+00:00,2018-01-19 15:25:00+00:00,2018-01-19 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-19 15:30:00+00:00,2018-01-19 15:25:00+00:00,2018-01-19 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-19 16:30:00+00:00,2018-01-19 16:25:00+00:00,2018-01-19 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-19 16:30:00+00:00,2018-01-19 16:25:00+00:00,2018-01-19 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-22 14:30:00+00:00,2018-01-22 14:25:00+00:00,2018-01-19 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-22 14:30:00+00:00,2018-01-22 14:25:00+00:00,2018-01-19 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-22 15:30:00+00:00,2018-01-22 15:25:00+00:00,2018-01-22 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-22 15:30:00+00:00,2018-01-22 15:25:00+00:00,2018-01-22 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-22 16:30:00+00:00,2018-01-22 16:25:00+00:00,2018-01-22 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-22 16:30:00+00:00,2018-01-22 16:25:00+00:00,2018-01-22 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-23 14:30:00+00:00,2018-01-23 14:25:00+00:00,2018-01-22 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-23 14:30:00+00:00,2018-01-23 14:25:00+00:00,2018-01-22 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-23 15:30:00+00:00,2018-01-23 15:25:00+00:00,2018-01-23 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-23 15:30:00+00:00,2018-01-23 15:25:00+00:00,2018-01-23 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-23 16:30:00+00:00,2018-01-23 16:25:00+00:00,2018-01-23 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-23 16:30:00+00:00,2018-01-23 16:25:00+00:00,2018-01-23 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-24 14:30:00+00:00,2018-01-24 14:25:00+00:00,2018-01-23 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-24 14:30:00+00:00,2018-01-24 14:25:00+00:00,2018-01-23 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-24 15:30:00+00:00,2018-01-24 15:25:00+00:00,2018-01-24 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-24 15:30:00+00:00,2018-01-24 15:25:00+00:00,2018-01-24 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-24 16:30:00+00:00,2018-01-24 16:25:00+00:00,2018-01-24 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-24 16:30:00+00:00,2018-01-24 16:25:00+00:00,2018-01-24 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-25 14:30:00+00:00,2018-01-25 14:25:00+00:00,2018-01-24 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-25 14:30:00+00:00,2018-01-25 14:25:00+00:00,2018-01-24 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-25 15:30:00+00:00,2018-01-25 15:25:00+00:00,2018-01-25 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-25 15:30:00+00:00,2018-01-25 15:25:00+00:00,2018-01-25 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-25 16:30:00+00:00,2018-01-25 16:25:00+00:00,2018-01-25 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-25 16:30:00+00:00,2018-01-25 16:25:00+00:00,2018-01-25 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-26 14:30:00+00:00,2018-01-26 14:25:00+00:00,2018-01-25 21:00:00+00:00,512,0,1,48,True
