phase,symbol,month,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
later,AMZN,2019-01,A1,63,0.5094736842105263,0.018731716231633878,0.2657566228147466,0.4789473684210527,0.5789473684210527,0.44,0.5714285714285714,False
later,AMZN,2019-02,A1,2,0.5,0.0,0.26145143278404165,0.0,1.0,0.0,1.0,True
later,AMZN,2018-11,E01,60,0.5902777777777778,0.18544954675472894,0.24534454659818966,0.5810185185185185,0.7222222222222222,0.4583333333333333,0.65,False
later,AMZN,2018-12,E01,54,0.575187969924812,0.14372207796170244,0.2427538880571546,0.5789473684210525,0.5789473684210527,0.5714285714285714,0.48148148148148145,False
later,AMZN,2019-01,E01,63,0.5431578947368421,0.08446877845160874,0.2554967724159822,0.4926315789473684,0.5263157894736842,0.56,0.49206349206349204,False
later,AMZN,2019-02,E01,2,0.5,0.0,0.26145143278404165,0.0,1.0,0.0,1.0,True
later,AMZN,2018-11,E1,60,0.5833333333333334,0.1755241554314476,0.26692426578232104,0.5648148148148148,0.75,0.4166666666666667,0.6833333333333333,False
later,AMZN,2018-12,E1,54,0.544360902255639,0.08568334725853646,0.25819409594948567,0.6406015037593985,0.631578947368421,0.45714285714285713,0.5740740740740741,False
later,AMZN,2019-01,E1,63,0.49631578947368427,-0.007254762501100117,0.2683796653864683,0.46210526315789474,0.5526315789473685,0.44,0.5555555555555556,False
later,AMZN,2019-02,E1,2,0.5,0.0,0.26145143278404165,0.0,1.0,0.0,1.0,True
later,AMZN,2018-11,MODERN,60,0.5763888888888888,0.15531518604934888,0.24585330056972465,0.5752314814814815,0.6944444444444444,0.4583333333333333,0.6333333333333333,False
later,AMZN,2018-12,MODERN,54,0.5466165413533834,0.08910768833625551,0.23738857778222172,0.6481203007518797,0.5789473684210527,0.5142857142857142,0.5185185185185185,False
later,AMZN,2019-01,MODERN,63,0.5426315789473684,0.08429272304235245,0.2523680940884629,0.5147368421052632,0.6052631578947368,0.48,0.5714285714285714,False
later,AMZN,2019-02,MODERN,2,0.5,0.0,0.26145143278404165,0.0,1.0,0.0,1.0,True
later,AMZN,2018-11,HISTORY_LR,60,0.45138888888888895,-0.09985744825254635,0.2982910774899782,0.4212962962962963,0.6111111111111112,0.2916666666666667,0.65,False
later,AMZN,2018-12,HISTORY_LR,54,0.49398496240601497,-0.011497766236936196,0.3045068511817203,0.4180451127819549,0.47368421052631576,0.5142857142857142,0.48148148148148145,False
later,AMZN,2019-01,HISTORY_LR,63,0.5421052631578948,0.08642211997978012,0.2510718188331049,0.5263157894736842,0.6842105263157895,0.4,0.6507936507936508,False
later,AMZN,2019-02,HISTORY_LR,2,0.0,-1.0,0.3103335700033153,0.0,0.0,0.0,0.5,False
later,AMZN,2018-11,CHRONOS_LR,60,0.5138888888888888,0.027461751819054483,0.25625711541592694,0.4803240740740741,0.4444444444444444,0.5833333333333334,0.43333333333333335,False
later,AMZN,2018-12,CHRONOS_LR,54,0.30526315789473685,-0.37300953895637856,0.27757317703624407,0.2571428571428572,0.21052631578947367,0.4,0.46296296296296297,False
later,AMZN,2019-01,CHRONOS_LR,63,0.5142105263157895,0.03973597071195131,0.24428045592872388,0.5147368421052632,0.868421052631579,0.16,0.8571428571428571,False
later,AMZN,2019-02,CHRONOS_LR,2,0.0,-1.0,0.2849671781569426,0.0,0.0,0.0,0.5,False
train_forward_oof,AAPL,2018-03,F0,62,0.46875,-0.0625978857295168,0.3136431600178698,0.3885416666666667,0.4375,0.5,0.46774193548387094,False
train_forward_oof,AAPL,2018-04,F0,63,0.4949596774193548,-0.010826670965770146,0.28935095076251915,0.4969758064516129,0.6774193548387096,0.3125,0.6825396825396826,False
train_forward_oof,AAPL,2018-05,F0,66,0.49440820130475305,-0.01114729533239837,0.24884666842086006,0.5237651444547997,0.5405405405405406,0.4482758620689655,0.5454545454545454,False
train_forward_oof,AAPL,2018-06,F0,63,0.4907407407407407,-0.018731716231633878,0.256047995943431,0.4660493827160494,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
train_forward_oof,AAPL,2018-07,F0,60,0.5274725274725275,0.05315774339537505,0.24867832804680787,0.5873015873015873,0.4358974358974359,0.6190476190476191,0.4166666666666667,False
train_forward_oof,AAPL,2018-08,F0,69,0.5098039215686274,0.018475274304048998,0.2367926452764008,0.5599128540305011,0.6862745098039216,0.3333333333333333,0.6811594202898551,False
train_forward_oof,AAPL,2018-03,R1,62,0.42291666666666666,-0.15817166261312793,0.31218205095693174,0.4395833333333333,0.3125,0.5333333333333333,0.3870967741935484,False
train_forward_oof,AAPL,2018-04,R1,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.592741935483871,0.6129032258064516,0.5,0.5555555555555556,False
train_forward_oof,AAPL,2018-05,R1,66,0.5671015843429636,0.13376754398878044,0.24930082061036912,0.5582479030754892,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
train_forward_oof,AAPL,2018-06,R1,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.4403292181069959,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
train_forward_oof,AAPL,2018-07,R1,60,0.586080586080586,0.17216117216117216,0.2444661398323707,0.645909645909646,0.41025641025641024,0.7619047619047619,0.35,False
train_forward_oof,AAPL,2018-08,R1,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.5773420479302832,0.6274509803921569,0.3888888888888889,0.6231884057971014,False
train_forward_oof,AAPL,2018-03,F1,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5135416666666667,0.5625,0.4666666666666667,0.5483870967741935,False
train_forward_oof,AAPL,2018-04,F1,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.5413306451612903,0.8709677419354839,0.21875,0.8253968253968254,False
train_forward_oof,AAPL,2018-05,F1,66,0.5251630941286114,0.05016282899579266,0.25556960787737776,0.49860205032618826,0.5675675675675675,0.4827586206896552,0.5454545454545454,False
train_forward_oof,AAPL,2018-06,F1,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.4578189300411522,0.5,0.3333333333333333,0.5714285714285714,False
train_forward_oof,AAPL,2018-07,F1,60,0.554945054945055,0.10482848367219183,0.24052626453701736,0.6581196581196581,0.5384615384615384,0.5714285714285714,0.5,False
train_forward_oof,AAPL,2018-08,F1,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.42919389978213507,0.7058823529411765,0.2222222222222222,0.7246376811594203,False
train_forward_oof,AAPL,2018-03,F2,62,0.4239583333333333,-0.15884586105957427,0.3218236568213799,0.41562499999999997,0.28125,0.5666666666666667,0.3548387096774194,False
train_forward_oof,AAPL,2018-04,F2,63,0.5579637096774194,0.12157344839459235,0.24257106050333105,0.6411290322580645,0.7096774193548387,0.40625,0.6507936507936508,False
train_forward_oof,AAPL,2018-05,F2,66,0.5139794967381175,0.02884636720764711,0.2496898989074392,0.5088536812674744,0.6486486486486487,0.3793103448275862,0.6363636363636364,False
train_forward_oof,AAPL,2018-06,F2,63,0.3935185185185185,-0.21080522784319533,0.2706153606868883,0.3425925925925926,0.4166666666666667,0.37037037037037035,0.5079365079365079,False
train_forward_oof,AAPL,2018-07,F2,60,0.47985347985347987,-0.03863074974250641,0.27387296217055795,0.46153846153846156,0.4358974358974359,0.5238095238095238,0.45,False
train_forward_oof,AAPL,2018-08,F2,69,0.6388888888888888,0.24839788620727343,0.20951725572873084,0.7298474945533769,0.6666666666666666,0.6111111111111112,0.5942028985507246,False
