phase,symbol,method,baseline,block_days,BA_low,BA_high,Brier_low,Brier_high
later,AMZN,E1,A1,1,-0.017241379310344807,0.0,-0.0009624903048297534,0.003095783045572697
later,AMZN,A01,A1,1,-0.0007579413829413871,0.054800576915581725,-0.03113334012311197,-0.0016842526902060232
later,AMZN,E01,E1,1,-0.00032058648280560006,0.06488736478534923,-0.031550359918023414,-0.0025250496814539975
later,AMZN,MODERN,F2,1,-0.03661114116164469,0.06643340039817026,-0.03404839543627955,0.0016806410270510349
later,AMZN,CHRONOS_LR,HISTORY_LR,1,-0.132391623760373,0.05486532588745639,-0.05819340391601503,0.006706964203277703
later,AMZN,CHRONOS_LR,R1,1,-0.14423400673400671,0.08003694331983807,-0.0465514838567051,0.018154633434206254
later,AMZN,E01,A01,5,0.0,0.0,-0.0006361424509322139,0.0011911174605516509
later,AMZN,E1,A1,5,-0.014853332348160202,0.0,-0.001031872626636424,0.0031540612082495536
later,AMZN,A01,A1,5,-0.0023890088356572667,0.061374146017997955,-0.0291933882731858,-0.003939484270597397
later,AMZN,E01,E1,5,-0.0013544680138935343,0.07618822709402422,-0.030266700906025283,-0.004551790661282378
later,AMZN,MODERN,F2,5,-0.025740963855421673,0.06680361334892437,-0.03340329277312962,0.001808092513792267
later,AMZN,CHRONOS_LR,HISTORY_LR,5,-0.1178515551477508,0.041156459490287595,-0.05437182216554906,-0.002087808837568286
later,AMZN,CHRONOS_LR,R1,5,-0.13215637217659854,0.0636506044715,-0.041340452236452344,0.014196697696104469
train_forward_oof,AAPL,E01,A01,1,-0.022843413534826745,0.03295150628360005,-0.002610945431201081,0.001599632751291536
train_forward_oof,AAPL,E1,A1,1,-0.021464652773922094,0.03658342694892611,-0.003201093085885145,0.010710605159418752
train_forward_oof,AAPL,A01,A1,1,-0.04831395472941481,0.024407707506299066,-0.07873687171282506,-0.03195857194697344
train_forward_oof,AAPL,E01,E1,1,-0.053666340384027345,0.02475513535938914,-0.08279588338036485,-0.03416863239097786
train_forward_oof,AAPL,MODERN,F2,1,-0.09567447034515185,0.023544557955395232,0.006575116316142626,0.04748879851929757
train_forward_oof,AAPL,CHRONOS_LR,HISTORY_LR,1,-0.10254247442683047,0.02954937172934163,-0.08085640454828523,-0.019799894326980098
train_forward_oof,AAPL,CHRONOS_LR,R1,1,-0.11165072805186527,-0.011678754951236102,-0.020073860561513956,0.002709125094037301
train_forward_oof,AAPL,E01,A01,5,-0.028185220702826325,0.041359835147247136,-0.0028452260784661214,0.0018978631471979594
train_forward_oof,AAPL,E1,A1,5,-0.02769707708280362,0.04631712457799413,-0.0037700466551074995,0.011277007377708708
train_forward_oof,AAPL,A01,A1,5,-0.058988802509557875,0.03376202384113775,-0.07853845116422968,-0.02663715679807413
train_forward_oof,AAPL,E01,E1,5,-0.056782833480801945,0.023769595739755792,-0.08294778758842475,-0.03028465759339433
train_forward_oof,AAPL,MODERN,F2,5,-0.11731901431901433,0.03384567773799613,0.005986563796837193,0.04906158566446229
train_forward_oof,AAPL,CHRONOS_LR,HISTORY_LR,5,-0.09861465024838016,0.031353797451869954,-0.08250875492559084,-0.020917231880448903
train_forward_oof,AAPL,CHRONOS_LR,R1,5,-0.1007200764450959,-0.017642071693462588,-0.02267512741398107,0.0024601116713556053
train_forward_oof,AMZN,E01,A01,1,-0.007856597704977639,0.015888838940185834,-0.00032128278250338104,0.001555835238805754
train_forward_oof,AMZN,E1,A1,1,-0.024013885376977663,0.009950701613842107,-0.0011860263026070663,0.008139528330188823
train_forward_oof,AMZN,A01,A1,1,-0.038412267879557496,0.019323461125323963,-0.0716978402911397,-0.031651423404786536
train_forward_oof,AMZN,E01,E1,1,-0.02509456910054708,0.027036026237265837,-0.07488492943643739,-0.032591226454795015
train_forward_oof,AMZN,MODERN,F2,1,-0.02360323828315231,0.07808866430182407,-0.02337035452429177,0.003030644426977429
train_forward_oof,AMZN,CHRONOS_LR,HISTORY_LR,1,-0.07676814144123106,0.07910355873853715,-0.04690594010550306,0.005674920287229077
train_forward_oof,AMZN,CHRONOS_LR,R1,1,-0.0722581904172179,0.04744256999282121,-0.01352992374534704,0.0106196907960653
train_forward_oof,AMZN,E01,A01,5,-0.00793593479455472,0.01540548286918771,-0.000181879788475256,0.0014720867106663754
