phase,symbol,subset,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
later,AMZN,no_news,E1,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,MODERN,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,HISTORY_LR,95,0.5075354609929078,0.01670602130626781,0.27586982098171653,0.5119680851063829,0.723404255319149,0.2916666666666667,0.7157894736842105,False
later,AMZN,no_news,CHRONOS_LR,95,0.44326241134751776,-0.11634709894305693,0.2602279618895963,0.4530141843971631,0.5531914893617021,0.3333333333333333,0.6105263157894737,False
train_forward_oof,AAPL,news,F0,379,0.5004329004329005,0.0008523291021112745,0.2650513527181538,0.4966810966810967,0.5333333333333333,0.4675324675324675,0.5329815303430079,False
train_forward_oof,AAPL,news,R1,379,0.5279365079365079,0.05504522172739839,0.25764954055078154,0.5433477633477634,0.48444444444444446,0.5714285714285714,0.46174142480211083,False
train_forward_oof,AAPL,news,F1,379,0.5026695526695527,0.005402626341600254,0.25926653151355117,0.5131024531024532,0.6222222222222222,0.38311688311688313,0.6200527704485488,False
train_forward_oof,AAPL,news,F2,379,0.5004329004329005,0.0008523291021112745,0.2602047328634746,0.5187012987012987,0.5333333333333333,0.4675324675324675,0.5329815303430079,False
train_forward_oof,AAPL,news,F6,379,0.5534343434343435,0.11036734730204796,0.24503630178367275,0.5646753246753247,0.6977777777777778,0.4090909090909091,0.6543535620052771,False
train_forward_oof,AAPL,news,A01,379,0.4888167388167388,-0.022156503420933202,0.25544626418278554,0.4984704184704185,0.5555555555555556,0.42207792207792205,0.5646437994722955,False
train_forward_oof,AAPL,news,A1,379,0.4994083694083694,-0.0011657304188137055,0.3092339647598156,0.4897258297258298,0.5377777777777778,0.461038961038961,0.5382585751978892,False
train_forward_oof,AAPL,news,E01,379,0.49428571428571433,-0.011321258522180062,0.2549556040725927,0.5044733044733044,0.56,0.42857142857142855,0.5646437994722955,False
train_forward_oof,AAPL,news,E1,379,0.508975468975469,0.017643517992505738,0.3128832590674711,0.49007215007215005,0.5244444444444445,0.4935064935064935,0.5171503957783641,False
train_forward_oof,AAPL,news,MODERN,379,0.46164502164502164,-0.07628186603673492,0.2874434117684149,0.43099567099567093,0.5466666666666666,0.37662337662337664,0.5778364116094987,False
train_forward_oof,AAPL,news,HISTORY_LR,379,0.49975468975468973,-0.0004860136234269219,0.300200151097058,0.50002886002886,0.5644444444444444,0.43506493506493504,0.5646437994722955,False
train_forward_oof,AAPL,news,CHRONOS_LR,379,0.46734487734487734,-0.12470380949597241,0.24814876562524835,0.4650505050505051,0.9022222222222223,0.032467532467532464,0.9287598944591029,False
train_forward_oof,AAPL,no_news,F0,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,R1,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,F1,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,F2,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,F6,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,A01,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,A1,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,E01,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,E1,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,MODERN,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.6666666666666667,1.0,0.3333333333333333,0.75,False
train_forward_oof,AAPL,no_news,HISTORY_LR,4,0.8333333333333333,0.5773502691896258,0.22234481625428437,0.6666666666666667,1.0,0.6666666666666666,0.5,False
train_forward_oof,AAPL,no_news,CHRONOS_LR,4,0.5,0.0,0.27247345992211225,0.6666666666666667,1.0,0.0,1.0,True
train_forward_oof,AMZN,news,F0,198,0.45855901890648954,-0.08455774894392962,0.2697790920953221,0.4550843127235565,0.5578947368421052,0.3592233009708738,0.601010101010101,False
train_forward_oof,AMZN,news,R1,198,0.46300459887583034,-0.07504508094802169,0.26657115015641863,0.4362800204394481,0.5473684210526316,0.3786407766990291,0.5858585858585859,False
train_forward_oof,AMZN,news,F1,198,0.44951456310679616,-0.11610760578770377,0.27502377805406053,0.4126724578436382,0.2,0.6990291262135923,0.25252525252525254,False
train_forward_oof,AMZN,news,F2,198,0.3800204394481349,-0.24036477959861086,0.30260520483692077,0.3711803781297905,0.4105263157894737,0.34951456310679613,0.5353535353535354,False
train_forward_oof,AMZN,news,F6,198,0.5261624936126724,0.054680885783056854,0.25859134955892027,0.4650996423096576,0.6736842105263158,0.3786407766990291,0.6464646464646465,False
train_forward_oof,AMZN,news,A01,198,0.3969851814001022,-0.20671737445289487,0.26967218631525103,0.39826264690853347,0.3473684210526316,0.44660194174757284,0.45454545454545453,False
train_forward_oof,AMZN,news,A1,198,0.42534491568727645,-0.1494629938124596,0.36719247722799825,0.42452733776188045,0.45263157894736844,0.39805825242718446,0.5303030303030303,False
train_forward_oof,AMZN,news,E01,198,0.40102197240674503,-0.19980231742536042,0.2708188473157197,0.3890648952478284,0.3263157894736842,0.47572815533980584,0.4292929292929293,False
train_forward_oof,AMZN,news,E1,198,0.40955544200306593,-0.1808244483984328,0.3735260135941056,0.41165048543689325,0.42105263157894735,0.39805825242718446,0.5151515151515151,False
train_forward_oof,AMZN,news,MODERN,198,0.42084823709759833,-0.16028136649477115,0.2851988903683851,0.37128257537046494,0.3368421052631579,0.5048543689320388,0.41919191919191917,False
train_forward_oof,AMZN,news,HISTORY_LR,198,0.49417475728155336,-0.011912050117987369,0.2894390106091099,0.4769545222278998,0.6,0.3883495145631068,0.6060606060606061,False
train_forward_oof,AMZN,news,CHRONOS_LR,198,0.4590189064895248,-0.09304988775389193,0.2679011309070937,0.43801737353091463,0.6947368421052632,0.22330097087378642,0.7373737373737373,False
train_forward_oof,AMZN,no_news,F0,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.5841861598440545,0.7870370370370371,0.35526315789473684,0.7282608695652174,False
train_forward_oof,AMZN,no_news,R1,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.5841861598440545,0.7870370370370371,0.35526315789473684,0.7282608695652174,False
train_forward_oof,AMZN,no_news,F1,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.5841861598440545,0.7870370370370371,0.35526315789473684,0.7282608695652174,False
train_forward_oof,AMZN,no_news,F2,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.5841861598440545,0.7870370370370371,0.35526315789473684,0.7282608695652174,False
