symbol,month,method,C,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-08,HISTORY_LR,0.1,69,0.5196078431372549,0.03742405942825599,0.2422776707810947,0.5010893246187365,0.7058823529411765,0.3333333333333333,0.6956521739130435,False
AAPL,2018-08,HISTORY_LR,1.0,69,0.5196078431372549,0.03742405942825599,0.2698868728493153,0.5,0.7058823529411765,0.3333333333333333,0.6956521739130435,False
AAPL,2018-08,CHRONOS_LR,0.01,69,0.5,0.0,0.23711578439427702,0.4880174291938998,1.0,0.0,1.0,True
AAPL,2018-08,CHRONOS_LR,0.1,69,0.5,0.0,0.2281500751686396,0.4912854030501089,1.0,0.0,1.0,True
AAPL,2018-08,CHRONOS_LR,1.0,69,0.5,0.0,0.22647807252232982,0.4880174291938998,1.0,0.0,1.0,True
AMZN,2018-03,HISTORY_LR,0.01,62,0.40793650793650793,-0.18344879771901976,0.2668292129880632,0.4666666666666667,0.4444444444444444,0.37142857142857144,0.5483870967741935,False
AMZN,2018-03,HISTORY_LR,0.1,62,0.5105820105820106,0.021265527843082024,0.3125693092047609,0.4825396825396825,0.5925925925925926,0.42857142857142855,0.5806451612903226,False
AMZN,2018-03,HISTORY_LR,1.0,62,0.5005291005291006,0.0010861451673873344,0.3806131779763908,0.5185185185185185,0.6296296296296297,0.37142857142857144,0.6290322580645161,False
AMZN,2018-03,CHRONOS_LR,0.01,62,0.4444444444444444,-0.25673599474580255,0.2538065781000165,0.5185185185185186,0.8888888888888888,0.0,0.9516129032258065,False
AMZN,2018-03,CHRONOS_LR,0.1,62,0.46296296296296297,-0.20786985482077452,0.2652237125819924,0.5216931216931217,0.9259259259259259,0.0,0.967741935483871,False
AMZN,2018-03,CHRONOS_LR,1.0,62,0.46296296296296297,-0.20786985482077452,0.27422228910822655,0.5301587301587302,0.9259259259259259,0.0,0.967741935483871,False
AMZN,2018-04,HISTORY_LR,0.01,63,0.5249999999999999,0.049696660496618174,0.25586018285787065,0.5540816326530613,0.5357142857142857,0.5142857142857142,0.5079365079365079,False
AMZN,2018-04,HISTORY_LR,0.1,63,0.5107142857142857,0.021320071635561044,0.28855035125768286,0.5408163265306122,0.5357142857142857,0.4857142857142857,0.5238095238095238,False
AMZN,2018-04,HISTORY_LR,1.0,63,0.5214285714285714,0.04264014327112209,0.34494159293054555,0.5377551020408162,0.5,0.5428571428571428,0.47619047619047616,False
AMZN,2018-04,CHRONOS_LR,0.01,63,0.5535714285714286,0.10963225241337865,0.2590430233274156,0.5581632653061225,0.6785714285714286,0.42857142857142855,0.6190476190476191,False
AMZN,2018-04,CHRONOS_LR,0.1,63,0.5678571428571428,0.13784048752090222,0.2728663921716046,0.5642857142857143,0.6785714285714286,0.45714285714285713,0.6031746031746031,False
AMZN,2018-04,CHRONOS_LR,1.0,63,0.5678571428571428,0.13784048752090222,0.27504123115084794,0.5734693877551021,0.6785714285714286,0.45714285714285713,0.6031746031746031,False
AMZN,2018-05,HISTORY_LR,0.01,65,0.6647173489278753,0.3313782822574781,0.23121539301723185,0.6871345029239765,0.7368421052631579,0.5925925925925926,0.6,False
AMZN,2018-05,HISTORY_LR,0.1,65,0.6354775828460039,0.2855190762885235,0.22048875081413338,0.6988304093567251,0.7894736842105263,0.48148148148148145,0.676923076923077,False
AMZN,2018-05,HISTORY_LR,1.0,65,0.5696881091617934,0.14019850403200998,0.2496083439597623,0.6296296296296297,0.6578947368421053,0.48148148148148145,0.6,False
AMZN,2018-05,CHRONOS_LR,0.01,65,0.5263157894736842,0.15018785229652767,0.2511470673492354,0.4571150097465887,0.05263157894736842,1.0,0.03076923076923077,False
AMZN,2018-05,CHRONOS_LR,0.1,65,0.4678362573099415,-0.08170369493395752,0.2538415933005085,0.4230019493177388,0.15789473684210525,0.7777777777777778,0.18461538461538463,False
AMZN,2018-05,CHRONOS_LR,1.0,65,0.5073099415204678,0.017099639201419235,0.2570510838718157,0.4259259259259259,0.23684210526315788,0.7777777777777778,0.23076923076923078,False
AMZN,2018-06,HISTORY_LR,0.01,63,0.5396739130434782,0.08776473102050067,0.2533036912158447,0.4402173913043478,0.775,0.30434782608695654,0.746031746031746,False
AMZN,2018-06,HISTORY_LR,0.1,63,0.5021739130434782,0.004561030106387253,0.25782882726612594,0.4543478260869565,0.7,0.30434782608695654,0.6984126984126984,False
AMZN,2018-06,HISTORY_LR,1.0,63,0.4896739130434783,-0.021360453144631173,0.2890110646040765,0.4608695652173913,0.675,0.30434782608695654,0.6825396825396826,False
AMZN,2018-06,CHRONOS_LR,0.01,63,0.5369565217391304,0.10687808428852835,0.2468308821423796,0.566304347826087,0.9,0.17391304347826086,0.873015873015873,False
AMZN,2018-06,CHRONOS_LR,0.1,63,0.5929347826086957,0.2557314034776286,0.2404269104166566,0.591304347826087,0.925,0.2608695652173913,0.8571428571428571,False
AMZN,2018-06,CHRONOS_LR,1.0,63,0.5896739130434783,0.21989447597122544,0.23733582097483533,0.5967391304347827,0.875,0.30434782608695654,0.8095238095238095,False
AMZN,2018-07,HISTORY_LR,0.01,60,0.43333333333333335,-0.13608276348795434,0.26087388649552584,0.44111111111111106,0.5333333333333333,0.3333333333333333,0.6,False
AMZN,2018-07,HISTORY_LR,0.1,60,0.4666666666666667,-0.07071067811865475,0.2627667865193784,0.5,0.6333333333333333,0.3,0.6666666666666666,False
AMZN,2018-07,HISTORY_LR,1.0,60,0.5166666666666666,0.033806170189140665,0.2886616355638191,0.5155555555555555,0.6,0.43333333333333335,0.5833333333333334,False
AMZN,2018-07,CHRONOS_LR,0.01,60,0.5166666666666667,0.13018891098082386,0.25106120945565,0.5033333333333334,1.0,0.03333333333333333,0.9833333333333333,False
AMZN,2018-07,CHRONOS_LR,0.1,60,0.55,0.22941573387056177,0.2562612928104938,0.5422222222222222,1.0,0.1,0.95,False
AMZN,2018-07,CHRONOS_LR,1.0,60,0.5166666666666667,0.0519174131651165,0.25776374093664073,0.5577777777777777,0.9,0.13333333333333333,0.8833333333333333,False
AMZN,2018-08,HISTORY_LR,0.01,69,0.5051724137931034,0.011097419040461881,0.2592567109997853,0.43965517241379304,0.7,0.3103448275862069,0.6956521739130435,False
AMZN,2018-08,HISTORY_LR,0.1,69,0.4456896551724138,-0.11652289992484975,0.2813596887007125,0.4181034482758621,0.65,0.2413793103448276,0.6956521739130435,False
AMZN,2018-08,HISTORY_LR,1.0,69,0.39568965517241383,-0.21423480511844456,0.34173046801344215,0.356896551724138,0.55,0.2413793103448276,0.6376811594202898,False
AMZN,2018-08,CHRONOS_LR,0.01,69,0.47974137931034483,-0.08558195228568449,0.24580054389141107,0.5836206896551726,0.925,0.034482758620689655,0.9420289855072463,False
AMZN,2018-08,CHRONOS_LR,0.1,69,0.4969827586206897,-0.011489312875225723,0.24181657739786433,0.6129310344827585,0.925,0.06896551724137931,0.927536231884058,False
AMZN,2018-08,CHRONOS_LR,1.0,69,0.5142241379310345,0.049835525870126546,0.2404545149544208,0.631896551724138,0.925,0.10344827586206896,0.9130434782608695,False
